 2.40000000e+09  7.04946969e-01 -3.23860630e-02  2.40000000e+09  1.66686226e+01 -2.24487555e+00  2.40000000e+09 -1.28650377e-06  2.06510934e-06  2.40000000e+09  4.00935576e-01  9.15619553e-01  2.40000000e+09  5.01976348e+00  2.40000000e+09  1.00032787e+00  2.40000000e+09  7.05349860e-01  2.40000000e+09  2.70398038e+00  0.00000000e+00  2.40000000e+09  2.46107135e+00  0.00000000e+00 
 2.40835000e+09  7.04898946e-01 -3.24196805e-02  2.40835000e+09  1.66508797e+01 -2.34628890e+00  2.40835000e+09 -1.28868262e-06  2.07664744e-06  2.40835000e+09  4.04028486e-01  9.14254891e-01  2.40835000e+09  5.04049421e+00  2.40835000e+09  1.00033093e+00  2.40835000e+09  7.05300560e-01  2.40835000e+09  2.70401323e+00  0.00000000e+00  2.40835000e+09  2.46110436e+00  0.00000000e+00 
 2.41670000e+09  7.04851213e-01 -3.24532772e-02  2.41670000e+09  1.66323389e+01 -2.44714828e+00  2.41670000e+09 -1.29084160e-06  2.08818800e-06  2.41670000e+09  4.07102061e-01  9.12886319e-01  2.41670000e+09  5.06130657e+00  2.41670000e+09  1.00033400e+00  2.41670000e+09  7.05251544e-01  2.41670000e+09  2.70404884e+00  0.00000000e+00  2.41670000e+09  2.46113941e+00  0.00000000e+00 
 2.42505000e+09  7.04803770e-01 -3.24868547e-02  2.42505000e+09  1.66130117e+01 -2.54744988e+00  2.42505000e+09 -1.29298083e-06  2.09973093e-06  2.42505000e+09  4.10156426e-01  9.11513957e-01  2.42505000e+09  5.08220018e+00  2.42505000e+09  1.00033709e+00  2.42505000e+09  7.05202808e-01  2.42505000e+09  2.70408717e+00  0.00000000e+00  2.42505000e+09  2.46117646e+00  0.00000000e+00 
 2.43340000e+09  7.04756614e-01 -3.25204145e-02  2.43340000e+09  1.65929095e+01 -2.64719005e+00  2.43340000e+09 -1.29510043e-06  2.11127613e-06  2.43340000e+09  4.13191705e-01  9.10137926e-01  2.43340000e+09  5.10317469e+00  2.43340000e+09  1.00034020e+00  2.43340000e+09  7.05154351e-01  2.43340000e+09  2.70412820e+00  0.00000000e+00  2.43340000e+09  2.46121551e+00  0.00000000e+00 
 2.44175000e+09  7.04709744e-01 -3.25539579e-02  2.44175000e+09  1.65720440e+01 -2.74636533e+00  2.44175000e+09 -1.29720051e-06  2.12282349e-06  2.44175000e+09  4.16208022e-01  9.08758344e-01  2.44175000e+09  5.12422974e+00  2.44175000e+09  1.00034331e+00  2.44175000e+09  7.05106172e-01  2.44175000e+09  2.70417191e+00  0.00000000e+00  2.44175000e+09  2.46125653e+00  0.00000000e+00 
 2.45010000e+09  7.04663157e-01 -3.25874865e-02  2.45010000e+09  1.65504264e+01 -2.84497242e+00  2.45010000e+09 -1.29928119e-06  2.13437292e-06  2.45010000e+09  4.19205501e-01  9.07375327e-01  2.45010000e+09  5.14536498e+00  2.45010000e+09  1.00034645e+00  2.45010000e+09  7.05058268e-01  2.45010000e+09  2.70421827e+00  0.00000000e+00  2.45010000e+09  2.46129950e+00  0.00000000e+00 
 2.45845000e+09  7.04616851e-01 -3.26210015e-02  2.45845000e+09  1.65280681e+01 -2.94300819e+00  2.45845000e+09 -1.30134258e-06  2.14592433e-06  2.45845000e+09  4.22184263e-01  9.05988989e-01  2.45845000e+09  5.16658004e+00  2.45845000e+09  1.00034960e+00  2.45845000e+09  7.05010638e-01  2.45845000e+09  2.70426725e+00  0.00000000e+00  2.45845000e+09  2.46134441e+00  0.00000000e+00 
 2.46680000e+09  7.04570826e-01 -3.26545044e-02  2.46680000e+09  1.65049801e+01 -3.04046966e+00  2.46680000e+09 -1.30338481e-06  2.15747763e-06  2.46680000e+09  4.25144433e-01  9.04599442e-01  2.46680000e+09  5.18787456e+00  2.46680000e+09  1.00035276e+00  2.46680000e+09  7.04963280e-01  2.46680000e+09  2.70431883e+00  0.00000000e+00  2.46680000e+09  2.46139124e+00  0.00000000e+00 
 2.47515000e+09  7.04525077e-01 -3.26879965e-02  2.47515000e+09  1.64811737e+01 -3.13735403e+00  2.47515000e+09 -1.30540798e-06  2.16903272e-06  2.47515000e+09  4.28086130e-01  9.03206796e-01  2.47515000e+09  5.20924820e+00  2.47515000e+09  1.00035594e+00  2.47515000e+09  7.04916192e-01  2.47515000e+09  2.70437300e+00  0.00000000e+00  2.47515000e+09  2.46143997e+00  0.00000000e+00 
 2.48350000e+09  7.04479605e-01 -3.27214791e-02  2.48350000e+09  1.64566598e+01 -3.23365864e+00  2.48350000e+09 -1.30741222e-06  2.18058952e-06  2.48350000e+09  4.31009477e-01  9.01811160e-01  2.48350000e+09  5.23070059e+00  2.48350000e+09  1.00035913e+00  2.48350000e+09  7.04869373e-01  2.48350000e+09  2.70442971e+00  0.00000000e+00  2.48350000e+09  2.46149059e+00  0.00000000e+00 
