 1.00000000e+07  8.64325771e+00  1.00000000e+07  1.00000000e+00  1.00000000e+07  8.32039823e-01  1.00000000e+07  8.32039823e-01  1.00000000e+07  8.02564778e-04  1.00000000e+07  1.00000000e+00 
 1.05925373e+07  8.56923553e+00  1.05925373e+07  1.00000000e+00  1.05925373e+07  8.26982376e-01  1.05925373e+07  8.26982376e-01  1.05925373e+07  8.62030505e-04  1.05925373e+07  1.00000000e+00 
 1.12201845e+07  8.48054468e+00  1.12201845e+07  1.00000000e+00  1.12201845e+07  8.21973886e-01  1.12201845e+07  8.21973886e-01  1.12201845e+07  9.26372193e-04  1.12201845e+07  1.00000000e+00 
 1.18850223e+07  8.37387337e+00  1.18850223e+07  1.00000000e+00  1.18850223e+07  8.17019008e-01  1.18850223e+07  8.17019008e-01  1.18850223e+07  9.96464086e-04  1.18850223e+07  1.00000000e+00 
 1.25892541e+07  8.24709005e+00  1.25892541e+07  1.00000000e+00  1.25892541e+07  8.12123638e-01  1.25892541e+07  8.12123638e-01  1.25892541e+07  1.07342095e-03  1.25892541e+07  1.00000000e+00 
 1.33352143e+07  8.09696493e+00  1.33352143e+07  1.00000000e+00  1.33352143e+07  8.07295077e-01  1.33352143e+07  8.07295077e-01  1.33352143e+07  1.15865564e-03  1.33352143e+07  1.00000000e+00 
 1.41253754e+07  7.92134270e+00  1.41253754e+07  1.00000000e+00  1.41253754e+07  8.02542051e-01  1.41253754e+07  8.02542051e-01  1.41253754e+07  1.25394378e-03  1.41253754e+07  1.00000000e+00 
 1.49623566e+07  7.71848552e+00  1.49623566e+07  1.00000000e+00  1.49623566e+07  7.97874615e-01  1.49623566e+07  7.97874615e-01  1.49623566e+07  1.36149326e-03  1.49623566e+07  1.00000000e+00 
 1.58489319e+07  7.48732021e+00  1.58489319e+07  1.00000000e+00  1.58489319e+07  7.93303932e-01  1.58489319e+07  7.93303932e-01  1.58489319e+07  1.48401501e-03  1.58489319e+07  1.00000000e+00 
 1.67880402e+07  7.22828921e+00  1.67880402e+07  1.00000000e+00  1.67880402e+07  7.88841947e-01  1.67880402e+07  7.88841947e-01  1.67880402e+07  1.62479043e-03  1.67880402e+07  1.00000000e+00 
 1.77827941e+07  6.94341956e+00  1.77827941e+07  1.00000000e+00  1.77827941e+07  7.84500997e-01  1.77827941e+07  7.84500997e-01  1.77827941e+07  1.78773094e-03  1.77827941e+07  1.00000000e+00 
 1.88364909e+07  6.63625173e+00  1.88364909e+07  1.00000000e+00  1.88364909e+07  7.80293366e-01  1.88364909e+07  7.80293366e-01  1.88364909e+07  1.97742615e-03  1.88364909e+07  1.00000000e+00 
 1.99526231e+07  6.31190328e+00  1.99526231e+07  1.00000000e+00  1.99526231e+07  7.76230842e-01  1.99526231e+07  7.76230842e-01  1.99526231e+07  2.19917952e-03  1.99526231e+07  1.00000000e+00 
 2.11348904e+07  5.97669341e+00  2.11348904e+07  1.00000000e+00  2.11348904e+07  7.72324282e-01  2.11348904e+07  7.72324282e-01  2.11348904e+07  2.45903394e-03  2.11348904e+07  1.00000000e+00 
 2.23872114e+07  5.63749686e+00  2.23872114e+07  1.00000000e+00  2.23872114e+07  7.68583241e-01  2.23872114e+07  7.68583241e-01  2.23872114e+07  2.76379238e-03  2.23872114e+07  1.00000000e+00 
 2.37137371e+07  5.30124341e+00  2.37137371e+07  1.00000000e+00  2.37137371e+07  7.65015655e-01  2.37137371e+07  7.65015655e-01  2.37137371e+07  3.12104087e-03  2.37137371e+07  1.00000000e+00 
 2.51188643e+07  4.97418175e+00  2.51188643e+07  1.00000000e+00  2.51188643e+07  7.61627624e-01  2.51188643e+07  7.61627624e-01  2.51188643e+07  3.53918109e-03  2.51188643e+07  1.00000000e+00 
 2.66072506e+07  4.66149020e+00  2.66072506e+07  1.00000000e+00  2.66072506e+07  7.58423270e-01  2.66072506e+07  7.58423270e-01  2.66072506e+07  4.02747847e-03  2.66072506e+07  1.00000000e+00 
 2.81838293e+07  4.36707115e+00  2.81838293e+07  1.00000000e+00  2.81838293e+07  7.55404699e-01  2.81838293e+07  7.55404699e-01  2.81838293e+07  4.59612931e-03  2.81838293e+07  1.00000000e+00 
 2.98538262e+07  4.09342015e+00  2.98538262e+07  1.00000000e+00  2.98538262e+07  7.52572031e-01  2.98538262e+07  7.52572031e-01  2.98538262e+07  5.25634868e-03  2.98538262e+07  9.99999999e-01 
 3.16227766e+07  3.84179443e+00  3.16227766e+07  1.00000000e+00  3.16227766e+07  7.49923510e-01  3.16227766e+07  7.49923510e-01  3.16227766e+07  6.02047921e-03  3.16227766e+07  9.99999999e-01 
 3.34965439e+07  3.61240033e+00  3.34965439e+07  1.00000000e+00  3.34965439e+07  7.47455662e-01  3.34965439e+07  7.47455662e-01  3.34965439e+07  6.90212091e-03  3.34965439e+07  9.99999999e-01 
 3.54813389e+07  3.40465002e+00  3.54813389e+07  1.00000000e+00  3.54813389e+07  7.45163497e-01  3.54813389e+07  7.45163497e-01  3.54813389e+07  7.91628215e-03  3.54813389e+07  9.99999999e-01 
 3.75837404e+07  3.21740484e+00  3.75837404e+07  1.00000000e+00  3.75837404e+07  7.43040732e-01  3.75837404e+07  7.43040732e-01  3.75837404e+07  9.07955285e-03  3.75837404e+07  9.99999999e-01 
 3.98107171e+07  3.04919623e+00  3.98107171e+07  1.00000000e+00  3.98107171e+07  7.41080023e-01  3.98107171e+07  7.41080023e-01  3.98107171e+07  1.04103018e-02  3.98107171e+07  9.99999999e-01 
 4.21696503e+07  2.89839281e+00  4.21696503e+07  1.00000000e+00  4.21696503e+07  7.39273196e-01  4.21696503e+07  7.39273197e-01  4.21696503e+07  1.19289003e-02  4.21696503e+07  9.99999998e-01 
 4.46683592e+07  2.76332856e+00  4.46683592e+07  1.00000000e+00  4.46683592e+07  7.37611468e-01  4.46683592e+07  7.37611470e-01  4.46683592e+07  1.36579753e-02  4.46683592e+07  9.99999998e-01 
 4.73151259e+07  2.64239104e+00  4.73151259e+07  1.00000000e+00  4.73151259e+07  7.36085644e-01  4.73151259e+07  7.36085645e-01  4.73151259e+07  1.56226954e-02  4.73151259e+07  9.99999997e-01 
 5.01187234e+07  2.53406988e+00  5.01187234e+07  1.00000000e+00  5.01187234e+07  7.34686293e-01  5.01187234e+07  7.34686295e-01  5.01187234e+07  1.78510925e-02  5.01187234e+07  9.99999997e-01 
 5.30884444e+07  2.43698915e+00  5.30884444e+07  1.00000000e+00  5.30884444e+07  7.33403906e-01  5.30884444e+07  7.33403908e-01  5.30884444e+07  2.03744237e-02  5.30884444e+07  9.99999996e-01 
 5.62341325e+07  2.34991282e+00  5.62341325e+07  1.00000000e+00  5.62341325e+07  7.32229013e-01  5.62341325e+07  7.32229015e-01  5.62341325e+07  2.32275770e-02  5.62341325e+07  9.99999995e-01 
 5.95662144e+07  2.27174337e+00  5.95662144e+07  1.00000000e+00  5.95662144e+07  7.31152289e-01  5.95662144e+07  7.31152291e-01  5.95662144e+07  2.64495241e-02  5.95662144e+07  9.99999994e-01 
 6.30957344e+07  2.20151408e+00  6.30957344e+07  1.00000001e+00  6.30957344e+07  7.30164626e-01  6.30957344e+07  7.30164629e-01  6.30957344e+07  3.00838261e-02  6.30957344e+07  9.99999993e-01 
 6.68343918e+07  2.13837403e+00  6.68343918e+07  1.00000001e+00  6.68343918e+07  7.29257186e-01  6.68343918e+07  7.29257190e-01  6.68343918e+07  3.41791954e-02  6.68343918e+07  9.99999991e-01 
 7.07945784e+07  2.08157576e+00  7.07945784e+07  1.00000001e+00  7.07945784e+07  7.28421439e-01  7.07945784e+07  7.28421443e-01  7.07945784e+07  3.87901206e-02  7.07945784e+07  9.99999989e-01 
 7.49894209e+07  2.03046057e+00  7.49894209e+07  1.00000001e+00  7.49894209e+07  7.27649174e-01  7.49894209e+07  7.27649179e-01  7.49894209e+07  4.39775581e-02  7.49894209e+07  9.99999987e-01 
 7.94328235e+07  1.98444646e+00  7.94328235e+07  1.00000001e+00  7.94328235e+07  7.26932502e-01  7.94328235e+07  7.26932508e-01  7.94328235e+07  4.98096995e-02  7.94328235e+07  9.99999984e-01 
 8.41395142e+07  1.94301710e+00  8.41395142e+07  1.00000002e+00  8.41395142e+07  7.26263851e-01  8.41395142e+07  7.26263857e-01  8.41395142e+07  5.63628180e-02  8.41395142e+07  9.99999980e-01 
 8.91250938e+07  1.90571230e+00  8.91250938e+07  1.00000002e+00  8.91250938e+07  7.25635935e-01  8.91250938e+07  7.25635943e-01  8.91250938e+07  6.37222044e-02  8.91250938e+07  9.99999975e-01 
 9.44060876e+07  1.87212011e+00  9.44060876e+07  1.00000002e+00  9.44060876e+07  7.25041736e-01  9.44060876e+07  7.25041746e-01  9.44060876e+07  7.19831976e-02  9.44060876e+07  9.99999969e-01 
 1.00000000e+08  1.84187034e+00  1.00000000e+08  1.00000003e+00  1.00000000e+08  7.24474459e-01  1.00000000e+08  7.24474471e-01  1.00000000e+08  8.12523192e-02  1.00000000e+08  9.99999962e-01 
 1.05925373e+08  1.81462917e+00  1.05925373e+08  1.00000004e+00  1.05925373e+08  7.23927496e-01  1.05925373e+08  7.23927510e-01  1.05925373e+08  9.16485188e-02  1.05925373e+08  9.99999953e-01 
 1.12201845e+08  1.79009469e+00  1.12201845e+08  1.00000004e+00  1.12201845e+08  7.23394377e-01  1.12201845e+08  7.23394393e-01  1.12201845e+08  1.03304539e-01  1.12201845e+08  9.99999941e-01 
 1.18850223e+08  1.76799319e+00  1.18850223e+08  1.00000005e+00  1.18850223e+08  7.22868722e-01  1.18850223e+08  7.22868741e-01  1.18850223e+08  1.16368404e-01  1.18850223e+08  9.99999927e-01 
 1.25892541e+08  1.74807609e+00  1.25892541e+08  1.00000007e+00  1.25892541e+08  7.22344190e-01  1.25892541e+08  7.22344213e-01  1.25892541e+08  1.31005044e-01  1.25892541e+08  9.99999910e-01 
 1.33352143e+08  1.73011729e+00  1.33352143e+08  1.00000008e+00  1.33352143e+08  7.21814424e-01  1.33352143e+08  7.21814451e-01  1.33352143e+08  1.47398057e-01  1.33352143e+08  9.99999888e-01 
 1.41253754e+08  1.71391088e+00  1.41253754e+08  1.00000010e+00  1.41253754e+08  7.21272990e-01  1.41253754e+08  7.21273023e-01  1.41253754e+08  1.65751601e-01  1.41253754e+08  9.99999860e-01 
 1.49623566e+08  1.69926920e+00  1.49623566e+08  1.00000012e+00  1.49623566e+08  7.20713322e-01  1.49623566e+08  7.20713363e-01  1.49623566e+08  1.86292443e-01  1.49623566e+08  9.99999826e-01 
