 2.40000000e+09  7.01169606e-01 -4.58389208e-02  2.40000000e+09  1.13590236e+01  3.07088171e+00  2.40000000e+09 -1.47461974e-06  2.43719910e-06  2.40000000e+09  4.02644881e-01  9.14730341e-01  2.40000000e+09  8.45483067e+00  2.40000000e+09  1.00049397e+00  2.40000000e+09  7.02254449e-01  2.40000000e+09  3.31959321e+00  0.00000000e+00  2.40000000e+09  2.89790753e+00  0.00000000e+00 
 2.40835000e+09  7.01071890e-01 -4.58954621e-02  2.40835000e+09  1.13937157e+01  3.00007996e+00  2.40835000e+09 -1.47687281e-06  2.45071210e-06  2.40835000e+09  4.05743867e-01  9.13354901e-01  2.40835000e+09  8.47353459e+00  2.40835000e+09  1.00049794e+00  2.40835000e+09  7.02157229e-01  2.40835000e+09  3.31919766e+00  0.00000000e+00  2.40835000e+09  2.89764773e+00  0.00000000e+00 
 2.41670000e+09  7.00974504e-01 -4.59516947e-02  2.41670000e+09  1.14276843e+01  2.92911368e+00  2.41670000e+09 -1.47910207e-06  2.46422683e-06  2.41670000e+09  4.08823479e-01  9.11975527e-01  2.41670000e+09  8.49230999e+00  2.41670000e+09  1.00050193e+00  2.41670000e+09  7.02060314e-01  2.41670000e+09  3.31880831e+00  0.00000000e+00  2.41670000e+09  2.89739230e+00  0.00000000e+00 
 2.42505000e+09  7.00877448e-01 -4.60076219e-02  2.42505000e+09  1.14609315e+01  2.85799139e+00  2.42505000e+09 -1.48130768e-06  2.47774316e-06  2.42505000e+09  4.11883842e-01  9.10592340e-01  2.42505000e+09  8.51115673e+00  2.42505000e+09  1.00050593e+00  2.42505000e+09  7.01963703e-01  2.42505000e+09  3.31842508e+00  0.00000000e+00  2.42505000e+09  2.89714118e+00  0.00000000e+00 
 2.43340000e+09  7.00780722e-01 -4.60632470e-02  2.43340000e+09  1.14934591e+01  2.78672148e+00  2.43340000e+09 -1.48348977e-06  2.49126099e-06  2.43340000e+09  4.14925079e-01  9.09205462e-01  2.43340000e+09  8.53007463e+00  2.43340000e+09  1.00050994e+00  2.43340000e+09  7.01867398e-01  2.43340000e+09  3.31804790e+00  0.00000000e+00  2.43340000e+09  2.89689433e+00  0.00000000e+00 
 2.44175000e+09  7.00684326e-01 -4.61185732e-02  2.44175000e+09  1.15252693e+01  2.71531230e+00  2.44175000e+09 -1.48564849e-06  2.50478021e-06  2.44175000e+09  4.17947315e-01  9.07815009e-01  2.44175000e+09  8.54906354e+00  2.44175000e+09  1.00051396e+00  2.44175000e+09  7.01771398e-01  2.44175000e+09  3.31767669e+00  0.00000000e+00  2.44175000e+09  2.89665169e+00  0.00000000e+00 
 2.45010000e+09  7.00588260e-01 -4.61736036e-02  2.45010000e+09  1.15563645e+01  2.64377206e+00  2.45010000e+09 -1.48778399e-06  2.51830070e-06  2.45010000e+09  4.20950674e-01  9.06421100e-01  2.45010000e+09  8.56812328e+00  2.45010000e+09  1.00051800e+00  2.45010000e+09  7.01675703e-01  2.45010000e+09  3.31731140e+00  0.00000000e+00  2.45010000e+09  2.89641322e+00  0.00000000e+00 
 2.45845000e+09  7.00492523e-01 -4.62283413e-02  2.45845000e+09  1.15867467e+01  2.57210892e+00  2.45845000e+09 -1.48989642e-06  2.53182238e-06  2.45845000e+09  4.23935278e-01  9.05023847e-01  2.45845000e+09  8.58725371e+00  2.45845000e+09  1.00052205e+00  2.45845000e+09  7.01580313e-01  2.45845000e+09  3.31695194e+00  0.00000000e+00  2.45845000e+09  2.89617887e+00  0.00000000e+00 
 2.46680000e+09  7.00397116e-01 -4.62827896e-02  2.46680000e+09  1.16164184e+01  2.50033092e+00  2.46680000e+09 -1.49198592e-06  2.54534512e-06  2.46680000e+09  4.26901249e-01  9.03623364e-01  2.46680000e+09  8.60645464e+00  2.46680000e+09  1.00052611e+00  2.46680000e+09  7.01485228e-01  2.46680000e+09  3.31659824e+00  0.00000000e+00  2.46680000e+09  2.89594858e+00  0.00000000e+00 
 2.47515000e+09  7.00302038e-01 -4.63369516e-02  2.47515000e+09  1.16453821e+01  2.42844603e+00  2.47515000e+09 -1.49405263e-06  2.55886883e-06  2.47515000e+09  4.29848710e-01  9.02219762e-01  2.47515000e+09  8.62572592e+00  2.47515000e+09  1.00053018e+00  2.47515000e+09  7.01390450e-01  2.47515000e+09  3.31625024e+00  0.00000000e+00  2.47515000e+09  2.89572231e+00  0.00000000e+00 
 2.48350000e+09  7.00207289e-01 -4.63908302e-02  2.48350000e+09  1.16736403e+01  2.35646210e+00  2.48350000e+09 -1.49609669e-06  2.57239341e-06  2.48350000e+09  4.32777782e-01  9.00813149e-01  2.48350000e+09  8.64506739e+00  2.48350000e+09  1.00053427e+00  2.48350000e+09  7.01295976e-01  2.48350000e+09  3.31590787e+00  0.00000000e+00  2.48350000e+09  2.89550002e+00  0.00000000e+00 
