 2.40000000e+09  6.75346236e-01 -6.55986471e-02  2.40000000e+09 -3.50429587e+00  2.16993445e+00  2.40000000e+09 -4.28963988e-05 -2.87432844e-06  2.40000000e+09  4.29303148e-01  9.01262900e-01  2.40000000e+09  5.17683802e+00  2.40000000e+09  1.00137494e+00  2.40000000e+09  6.77352524e-01  2.40000000e+09  1.71404788e+00  0.00000000e+00  2.40000000e+09  1.68830480e+00  0.00000000e+00 
 2.40835000e+09  6.75257414e-01 -6.56729839e-02  2.40835000e+09 -3.49135171e+00  2.17866972e+00  2.40835000e+09 -4.32046148e-05 -2.86858471e-06  2.40835000e+09  4.32500331e-01  8.99716655e-01  2.40835000e+09  5.19375168e+00  2.40835000e+09  1.00138796e+00  2.40835000e+09  6.77261471e-01  2.40835000e+09  1.71393277e+00  0.00000000e+00  2.40835000e+09  1.68820354e+00  0.00000000e+00 
 2.41670000e+09  6.75169147e-01 -6.57473716e-02  2.41670000e+09 -3.47841909e+00  2.18728302e+00  2.41670000e+09 -4.35139220e-05 -2.86261330e-06  2.41670000e+09  4.35677489e-01  8.98166026e-01  2.41670000e+09  5.21063490e+00  2.41670000e+09  1.00140104e+00  2.41670000e+09  6.77170954e-01  2.41670000e+09  1.71381741e+00  0.00000000e+00  2.41670000e+09  1.68810205e+00  0.00000000e+00 
 2.42505000e+09  6.75081431e-01 -6.58218122e-02  2.42505000e+09 -3.46549888e+00  2.19577550e+00  2.42505000e+09 -4.38243200e-05 -2.85641328e-06  2.42505000e+09  4.38834745e-01  8.96611141e-01  2.42505000e+09  5.22748761e+00  2.42505000e+09  1.00141417e+00  2.42505000e+09  6.77080967e-01  2.42505000e+09  1.71370181e+00  0.00000000e+00  2.42505000e+09  1.68800035e+00  0.00000000e+00 
 2.43340000e+09  6.74994261e-01 -6.58963077e-02  2.43340000e+09 -3.45259189e+00  2.20414829e+00  2.43340000e+09 -4.41358084e-05 -2.84998373e-06  2.43340000e+09  4.41972225e-01  8.95052126e-01  2.43340000e+09  5.24430976e+00  2.43340000e+09  1.00142735e+00  2.43340000e+09  6.76991506e-01  2.43340000e+09  1.71358597e+00  0.00000000e+00  2.43340000e+09  1.68789842e+00  0.00000000e+00 
 2.44175000e+09  6.74907632e-01 -6.59708601e-02  2.44175000e+09 -3.43969893e+00  2.21240252e+00  2.44175000e+09 -4.44483868e-05 -2.84332373e-06  2.44175000e+09  4.45090054e-01  8.93489108e-01  2.44175000e+09  5.26110129e+00  2.44175000e+09  1.00144057e+00  2.44175000e+09  6.76902567e-01  2.44175000e+09  1.71346989e+00  0.00000000e+00  2.44175000e+09  1.68779627e+00  0.00000000e+00 
 2.45010000e+09  6.74821541e-01 -6.60454713e-02  2.45010000e+09 -3.42682080e+00  2.22053931e+00  2.45010000e+09 -4.47620547e-05 -2.83643238e-06  2.45010000e+09  4.48188354e-01  8.91922209e-01  2.45010000e+09  5.27786214e+00  2.45010000e+09  1.00145386e+00  2.45010000e+09  6.76814146e-01  2.45010000e+09  1.71335358e+00  0.00000000e+00  2.45010000e+09  1.68769391e+00  0.00000000e+00 
 2.45845000e+09  6.74735981e-01 -6.61201431e-02  2.45845000e+09 -3.41395826e+00  2.22855979e+00  2.45845000e+09 -4.50768119e-05 -2.82930875e-06  2.45845000e+09  4.51267250e-01  8.90351550e-01  2.45845000e+09  5.29459225e+00  2.45845000e+09  1.00146719e+00  2.45845000e+09  6.76726238e-01  2.45845000e+09  1.71323702e+00  0.00000000e+00  2.45845000e+09  1.68759133e+00  0.00000000e+00 
 2.46680000e+09  6.74650948e-01 -6.61948774e-02  2.46680000e+09 -3.40111206e+00  2.23646505e+00  2.46680000e+09 -4.53926578e-05 -2.82195195e-06  2.46680000e+09  4.54326865e-01  8.88777251e-01  2.46680000e+09  5.31129156e+00  2.46680000e+09  1.00148057e+00  2.46680000e+09  6.76638840e-01  2.46680000e+09  1.71312023e+00  0.00000000e+00  2.46680000e+09  1.68748853e+00  0.00000000e+00 
 2.47515000e+09  6.74566439e-01 -6.62696760e-02  2.47515000e+09 -3.38828293e+00  2.24425621e+00  2.47515000e+09 -4.57095921e-05 -2.81436107e-06  2.47515000e+09  4.57367320e-01  8.87199428e-01  2.47515000e+09  5.32796003e+00  2.47515000e+09  1.00149400e+00  2.47515000e+09  6.76551947e-01  2.47515000e+09  1.71300321e+00  0.00000000e+00  2.47515000e+09  1.68738551e+00  0.00000000e+00 
 2.48350000e+09  6.74482448e-01 -6.63445405e-02  2.48350000e+09 -3.37547159e+00  2.25193437e+00  2.48350000e+09 -4.60276143e-05 -2.80653520e-06  2.48350000e+09  4.60388739e-01  8.85618196e-01  2.48350000e+09  5.34459760e+00  2.48350000e+09  1.00150748e+00  2.48350000e+09  6.76465554e-01  2.48350000e+09  1.71288595e+00  0.00000000e+00  2.48350000e+09  1.68728228e+00  0.00000000e+00 
