 2.40000000e+09  7.29297808e-01 -1.90785711e-02  2.40000000e+09 -1.48305833e+00 -3.46462299e-01  2.40000000e+09 -3.48802287e-06 -1.54754558e-06  2.40000000e+09  3.86975834e-01  9.22059174e-01  2.40000000e+09  1.63697733e+00  2.40000000e+09  1.00000791e+00  2.40000000e+09  7.29521575e-01  2.40000000e+09  5.65932465e+00  0.00000000e+00  2.40000000e+09  4.48178046e+00  0.00000000e+00 
 2.40835000e+09  7.29266317e-01 -1.91275980e-02  2.40835000e+09 -1.48501569e+00 -3.42500940e-01  2.40835000e+09 -3.51615285e-06 -1.55463004e-06  2.40835000e+09  3.90013898e-01  9.20777966e-01  2.40835000e+09  1.63953933e+00  2.40835000e+09  1.00000801e+00  2.40835000e+09  7.29491152e-01  2.40835000e+09  5.65927424e+00  0.00000000e+00  2.40835000e+09  4.48174852e+00  0.00000000e+00 
 2.41670000e+09  7.29234764e-01 -1.91765499e-02  2.41670000e+09 -1.48694587e+00 -3.38541450e-01  2.41670000e+09 -3.54439473e-06 -1.56170819e-06  2.41670000e+09  3.93032917e-01  9.19493075e-01  2.41670000e+09  1.64209363e+00  2.41670000e+09  1.00000811e+00  2.41670000e+09  7.29460669e-01  2.41670000e+09  5.65922367e+00  0.00000000e+00  2.41670000e+09  4.48171648e+00  0.00000000e+00 
 2.42505000e+09  7.29203150e-01 -1.92254267e-02  2.42505000e+09 -1.48884906e+00 -3.34583972e-01  2.42505000e+09 -3.57274841e-06 -1.56877994e-06  2.42505000e+09  3.96033016e-01  9.18204618e-01  2.42505000e+09  1.64464035e+00  2.42505000e+09  1.00000820e+00  2.42505000e+09  7.29430124e-01  2.42505000e+09  5.65917292e+00  0.00000000e+00  2.42505000e+09  4.48168433e+00  0.00000000e+00 
 2.43340000e+09  7.29171475e-01 -1.92742279e-02  2.43340000e+09 -1.49072543e+00 -3.30628648e-01  2.43340000e+09 -3.60121383e-06 -1.57584521e-06  2.43340000e+09  3.99014319e-01  9.16912713e-01  2.43340000e+09  1.64717962e+00  2.43340000e+09  1.00000830e+00  2.43340000e+09  7.29399520e-01  2.43340000e+09  5.65912201e+00  0.00000000e+00  2.43340000e+09  4.48165207e+00  0.00000000e+00 
 2.44175000e+09  7.29139740e-01 -1.93229532e-02  2.44175000e+09 -1.49257515e+00 -3.26675617e-01  2.44175000e+09 -3.62979090e-06 -1.58290394e-06  2.44175000e+09  4.01976950e-01  9.15617474e-01  2.44175000e+09  1.64971156e+00  2.44175000e+09  1.00000840e+00  2.44175000e+09  7.29368855e-01  2.44175000e+09  5.65907094e+00  0.00000000e+00  2.44175000e+09  4.48161970e+00  0.00000000e+00 
 2.45010000e+09  7.29107944e-01 -1.93716024e-02  2.45010000e+09 -1.49439841e+00 -3.22725014e-01  2.45010000e+09 -3.65847954e-06 -1.58995604e-06  2.45010000e+09  4.04921032e-01  9.14319015e-01  2.45010000e+09  1.65223627e+00  2.45010000e+09  1.00000850e+00  2.45010000e+09  7.29338131e-01  2.45010000e+09  5.65901970e+00  0.00000000e+00  2.45010000e+09  4.48158722e+00  0.00000000e+00 
 2.45845000e+09  7.29076089e-01 -1.94201752e-02  2.45845000e+09 -1.49619537e+00 -3.18776975e-01  2.45845000e+09 -3.68727967e-06 -1.59700143e-06  2.45845000e+09  4.07846688e-01  9.13017445e-01  2.45845000e+09  1.65475388e+00  2.45845000e+09  1.00000860e+00  2.45845000e+09  7.29307347e-01  2.45845000e+09  5.65896829e+00  0.00000000e+00  2.45845000e+09  4.48155462e+00  0.00000000e+00 
 2.46680000e+09  7.29044174e-01 -1.94686712e-02  2.46680000e+09 -1.49796621e+00 -3.14831630e-01  2.46680000e+09 -3.71619121e-06 -1.60404006e-06  2.46680000e+09  4.10754039e-01  9.11712875e-01  2.46680000e+09  1.65726449e+00  2.46680000e+09  1.00000870e+00  2.46680000e+09  7.29276505e-01  2.46680000e+09  5.65891672e+00  0.00000000e+00  2.46680000e+09  4.48152192e+00  0.00000000e+00 
 2.47515000e+09  7.29012201e-01 -1.95170902e-02  2.47515000e+09 -1.49971110e+00 -3.10889110e-01  2.47515000e+09 -3.74521408e-06 -1.61107183e-06  2.47515000e+09  4.13643207e-01  9.10405412e-01  2.47515000e+09  1.65976823e+00  2.47515000e+09  1.00000880e+00  2.47515000e+09  7.29245604e-01  2.47515000e+09  5.65886498e+00  0.00000000e+00  2.47515000e+09  4.48148912e+00  0.00000000e+00 
 2.48350000e+09  7.28980168e-01 -1.95654319e-02  2.48350000e+09 -1.50143022e+00 -3.06949542e-01  2.48350000e+09 -3.77434821e-06 -1.61809669e-06  2.48350000e+09  4.16514313e-01  9.09095160e-01  2.48350000e+09  1.66226520e+00  2.48350000e+09  1.00000890e+00  2.48350000e+09  7.29214644e-01  2.48350000e+09  5.65881307e+00  0.00000000e+00  2.48350000e+09  4.48145620e+00  0.00000000e+00 
