 1.00000000e+07  4.68399130e+00  1.00000000e+07  1.00000000e+00  1.00000000e+07  8.26448032e-01  1.00000000e+07  8.26448032e-01  1.00000000e+07  1.48574067e-02  1.00000000e+07  1.00000000e+00 
 1.05925373e+07  4.29872809e+00  1.05925373e+07  1.00000000e+00  1.05925373e+07  8.21882078e-01  1.05925373e+07  8.21882078e-01  1.05925373e+07  1.66905481e-02  1.05925373e+07  1.00000000e+00 
 1.12201845e+07  3.92035267e+00  1.12201845e+07  1.00000000e+00  1.12201845e+07  8.17291719e-01  1.12201845e+07  8.17291719e-01  1.12201845e+07  1.87336740e-02  1.12201845e+07  1.00000000e+00 
 1.18850223e+07  3.54924345e+00  1.18850223e+07  1.00000000e+00  1.18850223e+07  8.12686424e-01  1.18850223e+07  8.12686424e-01  1.18850223e+07  2.10081190e-02  1.18850223e+07  1.00000000e+00 
 1.25892541e+07  3.18594207e+00  1.25892541e+07  1.00000000e+00  1.25892541e+07  8.08078268e-01  1.25892541e+07  8.08078268e-01  1.25892541e+07  2.35367744e-02  1.25892541e+07  1.00000000e+00 
 1.33352143e+07  2.83111092e+00  1.33352143e+07  1.00000000e+00  1.33352143e+07  8.03481607e-01  1.33352143e+07  8.03481607e-01  1.33352143e+07  2.63440724e-02  1.33352143e+07  1.00000000e+00 
 1.41253754e+07  2.48555811e+00  1.41253754e+07  1.00000000e+00  1.41253754e+07  7.98912651e-01  1.41253754e+07  7.98912652e-01  1.41253754e+07  2.94559409e-02  1.41253754e+07  1.00000000e+00 
 1.49623566e+07  2.15025572e+00  1.49623566e+07  1.00000000e+00  1.49623566e+07  7.94388968e-01  1.49623566e+07  7.94388968e-01  1.49623566e+07  3.28997284e-02  1.49623566e+07  1.00000000e+00 
 1.58489319e+07  1.82627300e+00  1.58489319e+07  1.00000000e+00  1.58489319e+07  7.89928926e-01  1.58489319e+07  7.89928927e-01  1.58489319e+07  3.67040954e-02  1.58489319e+07  1.00000000e+00 
 1.67880402e+07  1.51478255e+00  1.67880402e+07  1.00000000e+00  1.67880402e+07  7.85551131e-01  1.67880402e+07  7.85551131e-01  1.67880402e+07  4.08988729e-02  1.67880402e+07  9.99999999e-01 
 1.77827941e+07  1.21700783e+00  1.77827941e+07  1.00000000e+00  1.77827941e+07  7.81273851e-01  1.77827941e+07  7.81273852e-01  1.77827941e+07  4.55148867e-02  1.77827941e+07  9.99999999e-01 
 1.88364909e+07  9.34177394e-01  1.88364909e+07  1.00000000e+00  1.88364909e+07  7.77114491e-01  1.88364909e+07  7.77114491e-01  1.88364909e+07  5.05837530e-02  1.88364909e+07  9.99999999e-01 
 1.99526231e+07  6.67482341e-01  1.99526231e+07  1.00000000e+00  1.99526231e+07  7.73089108e-01  1.99526231e+07  7.73089109e-01  1.99526231e+07  5.61376497e-02  1.99526231e+07  9.99999999e-01 
 2.11348904e+07  4.18020206e-01  2.11348904e+07  1.00000000e+00  2.11348904e+07  7.69212021e-01  2.11348904e+07  7.69212021e-01  2.11348904e+07  6.22090707e-02  2.11348904e+07  9.99999999e-01 
 2.23872114e+07  1.86743876e-01  2.23872114e+07  9.99999999e-01  2.23872114e+07  7.65495488e-01  2.23872114e+07  7.65495489e-01  2.23872114e+07  6.88305762e-02  2.23872114e+07  9.99999999e-01 
 2.37137371e+07 -2.55787777e-02  2.37137371e+07  9.99999999e-01  2.37137371e+07  7.61949503e-01  2.37137371e+07  7.61949503e-01  2.37137371e+07  7.60345510e-02  2.37137371e+07  1.00000000e+00 
 2.51188643e+07 -2.18411186e-01  2.51188643e+07  9.99999998e-01  2.51188643e+07  7.58581668e-01  2.51188643e+07  7.58581668e-01  2.51188643e+07  8.38529866e-02  2.51188643e+07  1.00000000e+00 
 2.66072506e+07 -3.91469855e-01  2.66072506e+07  9.99999997e-01  2.66072506e+07  7.55397175e-01  2.66072506e+07  7.55397176e-01  2.66072506e+07  9.23173033e-02  2.66072506e+07  1.00000000e+00 
 2.81838293e+07 -5.44742551e-01  2.81838293e+07  9.99999996e-01  2.81838293e+07  7.52398865e-01  2.81838293e+07  7.52398866e-01  2.81838293e+07  1.01458229e-01  2.81838293e+07  1.00000000e+00 
 2.98538262e+07 -6.78489946e-01  2.98538262e+07  9.99999995e-01  2.98538262e+07  7.49587352e-01  2.98538262e+07  7.49587353e-01  2.98538262e+07  1.11305745e-01  2.98538262e+07  1.00000000e+00 
 3.16227766e+07 -7.93234405e-01  3.16227766e+07  9.99999994e-01  3.16227766e+07  7.46961213e-01  3.16227766e+07  7.46961214e-01  3.16227766e+07  1.21889123e-01  3.16227766e+07  1.00000000e+00 
 3.34965439e+07 -8.89737412e-01  3.34965439e+07  9.99999992e-01  3.34965439e+07  7.44517212e-01  3.34965439e+07  7.44517213e-01  3.34965439e+07  1.33237033e-01  3.34965439e+07  1.00000000e+00 
 3.54813389e+07 -9.68965290e-01  3.54813389e+07  9.99999990e-01  3.54813389e+07  7.42250550e-01  3.54813389e+07  7.42250550e-01  3.54813389e+07  1.45377761e-01  3.54813389e+07  1.00000000e+00 
 3.75837404e+07 -1.03204825e+00  3.75837404e+07  9.99999987e-01  3.75837404e+07  7.40155122e-01  3.75837404e+07  7.40155123e-01  3.75837404e+07  1.58339495e-01  3.75837404e+07  1.00000000e+00 
 3.98107171e+07 -1.08023531e+00  3.98107171e+07  9.99999984e-01  3.98107171e+07  7.38223785e-01  3.98107171e+07  7.38223785e-01  3.98107171e+07  1.72150696e-01  3.98107171e+07  1.00000000e+00 
 4.21696503e+07 -1.11484809e+00  4.21696503e+07  9.99999980e-01  4.21696503e+07  7.36448598e-01  4.21696503e+07  7.36448598e-01  4.21696503e+07  1.86840527e-01  4.21696503e+07  1.00000000e+00 
 4.46683592e+07 -1.13723604e+00  4.46683592e+07  9.99999976e-01  4.46683592e+07  7.34821058e-01  4.46683592e+07  7.34821059e-01  4.46683592e+07  2.02439327e-01  4.46683592e+07  1.00000001e+00 
 4.73151259e+07 -1.14873643e+00  4.73151259e+07  9.99999971e-01  4.73151259e+07  7.33332307e-01  4.73151259e+07  7.33332309e-01  4.73151259e+07  2.18979104e-01  4.73151259e+07  1.00000001e+00 
 5.01187234e+07 -1.15064035e+00  5.01187234e+07  9.99999966e-01  5.01187234e+07  7.31973315e-01  5.01187234e+07  7.31973317e-01  5.01187234e+07  2.36494040e-01  5.01187234e+07  1.00000001e+00 
 5.30884444e+07 -1.14416589e+00  5.30884444e+07  9.99999959e-01  5.30884444e+07  7.30735032e-01  5.30884444e+07  7.30735034e-01  5.30884444e+07  2.55020979e-01  5.30884444e+07  1.00000001e+00 
 5.62341325e+07 -1.13043855e+00  5.62341325e+07  9.99999952e-01  5.62341325e+07  7.29608520e-01  5.62341325e+07  7.29608524e-01  5.62341325e+07  2.74599887e-01  5.62341325e+07  1.00000001e+00 
 5.95662144e+07 -1.11047931e+00  5.95662144e+07  9.99999943e-01  5.95662144e+07  7.28585059e-01  5.95662144e+07  7.28585064e-01  5.95662144e+07  2.95274271e-01  5.95662144e+07  1.00000001e+00 
 6.30957344e+07 -1.08519890e+00  6.30957344e+07  9.99999934e-01  6.30957344e+07  7.27656220e-01  6.30957344e+07  7.27656227e-01  6.30957344e+07  3.17091555e-01  6.30957344e+07  1.00000001e+00 
 6.68343918e+07 -1.05539784e+00  6.68343918e+07  9.99999923e-01  6.68343918e+07  7.26813933e-01  6.68343918e+07  7.26813942e-01  6.68343918e+07  3.40103399e-01  6.68343918e+07  1.00000001e+00 
 7.07945784e+07 -1.02177058e+00  7.07945784e+07  9.99999910e-01  7.07945784e+07  7.26050526e-01  7.07945784e+07  7.26050537e-01  7.07945784e+07  3.64365967e-01  7.07945784e+07  1.00000001e+00 
 7.49894209e+07 -9.84912950e-01  7.49894209e+07  9.99999896e-01  7.49894209e+07  7.25358749e-01  7.49894209e+07  7.25358763e-01  7.49894209e+07  3.89940147e-01  7.49894209e+07  1.00000001e+00 
 7.94328235e+07 -9.45331443e-01  7.94328235e+07  9.99999881e-01  7.94328235e+07  7.24731794e-01  7.94328235e+07  7.24731812e-01  7.94328235e+07  4.16891717e-01  7.94328235e+07  1.00000001e+00 
 8.41395142e+07 -9.03453601e-01  8.41395142e+07  9.99999863e-01  8.41395142e+07  7.24163294e-01  8.41395142e+07  7.24163317e-01  8.41395142e+07  4.45291466e-01  8.41395142e+07  1.00000001e+00 
 8.91250938e+07 -8.59638491e-01  8.91250938e+07  9.99999842e-01  8.91250938e+07  7.23647315e-01  8.91250938e+07  7.23647343e-01  8.91250938e+07  4.75215277e-01  8.91250938e+07  1.00000001e+00 
 9.44060876e+07 -8.14186616e-01  9.44060876e+07  9.99999819e-01  9.44060876e+07  7.23178324e-01  9.44060876e+07  7.23178359e-01  9.44060876e+07  5.06744164e-01  9.44060876e+07  1.00000001e+00 
 1.00000000e+08 -7.67349032e-01  1.00000000e+08  9.99999793e-01  1.00000000e+08  7.22751126e-01  1.00000000e+08  7.22751169e-01  1.00000000e+08  5.39964257e-01  1.00000000e+08  1.00000001e+00 
 1.05925373e+08 -7.19335082e-01  1.05925373e+08  9.99999763e-01  1.05925373e+08  7.22360745e-01  1.05925373e+08  7.22360798e-01  1.05925373e+08  5.74966743e-01  1.05925373e+08  1.00000001e+00 
 1.12201845e+08 -6.70318846e-01  1.12201845e+08  9.99999730e-01  1.12201845e+08  7.22002283e-01  1.12201845e+08  7.22002347e-01  1.12201845e+08  6.11847754e-01  1.12201845e+08  1.00000001e+00 
 1.18850223e+08 -6.20444282e-01  1.18850223e+08  9.99999692e-01  1.18850223e+08  7.21670916e-01  1.18850223e+08  7.21670994e-01  1.18850223e+08  6.50708273e-01  1.18850223e+08  1.00000000e+00 
 1.25892541e+08 -5.69829520e-01  1.25892541e+08  9.99999650e-01  1.25892541e+08  7.21362192e-01  1.25892541e+08  7.21362288e-01  1.25892541e+08  6.91654101e-01  1.25892541e+08  9.99999992e-01 
