 2.40000000e+09  6.48412275e-01 -1.03051107e-01  2.40000000e+09  1.15493939e+01  4.90449220e-01  2.40000000e+09 -5.55148957e-06  9.99996240e-06  2.40000000e+09  4.00802942e-01  9.15672231e-01  2.40000000e+09  1.65315567e+00  2.40000000e+09  1.00015186e+00  2.40000000e+09  6.56196457e-01  2.40000000e+09  1.45575196e+00  0.00000000e+00  2.40000000e+09  1.44951417e+00  0.00000000e+00 
 2.40835000e+09  6.48326926e-01 -1.03238222e-01  2.40835000e+09  1.15722581e+01  4.19385656e-01  2.40835000e+09 -5.55763057e-06  1.00551270e-05  2.40835000e+09  4.03895275e-01  9.14308668e-01  2.40835000e+09  1.65359500e+00  2.40835000e+09  1.00015289e+00  2.40835000e+09  6.56138440e-01  2.40835000e+09  1.45575256e+00  0.00000000e+00  2.40835000e+09  1.44949745e+00  0.00000000e+00 
 2.41670000e+09  6.48242033e-01 -1.03425666e-01  2.41670000e+09  1.15945722e+01  3.48197160e-01  2.41670000e+09 -5.56366250e-06  1.01103001e-05  2.41670000e+09  4.06968281e-01  9.12941202e-01  2.41670000e+09  1.65402935e+00  2.41670000e+09  1.00015391e+00  2.41670000e+09  6.56080975e-01  2.41670000e+09  1.45575546e+00  0.00000000e+00  2.41670000e+09  1.44948291e+00  0.00000000e+00 
 2.42505000e+09  6.48157591e-01 -1.03613439e-01  2.42505000e+09  1.16163374e+01  2.76887788e-01  2.42505000e+09 -5.56958591e-06  1.01654811e-05  2.42505000e+09  4.10022083e-01  9.11569954e-01  2.42505000e+09  1.65445868e+00  2.42505000e+09  1.00015495e+00  2.42505000e+09  6.56024056e-01  2.42505000e+09  1.45576065e+00  0.00000000e+00  2.42505000e+09  1.44947052e+00  0.00000000e+00 
 2.43340000e+09  6.48073593e-01 -1.03801539e-01  2.43340000e+09  1.16375548e+01  2.05461557e-01  2.43340000e+09 -5.57540136e-06  1.02206696e-05  2.43340000e+09  4.13056807e-01  9.10195044e-01  2.43340000e+09  1.65488296e+00  2.43340000e+09  1.00015598e+00  2.43340000e+09  6.55967678e-01  2.43340000e+09  1.45576812e+00  0.00000000e+00  2.43340000e+09  1.44946029e+00  0.00000000e+00 
 2.44175000e+09  6.47990033e-01 -1.03989965e-01  2.44175000e+09  1.16582253e+01  1.33922440e-01  2.44175000e+09 -5.58110938e-06  1.02758651e-05  2.44175000e+09  4.16072577e-01  9.08816590e-01  2.44175000e+09  1.65530216e+00  2.44175000e+09  1.00015701e+00  2.44175000e+09  6.55911835e-01  2.44175000e+09  1.45577785e+00  0.00000000e+00  2.44175000e+09  1.44945221e+00  0.00000000e+00 
 2.45010000e+09  6.47906906e-01 -1.04178718e-01  2.45010000e+09  1.16783503e+01  6.22743720e-02  2.45010000e+09 -5.58671053e-06  1.03310671e-05  2.45010000e+09  4.19069516e-01  9.07434708e-01  2.45010000e+09  1.65571626e+00  2.45010000e+09  1.00015804e+00  2.45010000e+09  6.55856522e-01  2.45010000e+09  1.45578983e+00  0.00000000e+00  2.45010000e+09  1.44944625e+00  0.00000000e+00 
 2.45845000e+09  6.47824206e-01 -1.04367795e-01  2.45845000e+09  1.16979306e+01 -9.47875206e-03  2.45845000e+09 -5.59220535e-06  1.03862753e-05  2.45845000e+09  4.22047746e-01  9.06049512e-01  2.45845000e+09  1.65612521e+00  2.45845000e+09  1.00015907e+00  2.45845000e+09  6.55801734e-01  2.45845000e+09  1.45580405e+00  0.00000000e+00  2.45845000e+09  1.44944240e+00  0.00000000e+00 
 2.46680000e+09  6.47741928e-01 -1.04557196e-01  2.46680000e+09  1.17169676e+01 -8.13330759e-02  2.46680000e+09 -5.59759437e-06  1.04414890e-05  2.46680000e+09  4.25007391e-01  9.04661114e-01  2.46680000e+09  1.65652901e+00  2.46680000e+09  1.00016011e+00  2.46680000e+09  6.55747464e-01  2.46680000e+09  1.45582050e+00  0.00000000e+00  2.46680000e+09  1.44944067e+00  0.00000000e+00 
 2.47515000e+09  6.47660066e-01 -1.04746920e-01  2.47515000e+09  1.17354623e+01 -1.53284781e-01  2.47515000e+09 -5.60287813e-06  1.04967079e-05  2.47515000e+09  4.27948571e-01  9.03269624e-01  2.47515000e+09  1.65692762e+00  2.47515000e+09  1.00016114e+00  2.47515000e+09  6.55693707e-01  2.47515000e+09  1.45583916e+00  0.00000000e+00  2.47515000e+09  1.44944103e+00  0.00000000e+00 
 2.48350000e+09  6.47578614e-01 -1.04936966e-01  2.48350000e+09  1.17534158e+01 -2.25330088e-01  2.48350000e+09 -5.60805717e-06  1.05519316e-05  2.48350000e+09  4.30871409e-01  9.01875151e-01  2.48350000e+09  1.65732102e+00  2.48350000e+09  1.00016218e+00  2.48350000e+09  6.55640459e-01  2.48350000e+09  1.45586003e+00  0.00000000e+00  2.48350000e+09  1.44944347e+00  0.00000000e+00 
