 2.40000000e+09  5.70161609e-01 -1.83285155e-01  2.40000000e+09 -2.76490972e+00  3.53667946e+00  2.40000000e+09 -2.04614865e-04  1.78605113e-04  2.40000000e+09  5.69703155e-01  8.11951443e-01  2.40000000e+09  4.63768109e+00  2.40000000e+09  1.00700196e+00  2.40000000e+09  5.94822402e-01  2.40000000e+09  1.08894389e+00  0.00000000e+00  2.40000000e+09  1.04302959e+00  0.00000000e+00 
 2.40835000e+09  5.69957443e-01 -1.83581039e-01  2.40835000e+09 -2.74606380e+00  3.54097397e+00  2.40835000e+09 -2.05495868e-04  1.79769567e-04  2.40835000e+09  5.73307853e-01  8.09327960e-01  2.40835000e+09  4.65875478e+00  2.40835000e+09  1.00706603e+00  2.40835000e+09  5.94681956e-01  2.40835000e+09  1.08887078e+00  0.00000000e+00  2.40835000e+09  1.04281462e+00  0.00000000e+00 
 2.41670000e+09  5.69754015e-01 -1.83877467e-01  2.41670000e+09 -2.72728571e+00  3.54514225e+00  2.41670000e+09 -2.06377103e-04  1.80936344e-04  2.41670000e+09  5.76887431e-01  8.06697552e-01  2.41670000e+09  4.67983278e+00  2.41670000e+09  1.00713032e+00  2.41670000e+09  5.94542447e-01  2.41670000e+09  1.08879822e+00  0.00000000e+00  2.41670000e+09  1.04259999e+00  0.00000000e+00 
 2.42505000e+09  5.69551316e-01 -1.84174436e-01  2.42505000e+09 -2.70857576e+00  3.54918585e+00  2.42505000e+09 -2.07258573e-04  1.82105440e-04  2.42505000e+09  5.80442017e-01  8.04060398e-01  2.42505000e+09  4.70091469e+00  2.42505000e+09  1.00719483e+00  2.42505000e+09  5.94403864e-01  2.42505000e+09  1.08872621e+00  0.00000000e+00  2.42505000e+09  1.04238572e+00  0.00000000e+00 
 2.43340000e+09  5.69349333e-01 -1.84471943e-01  2.43340000e+09 -2.68993429e+00  3.55310629e+00  2.43340000e+09 -2.08140279e-04  1.83276850e-04  2.43340000e+09  5.83971738e-01  8.01416672e-01  2.43340000e+09  4.72200014e+00  2.43340000e+09  1.00725957e+00  2.43340000e+09  5.94266197e-01  2.43340000e+09  1.08865477e+00  0.00000000e+00  2.43340000e+09  1.04217182e+00  0.00000000e+00 
 2.44175000e+09  5.69148056e-01 -1.84769985e-01  2.44175000e+09 -2.67136157e+00  3.55690510e+00  2.44175000e+09 -2.09022223e-04  1.84450569e-04  2.44175000e+09  5.87476719e-01  7.98766547e-01  2.44175000e+09  4.74308873e+00  2.44175000e+09  1.00732452e+00  2.44175000e+09  5.94129437e-01  2.44175000e+09  1.08858389e+00  0.00000000e+00  2.44175000e+09  1.04195829e+00  0.00000000e+00 
 2.45010000e+09  5.68947473e-01 -1.85068560e-01  2.45010000e+09 -2.65285790e+00  3.56058378e+00  2.45010000e+09 -2.09904408e-04  1.85626592e-04  2.45010000e+09  5.90957089e-01  7.96110194e-01  2.45010000e+09  4.76418009e+00  2.45010000e+09  1.00738969e+00  2.45010000e+09  5.93993573e-01  2.45010000e+09  1.08851359e+00  0.00000000e+00  2.45010000e+09  1.04174515e+00  0.00000000e+00 
 2.45845000e+09  5.68747575e-01 -1.85367665e-01  2.45845000e+09 -2.63442353e+00  3.56414381e+00  2.45845000e+09 -2.10786835e-04  1.86804916e-04  2.45845000e+09  5.94412973e-01  7.93447779e-01  2.45845000e+09  4.78527383e+00  2.45845000e+09  1.00745509e+00  2.45845000e+09  5.93858596e-01  2.45845000e+09  1.08844387e+00  0.00000000e+00  2.45845000e+09  1.04153240e+00  0.00000000e+00 
 2.46680000e+09  5.68548351e-01 -1.85667296e-01  2.46680000e+09 -2.61605872e+00  3.56758666e+00  2.46680000e+09 -2.11669506e-04  1.87985536e-04  2.46680000e+09  5.97844498e-01  7.90779470e-01  2.46680000e+09  4.80636956e+00  2.46680000e+09  1.00752069e+00  2.46680000e+09  5.93724497e-01  2.46680000e+09  1.08837474e+00  0.00000000e+00  2.46680000e+09  1.04132006e+00  0.00000000e+00 
 2.47515000e+09  5.68349790e-01 -1.85967452e-01  2.47515000e+09 -2.59776369e+00  3.57091379e+00  2.47515000e+09 -2.12552423e-04  1.89168447e-04  2.47515000e+09  6.01251792e-01  7.88105429e-01  2.47515000e+09  4.82746692e+00  2.47515000e+09  1.00758652e+00  2.47515000e+09  5.93591265e-01  2.47515000e+09  1.08830620e+00  0.00000000e+00  2.47515000e+09  1.04110814e+00  0.00000000e+00 
 2.48350000e+09  5.68151882e-01 -1.86268129e-01  2.48350000e+09 -2.57953868e+00  3.57412664e+00  2.48350000e+09 -2.13435588e-04  1.90353646e-04  2.48350000e+09  6.04634980e-01  7.85425818e-01  2.48350000e+09  4.84856551e+00  2.48350000e+09  1.00765256e+00  2.48350000e+09  5.93458891e-01  2.48350000e+09  1.08823827e+00  0.00000000e+00  2.48350000e+09  1.04089664e+00  0.00000000e+00 
