point_id,corner_label,temp_c,vdd_v,ic1_end_a,ic1_op_a,end_vs_op_pct,settled_spread_pct,verdict
startup_bcs_125c_vdd1.98v,bcs,125,1.98,0.00408241,0.00408241,0.000,0.000,PASS
startup_wcs_-40c_vdd1.62v,wcs,-40,1.62,0.00225967,0.00225968,-0.000,0.002,PASS
startup_typ_27c_vdd1.80v,typ,27,1.80,0.0030557,0.00305568,0.001,0.000,PASS
