point_id,corner_label,temp_c,vdd_v,ic1_a,ic2_a,ic3_a,ib1_a,vb1_v,vbref_v,vce1_v,vce2_v,vbe1_v,idd_a,pdc_w,ic1_within_4p5ma,pdc_within_10mw
op_typ_-40c_vdd1.62v,typ,-40,1.62,0.00387002,0.00386717,0.000508191,2.77991E-06,0.898094,0.899011,0.586856,1.03314,0.898094,0.0046145,0.00747549,yes,yes
op_typ_-40c_vdd1.80v,typ,-40,1.80,0.0039722,0.00396926,0.000508497,2.8935E-06,0.898078,0.899033,0.750987,1.04901,0.898078,0.00473254,0.00851858,yes,yes
op_typ_-40c_vdd1.98v,typ,-40,1.98,0.00408088,0.00407784,0.000508809,3.01668E-06,0.898059,0.899054,0.915076,1.06492,0.898059,0.00485705,0.00961695,yes,yes
op_typ_27c_vdd1.62v,typ,27,1.62,0.00385225,0.00384693,0.000505856,5.25208E-06,0.843527,0.84526,0.638625,0.981375,0.843527,0.00461037,0.00746879,yes,yes
op_typ_27c_vdd1.80v,typ,27,1.80,0.0039403,0.00393483,0.000506174,5.4304E-06,0.843494,0.845286,0.802693,0.997307,0.843494,0.00471442,0.00848596,yes,yes
op_typ_27c_vdd1.98v,typ,27,1.98,0.0040331,0.00402747,0.000506486,5.62108E-06,0.843457,0.845312,0.966724,1.01328,0.843457,0.00482315,0.00954984,yes,yes
op_typ_125c_vdd1.62v,typ,125,1.62,0.00382314,0.00381416,0.000500659,8.95111E-06,0.756386,0.75934,0.721566,0.898434,0.756386,0.00460004,0.00745207,yes,yes
op_typ_125c_vdd1.80v,typ,125,1.80,0.00389872,0.00388954,0.000501207,9.20243E-06,0.756358,0.759395,0.885515,0.914485,0.756358,0.00469212,0.00844582,yes,yes
op_typ_125c_vdd1.98v,typ,125,1.98,0.00397679,0.00396738,0.000501614,9.46254E-06,0.756313,0.759436,1.04944,0.930558,0.756313,0.00478637,0.00947701,yes,yes
op_bcs_-40c_vdd1.62v,bcs,-40,1.62,0.00389801,0.00389646,0.000507116,1.51022E-06,0.889353,0.889852,0.596722,1.02328,0.889353,0.004643,0.00752166,yes,yes
op_bcs_-40c_vdd1.80v,bcs,-40,1.80,0.0040199,0.00401829,0.000507445,1.58065E-06,0.88935,0.889872,0.760857,1.03914,0.88935,0.00478073,0.00860532,yes,yes
op_bcs_-40c_vdd1.98v,bcs,-40,1.98,0.00415113,0.00414946,0.000507793,1.65786E-06,0.889346,0.889893,0.92494,1.05506,0.889346,0.00492778,0.00975701,yes,yes
op_bcs_27c_vdd1.62v,bcs,27,1.62,0.00392279,0.00391987,0.000505484,2.88188E-06,0.834204,0.835155,0.650058,0.969942,0.834204,0.00468081,0.00758291,yes,yes
op_bcs_27c_vdd1.80v,bcs,27,1.80,0.00402785,0.00402483,0.000505847,2.99343E-06,0.834194,0.835182,0.814122,0.985878,0.834194,0.00480186,0.00864334,yes,yes
op_bcs_27c_vdd1.98v,bcs,27,1.98,0.00414003,0.00413692,0.00050622,3.11379E-06,0.834182,0.835209,0.97814,1.00186,0.834182,0.00492997,0.00976134,yes,yes
op_bcs_125c_vdd1.62v,bcs,125,1.62,0.00393959,0.00393462,0.000501421,4.96204E-06,0.746015,0.747653,0.73542,0.88458,0.746015,0.00471567,0.00763939,yes,yes
op_bcs_125c_vdd1.80v,bcs,125,1.80,0.00402998,0.00402486,0.000502017,5.12095E-06,0.746019,0.747709,0.89936,0.90064,0.746019,0.00482249,0.00868049,yes,yes
op_bcs_125c_vdd1.98v,bcs,125,1.98,0.00412481,0.00411955,0.000502513,5.28323E-06,0.746012,0.747755,1.06327,0.916734,0.746012,0.00493351,0.00976834,yes,yes
op_wcs_-40c_vdd1.62v,wcs,-40,1.62,0.00382145,0.00381648,0.000508993,4.8449E-06,0.908039,0.909637,0.575026,1.04497,0.908039,0.00456636,0.0073975,yes,yes
op_wcs_-40c_vdd1.80v,wcs,-40,1.80,0.00390673,0.00390162,0.000509261,5.01936E-06,0.908002,0.909659,0.739165,1.06083,0.908002,0.00466752,0.00840153,yes,yes
op_wcs_-40c_vdd1.98v,wcs,-40,1.98,0.003996,0.00399074,0.000509522,5.2055E-06,0.907961,0.909679,0.903267,1.07673,0.907961,0.00477261,0.00944978,yes,yes
op_wcs_27c_vdd1.62v,wcs,27,1.62,0.00374804,0.00373888,0.000505379,9.03072E-06,0.85423,0.85721,0.624517,0.995483,0.85423,0.00450726,0.00730176,yes,yes
op_wcs_27c_vdd1.80v,wcs,27,1.80,0.00381989,0.00381053,0.000505633,9.29625E-06,0.854165,0.857233,0.7886,1.0114,0.854165,0.00459514,0.00827126,yes,yes
op_wcs_27c_vdd1.98v,wcs,27,1.98,0.0038947,0.00388512,0.000505867,9.57704E-06,0.854094,0.857254,0.952654,1.02735,0.854094,0.00468589,0.00927806,yes,yes
op_wcs_125c_vdd1.62v,wcs,125,1.62,0.00365731,0.00364213,0.000498246,1.51635E-05,0.768416,0.77342,0.70407,0.91593,0.768416,0.00443612,0.00718651,yes,yes
op_wcs_125c_vdd1.80v,wcs,125,1.80,0.003718,0.00370252,0.00049873,1.5528E-05,0.768348,0.773473,0.868039,0.931961,0.768348,0.00451336,0.00812405,yes,yes
op_wcs_125c_vdd1.98v,wcs,125,1.98,0.00377966,0.00376387,0.000499038,1.59031E-05,0.768258,0.773506,1.032,0.947998,0.768258,0.00459121,0.0090906,yes,yes
op_sf_-40c_vdd1.62v,sf,-40,1.62,0.00386907,0.00386621,0.00050806,2.77913E-06,0.898085,0.899002,0.586865,1.03314,0.898085,0.0046119,0.00747128,yes,yes
op_sf_-40c_vdd1.80v,sf,-40,1.80,0.00397129,0.00396835,0.000508377,2.89275E-06,0.898069,0.899024,0.750995,1.049,0.898069,0.00472999,0.00851398,yes,yes
op_sf_-40c_vdd1.98v,sf,-40,1.98,0.00407999,0.00407695,0.000508696,3.01592E-06,0.898051,0.899046,0.915084,1.06492,0.898051,0.00485451,0.00961193,yes,yes
op_sf_27c_vdd1.62v,sf,27,1.62,0.00385151,0.00384619,0.000505754,5.25094E-06,0.843519,0.845252,0.638633,0.981367,0.843519,0.00460805,0.00746504,yes,yes
op_sf_27c_vdd1.80v,sf,27,1.80,0.00393964,0.00393417,0.000506086,5.42936E-06,0.843488,0.845279,0.802701,0.997299,0.843488,0.00471219,0.00848194,yes,yes
op_sf_27c_vdd1.98v,sf,27,1.98,0.00403248,0.00402686,0.000506407,5.62009E-06,0.843451,0.845306,0.966731,1.01327,0.843451,0.00482097,0.00954552,yes,yes
op_sf_125c_vdd1.62v,sf,125,1.62,0.00382271,0.00381373,0.0005006,8.94995E-06,0.75638,0.759333,0.721572,0.898428,0.75638,0.00459815,0.007449,yes,yes
op_sf_125c_vdd1.80v,sf,125,1.80,0.00389844,0.00388926,0.000501169,9.20165E-06,0.756354,0.759391,0.885519,0.914481,0.756354,0.00469038,0.00844268,yes,yes
op_sf_125c_vdd1.98v,sf,125,1.98,0.00397659,0.00396719,0.000501588,9.462E-06,0.756311,0.759433,1.04944,0.930555,0.756311,0.00478472,0.00947375,yes,yes
op_fs_-40c_vdd1.62v,fs,-40,1.62,0.00387102,0.00386817,0.000508336,2.78071E-06,0.898104,0.899021,0.586845,1.03315,0.898104,0.00461727,0.00747997,yes,yes
op_fs_-40c_vdd1.80v,fs,-40,1.80,0.00397292,0.00396997,0.000508626,2.89402E-06,0.898087,0.899042,0.750977,1.04902,0.898087,0.00473502,0.00852303,yes,yes
op_fs_-40c_vdd1.98v,fs,-40,1.98,0.00408182,0.00407878,0.000508929,3.01749E-06,0.898067,0.899063,0.915067,1.06493,0.898067,0.00485975,0.0096223,yes,yes
