point_id,corner_label,temp_c,vdd_v,ic1_a,ic2_a,ic3_a,ib1_a,vb1_v,vbref_v,vce1_v,vce2_v,vbe1_v,idd_a,pdc_w,ic1_within_4p5ma,pdc_within_10mw
op_typ_-40c_vdd1.62v,typ,-40,1.62,0.00231991,0.0023183,0.000299465,1.58641E-06,0.881397,0.881921,0.603639,1.01636,0.881397,0.00275603,0.00446477,yes,yes
op_typ_-40c_vdd1.80v,typ,-40,1.80,0.00291078,0.00290872,0.000369801,2.04121E-06,0.887679,0.888353,0.761672,1.03833,0.887679,0.00343271,0.00617888,yes,yes
op_typ_-40c_vdd1.98v,typ,-40,1.98,0.00353942,0.00353685,0.00044037,2.56101E-06,0.893202,0.894047,0.920195,1.0598,0.893202,0.00414745,0.00821196,yes,yes
op_typ_27c_vdd1.62v,typ,27,1.62,0.00247821,0.00247497,0.000319789,3.22253E-06,0.826538,0.827601,0.656736,0.963264,0.826538,0.00293637,0.00475692,yes,yes
op_typ_27c_vdd1.80v,typ,27,1.80,0.00305568,0.00305159,0.000389334,4.07447E-06,0.833537,0.834881,0.813575,0.986425,0.833537,0.00359927,0.00647868,yes,yes
op_typ_27c_vdd1.98v,typ,27,1.98,0.00366431,0.00365927,0.000459115,5.03224E-06,0.839654,0.841314,0.970997,1.009,0.839654,0.00429366,0.00850144,yes,yes
op_typ_125c_vdd1.62v,typ,125,1.62,0.00272574,0.00271963,0.000351382,6.11298E-06,0.740189,0.742206,0.739936,0.880064,0.740189,0.00321852,0.005214,yes,yes
op_typ_125c_vdd1.80v,typ,125,1.80,0.00328826,0.00328071,0.000419785,7.57031E-06,0.748126,0.750624,0.89511,0.90489,0.748126,0.00386595,0.00695871,yes,yes
op_typ_125c_vdd1.98v,typ,125,1.98,0.00387563,0.00386651,0.000488414,9.18196E-06,0.75506,0.75809,1.05095,0.929053,0.75506,0.00453861,0.00898646,yes,yes
op_bcs_-40c_vdd1.62v,bcs,-40,1.62,0.00236498,0.0023641,0.000303119,8.72478E-07,0.874658,0.874946,0.61103,1.00897,0.874658,0.00280401,0.0045425,yes,yes
op_bcs_-40c_vdd1.80v,bcs,-40,1.80,0.00297707,0.00297593,0.000373931,1.12736E-06,0.88039,0.880762,0.769771,1.03023,0.88039,0.00350217,0.00630391,yes,yes
op_bcs_-40c_vdd1.98v,bcs,-40,1.98,0.00363874,0.00363731,0.000444998,1.42377E-06,0.885377,0.885847,0.928992,1.05101,0.885377,0.00425021,0.00841541,yes,yes
op_bcs_27c_vdd1.62v,bcs,27,1.62,0.00255129,0.00254949,0.000324725,1.78733E-06,0.818897,0.819486,0.665661,0.954339,0.818897,0.00301288,0.00488087,yes,yes
op_bcs_27c_vdd1.80v,bcs,27,1.80,0.00315779,0.00315551,0.000394912,2.27141E-06,0.825459,0.826209,0.823233,0.976767,0.825459,0.00370506,0.00666911,yes,yes
op_bcs_27c_vdd1.98v,bcs,27,1.98,0.00380741,0.00380458,0.000465368,2.82538E-06,0.831161,0.832094,0.981376,0.998624,0.831161,0.0044407,0.00879259,yes,yes
op_bcs_125c_vdd1.62v,bcs,125,1.62,0.00284095,0.00283751,0.000358441,3.42718E-06,0.731235,0.732366,0.75123,0.86877,0.731235,0.00333796,0.0054075,yes,yes
op_bcs_125c_vdd1.80v,bcs,125,1.80,0.00344307,0.0034388,0.00042774,4.27132E-06,0.738875,0.740285,0.907191,0.892809,0.738875,0.00402525,0.00724545,yes,yes
op_bcs_125c_vdd1.98v,bcs,125,1.98,0.00408241,0.00407722,0.000497313,5.2192E-06,0.745543,0.747265,1.06379,0.916205,0.745543,0.00475013,0.00940527,yes,yes
op_wcs_-40c_vdd1.62v,wcs,-40,1.62,0.00225968,0.00225691,0.000294804,2.72805E-06,0.889269,0.890169,0.594713,1.02529,0.889269,0.00269234,0.00436158,yes,yes
op_wcs_-40c_vdd1.80v,wcs,-40,1.80,0.00282687,0.00282333,0.000364535,3.49563E-06,0.896065,0.897218,0.751977,1.04802,0.896065,0.00334505,0.0060211,yes,yes
op_wcs_-40c_vdd1.98v,wcs,-40,1.98,0.0034219,0.00341751,0.000434473,4.35874E-06,0.90208,0.903519,0.909743,1.07026,0.90208,0.00402591,0.00797131,yes,yes
op_wcs_27c_vdd1.62v,wcs,27,1.62,0.00238069,0.00237519,0.000313259,5.47517E-06,0.835521,0.837328,0.645725,0.974275,0.835521,0.00283469,0.0045922,yes,yes
op_wcs_27c_vdd1.80v,wcs,27,1.80,0.00292411,0.0029172,0.000381944,6.88454E-06,0.842895,0.845167,0.801729,0.998271,0.842895,0.00346326,0.00623387,yes,yes
op_wcs_27c_vdd1.98v,wcs,27,1.98,0.00348835,0.00347991,0.000450825,8.4409E-06,0.849359,0.852145,0.958332,1.02167,0.849359,0.00411299,0.00814373,yes,yes
op_wcs_125c_vdd1.62v,wcs,125,1.62,0.00257325,0.00256303,0.000341824,1.02272E-05,0.75076,0.754135,0.725762,0.894238,0.75076,0.00306081,0.00495851,yes,yes
op_wcs_125c_vdd1.80v,wcs,125,1.80,0.00308893,0.0030764,0.000409002,1.25748E-05,0.758906,0.763056,0.880002,0.919998,0.758906,0.00366113,0.00659003,yes,yes
op_wcs_125c_vdd1.98v,wcs,125,1.98,0.00361862,0.00360361,0.000476364,1.5122E-05,0.766015,0.771006,1.03494,0.945064,0.766015,0.00427584,0.00846616,yes,yes
op_sf_-40c_vdd1.62v,sf,-40,1.62,0.00231991,0.0023183,0.000299465,1.58641E-06,0.881397,0.881921,0.603639,1.01636,0.881397,0.00275603,0.00446477,yes,yes
op_sf_-40c_vdd1.80v,sf,-40,1.80,0.00291078,0.00290872,0.000369801,2.04121E-06,0.887679,0.888353,0.761672,1.03833,0.887679,0.00343271,0.00617888,yes,yes
