point_id,corner_label,temp_c,vdd_v,ic1_a,ic2_a,vce1_v,vce2_v,vbe1_v,idd_a,pdc_w,s11_db_worst,s21_db_min,s21_db_max,s22_db_worst,k_inband_min,mu_inband_min,mag_delta_inband_max,nf_sp_db_at_band_lo,nfmin_sp_db_at_band_lo,nf290_db_worst,nf290_db_at_band_lo,nf290_db_at_band_mid,nf290_db_at_band_hi,nf30015_db_at_band_lo,gain_ac_db_at_band_lo,gain_ac_minus_s21_db,k_broadband_min,f_at_k_broadband_min_hz,n_broadband_pts_k_lt_1,n_broadband_pts,mu_broadband_min,f_at_mu_broadband_min_hz,n_broadband_pts_mu_lt_1,mag_delta_broadband_max,f_at_mag_delta_broadband_max_hz,s11_mag_broadband_max,f_at_s11_mag_broadband_max_hz,s22_mag_broadband_max,f_at_s22_mag_broadband_max_hz,iip3_dbm_a1mv,iip3_dbm_a2mv,im3_slope_2pt,iip3_spread_2pt_db
sp_bcs_-40c_vdd1.62v,bcs,-40,1.62,3.898010e-03,3.896460e-03,0.5967,1.0233,0.8894,4.643000e-03,7.521660e-03,-2.9695,12.1454,12.2799,-0.0036,4.404008,1.000306,0.710134,2.2051,2.0823,1.8522,1.8522,1.8519,1.8516,1.8009,12.2799,-0.0000,-2.950322,5.011872e+07,61,140,0.999996,5.956621e+08,61,0.811068,1.000000e+07,0.811068,1.000000e+07,1.000000,1.584893e+08,-1.5968,-1.5884,2.997,0.008
sp_bcs_-40c_vdd1.80v,bcs,-40,1.80,4.019900e-03,4.018290e-03,0.7609,1.0391,0.8893,4.780730e-03,8.605320e-03,-2.9650,12.1807,12.3170,-0.0034,4.368636,1.000295,0.710515,2.2001,2.0787,1.8478,1.8478,1.8475,1.8472,1.7966,12.3170,0.0000,-2.978091,5.011872e+07,61,140,0.999996,5.956621e+08,60,0.811078,1.000000e+07,0.811078,1.000000e+07,1.000000,1.584893e+08,-1.1606,-1.1403,2.993,0.020
sp_bcs_-40c_vdd1.98v,bcs,-40,1.98,4.151130e-03,4.149460e-03,0.9249,1.0551,0.8893,4.927790e-03,9.757020e-03,-2.9616,12.2159,12.3539,-0.0033,4.312387,1.000286,0.710797,2.1948,2.0749,1.8432,1.8432,1.8429,1.8426,1.7921,12.3539,-0.0000,-2.983997,5.011872e+07,60,140,0.999996,5.956621e+08,60,0.811085,1.000000e+07,0.811085,1.000000e+07,1.000000,1.584893e+08,-0.6715,-0.6605,2.996,0.011
sp_bcs_125c_vdd1.62v,bcs,125,1.62,3.939590e-03,3.934620e-03,0.7354,0.8846,0.7460,4.715670e-03,7.639390e-03,-3.0471,11.0723,11.1609,-0.0038,3.757364,1.000301,0.703785,2.4140,2.2469,3.0549,3.0549,3.0544,3.0539,2.9801,11.1609,-0.0000,-3.358640,5.011872e+07,61,140,0.999997,5.956621e+08,60,0.817548,1.000000e+07,0.817548,1.000000e+07,1.000000,1.778279e+08,-0.3084,-0.2828,2.991,0.026
sp_bcs_125c_vdd1.80v,bcs,125,1.80,4.029980e-03,4.024860e-03,0.8994,0.9006,0.7460,4.822490e-03,8.680490e-03,-3.0434,11.1226,11.2132,-0.0037,3.717075,1.000287,0.704102,2.4091,2.2437,3.0492,3.0492,3.0486,3.0482,2.9744,11.2132,0.0000,-3.453570,5.011872e+07,61,140,0.999997,5.956621e+08,60,0.817545,1.000000e+07,0.817545,1.000000e+07,1.000000,1.778279e+08,0.0617,0.0958,2.989,0.034
sp_bcs_125c_vdd1.98v,bcs,125,1.98,4.124810e-03,4.119550e-03,1.0633,0.9167,0.7460,4.933510e-03,9.768340e-03,-3.0415,11.1722,11.2648,-0.0035,3.649573,1.000275,0.704263,2.4042,2.2404,3.0433,3.0433,3.0428,3.0423,2.9687,11.2648,0.0000,-3.530083,5.011872e+07,60,140,0.999997,6.309573e+08,60,0.817529,1.000000e+07,0.817529,1.000000e+07,1.000000,1.883649e+08,0.4624,0.4979,2.988,0.036
sp_bcs_27c_vdd1.62v,bcs,27,1.62,3.922790e-03,3.919870e-03,0.6501,0.9699,0.8342,4.680810e-03,7.582910e-03,-3.0082,11.7454,11.8618,-0.0036,4.085979,1.000302,0.706965,2.2767,2.1401,2.3383,2.3383,2.3379,2.3375,2.2767,11.8618,0.0000,-3.116338,5.011872e+07,61,140,0.999996,5.956621e+08,61,0.813533,1.000000e+07,0.813533,1.000000e+07,1.000000,1.883649e+08,-1.0937,-1.0754,2.994,0.018
sp_bcs_27c_vdd1.80v,bcs,27,1.80,4.027850e-03,4.024830e-03,0.8141,0.9859,0.8342,4.801860e-03,8.643340e-03,-3.0039,11.7868,11.9050,-0.0035,4.049316,1.000291,0.707325,2.2720,2.1368,2.3335,2.3335,2.3331,2.3327,2.2720,11.9050,-0.0000,-3.167246,5.011872e+07,61,140,0.999996,5.956621e+08,60,0.813545,1.000000e+07,0.813545,1.000000e+07,1.000000,1.778279e+08,-0.6684,-0.6586,2.997,0.010
sp_bcs_27c_vdd1.98v,bcs,27,1.98,4.140030e-03,4.136920e-03,0.9781,1.0019,0.8342,4.929970e-03,9.761340e-03,-3.0011,11.8281,11.9483,-0.0034,3.988876,1.000280,0.707568,2.2671,2.1334,2.3285,2.3285,2.3281,2.3278,2.2671,11.9483,0.0000,-3.194232,5.011872e+07,61,140,0.999996,6.309573e+08,61,0.813551,1.000000e+07,0.813551,1.000000e+07,1.000000,1.778279e+08,-0.2180,-0.2088,2.997,0.009
sp_fs_-40c_vdd1.62v,fs,-40,1.62,3.871020e-03,3.868170e-03,0.5868,1.0332,0.8981,4.617270e-03,7.479970e-03,-3.0208,11.8460,11.9672,-0.0045,4.129492,1.000371,0.705872,2.5483,2.3453,2.1529,2.1529,2.1525,2.1522,2.0951,11.9672,0.0000,-2.677792,5.011872e+07,60,140,0.999996,5.623413e+08,60,0.812488,1.000000e+07,0.812488,1.000000e+07,1.000000,1.412538e+08,-2.0785,-2.0791,3.000,0.001
sp_fs_-40c_vdd1.80v,fs,-40,1.80,3.972920e-03,3.969970e-03,0.7510,1.0490,0.8981,4.735020e-03,8.523030e-03,-3.0154,11.8778,12.0004,-0.0043,4.111605,1.000359,0.706320,2.5441,2.3428,2.1493,2.1493,2.1489,2.1486,2.0915,12.0004,-0.0000,-2.696760,5.011872e+07,59,140,0.999996,5.623413e+08,59,0.812516,1.000000e+07,0.812516,1.000000e+07,1.000000,1.496236e+08,-1.7608,-1.7426,2.994,0.018
sp_fs_-40c_vdd1.98v,fs,-40,1.98,4.081870e-03,4.078830e-03,0.9151,1.0649,0.8981,4.859820e-03,9.622430e-03,-3.0117,11.9094,12.0335,-0.0042,4.067992,1.000347,0.706632,2.5398,2.3401,2.1454,2.1454,2.1451,2.1448,2.0878,12.0335,-0.0000,-2.695466,5.308844e+07,59,140,0.999996,5.956621e+08,59,0.812541,1.000000e+07,0.812541,1.000000e+07,1.000000,1.584893e+08,-1.3977,-1.3922,2.998,0.005
sp_fs_125c_vdd1.62v,fs,125,1.62,3.823830e-03,3.814860e-03,0.7216,0.8984,0.7564,4.602350e-03,7.455800e-03,-3.1252,10.7077,10.7846,-0.0048,3.548297,1.000365,0.697394,2.7060,2.4739,3.3988,3.3988,3.3983,3.3977,3.3183,10.7846,0.0000,-2.870410,5.011872e+07,58,140,0.999997,5.308844e+08,58,0.815977,1.000000e+07,0.815977,1.000000e+07,1.000000,1.412538e+08,-0.9938,-0.9728,2.993,0.021
sp_fs_125c_vdd1.80v,fs,125,1.80,3.899150e-03,3.889960e-03,0.8855,0.9145,0.7564,4.694120e-03,8.449420e-03,-3.1203,10.7527,10.8311,-0.0046,3.533309,1.000350,0.697806,2.7026,2.4721,3.3948,3.3948,3.3943,3.3938,3.3144,10.8311,0.0000,-2.953246,5.011872e+07,58,140,0.999997,5.623413e+08,57,0.816003,1.000000e+07,0.816003,1.000000e+07,1.000000,1.584893e+08,-0.7112,-0.6919,2.994,0.019
sp_fs_125c_vdd1.98v,fs,125,1.98,3.977150e-03,3.967740e-03,1.0494,0.9306,0.7563,4.788320e-03,9.480870e-03,-3.1179,10.7963,10.8763,-0.0045,3.482443,1.000335,0.698012,2.6992,2.4703,3.3908,3.3908,3.3903,3.3898,3.3104,10.8763,-0.0000,-3.017008,5.308844e+07,59,140,0.999997,5.623413e+08,58,0.816022,1.000000e+07,0.816022,1.000000e+07,1.000000,1.496236e+08,-0.4298,-0.3982,2.989,0.032
sp_fs_27c_vdd1.62v,fs,27,1.62,3.853140e-03,3.847820e-03,0.6386,0.9814,0.8435,4.612960e-03,7.472990e-03,-3.0709,11.4236,11.5273,-0.0046,3.841064,1.000366,0.701792,2.5916,2.3836,2.6594,2.6594,2.6590,2.6586,2.5916,11.5273,-0.0000,-2.752106,5.011872e+07,60,140,0.999997,5.623413e+08,59,0.813536,1.000000e+07,0.813536,1.000000e+07,1.000000,1.678804e+08,-1.7406,-1.7259,2.995,0.015
sp_fs_27c_vdd1.80v,fs,27,1.80,3.941040e-03,3.935570e-03,0.8027,0.9973,0.8435,4.716860e-03,8.490340e-03,-3.0657,11.4608,11.5660,-0.0044,3.824559,1.000353,0.702231,2.5882,2.3816,2.6559,2.6559,2.6555,2.6550,2.5882,11.5660,-0.0000,-2.792615,5.011872e+07,59,140,0.999997,5.623413e+08,59,0.813574,1.000000e+07,0.813574,1.000000e+07,1.000000,1.678804e+08,-1.4331,-1.4158,2.994,0.017
sp_fs_27c_vdd1.98v,fs,27,1.98,4.033780e-03,4.028150e-03,0.9667,1.0133,0.8435,4.825520e-03,9.554520e-03,-3.0624,11.4975,11.6042,-0.0043,3.778445,1.000340,0.702509,2.5845,2.3796,2.6522,2.6522,2.6518,2.6514,2.5846,11.6042,-0.0000,-2.811378,5.308844e+07,59,140,0.999997,5.956621e+08,58,0.813606,1.000000e+07,0.813606,1.000000e+07,1.000000,1.412538e+08,-1.0981,-1.0942,2.999,0.004
sp_sf_-40c_vdd1.62v,sf,-40,1.62,3.869010e-03,3.866160e-03,0.5869,1.0331,0.8981,4.611840e-03,7.471190e-03,-3.0208,11.8452,11.9664,-0.0045,4.129866,1.000371,0.705872,2.5484,2.3454,2.1530,2.1530,2.1526,2.1523,2.0952,11.9664,-0.0000,-2.676812,5.011872e+07,60,140,0.999996,5.623413e+08,60,0.812490,1.000000e+07,0.812490,1.000000e+07,1.000000,1.412538e+08,-2.0850,-2.0834,2.999,0.002
sp_sf_-40c_vdd1.80v,sf,-40,1.80,3.971290e-03,3.968350e-03,0.7510,1.0490,0.8981,4.729990e-03,8.513980e-03,-3.0154,11.8772,11.9998,-0.0043,4.111853,1.000359,0.706320,2.5442,2.3428,2.1494,2.1494,2.1490,2.1486,2.0916,11.9998,-0.0000,-2.695938,5.011872e+07,59,140,0.999996,5.623413e+08,59,0.812518,1.000000e+07,0.812518,1.000000e+07,1.000000,1.496236e+08,-1.7648,-1.7461,2.994,0.019
sp_sf_-40c_vdd1.98v,sf,-40,1.98,4.079990e-03,4.076950e-03,0.9151,1.0649,0.8981,4.854510e-03,9.611930e-03,-3.0117,11.9088,12.0329,-0.0042,4.068282,1.000347,0.706632,2.5399,2.3402,2.1456,2.1456,2.1452,2.1448,2.0879,12.0329,-0.0000,-2.694477,5.308844e+07,59,140,0.999996,5.956621e+08,59,0.812543,1.000000e+07,0.812543,1.000000e+07,1.000000,1.584893e+08,-1.4033,-1.3959,2.998,0.007
sp_sf_125c_vdd1.62v,sf,125,1.62,3.822710e-03,3.813730e-03,0.7216,0.8984,0.7564,4.598150e-03,7.449000e-03,-3.1251,10.7070,10.7838,-0.0048,3.548614,1.000365,0.697397,2.7061,2.4740,3.3989,3.3989,3.3984,3.3979,3.3184,10.7838,0.0000,-2.869792,5.011872e+07,58,140,0.999997,5.308844e+08,58,0.815975,1.000000e+07,0.815975,1.000000e+07,1.000000,1.412538e+08,-0.9965,-0.9745,2.993,0.022
sp_sf_125c_vdd1.80v,sf,125,1.80,3.898440e-03,3.889260e-03,0.8855,0.9145,0.7564,4.690380e-03,8.442680e-03,-3.1202,10.7522,10.8306,-0.0046,3.533488,1.000350,0.697807,2.7027,2.4721,3.3949,3.3949,3.3944,3.3939,3.3145,10.8306,0.0000,-2.952816,5.011872e+07,58,140,0.999997,5.623413e+08,57,0.815998,1.000000e+07,0.815998,1.000000e+07,1.000000,1.584893e+08,-0.7122,-0.6929,2.994,0.019
