point_id,corner_label,temp_c,vdd_v,amp_v_peak_per_tone,src_tone_v_peak_measured,pin_avail_dbm_per_tone,pout_dbm_per_tone,pim3_dbm,gain_db,iip3_dbm,oip3_dbm,iip3_dbm_dft_crosscheck,v_tone1_out_v,v_tone2_out_v,v_im3l_out_v,v_im3h_out_v,v_im5_out_v,im3_over_im5_db,ic1_a,idd_a,fft_npts,fft_df_hz
iip3_bcs_125c_vdd1.98v_a1mv,bcs,125,1.98,1.000000e-03,9.996210e-04,-56.0206,-44.8221,-157.7881,11.1985,0.4624,11.6610,0.4631,1.815970e-03,1.814200e-03,4.001980e-09,4.156800e-09,5.757950e-11,37.01,4.124810e-03,4.933510e-03,65536,3.814700e+06
iip3_bcs_125c_vdd1.98v_a2mv,bcs,125,1.98,2.000000e-03,1.999240e-03,-50.0000,-38.8016,-139.7974,11.1984,0.4979,11.6963,0.4981,3.631870e-03,3.628330e-03,3.176220e-08,3.297580e-08,1.148650e-10,49.00,4.124810e-03,4.933510e-03,65536,3.814700e+06
iip3_bcs_27c_vdd1.62v_a1mv,bcs,27,1.62,1.000000e-03,9.996210e-04,-56.0206,-44.2341,-154.0878,11.7865,-1.0937,10.6928,-1.0923,1.943400e-03,1.941020e-03,6.232210e-09,6.259960e-09,6.361330e-11,39.84,3.922790e-03,4.680810e-03,65536,3.814700e+06
iip3_bcs_27c_vdd1.62v_a2mv,bcs,27,1.62,2.000000e-03,1.999240e-03,-50.0000,-38.2137,-136.0630,11.7863,-1.0754,10.7110,-1.0750,3.886710e-03,3.881950e-03,4.955010e-08,4.996340e-08,1.154692e-10,52.69,3.922790e-03,4.680810e-03,65536,3.814700e+06
iip3_bcs_27c_vdd1.80v_a1mv,bcs,27,1.80,1.000000e-03,9.996210e-04,-56.0206,-44.1941,-154.8984,11.8265,-0.6684,11.1581,-0.6668,1.952390e-03,1.949960e-03,5.633590e-09,5.745550e-09,5.995705e-11,39.54,4.027850e-03,4.801860e-03,65536,3.814700e+06
iip3_bcs_27c_vdd1.80v_a2mv,bcs,27,1.80,2.000000e-03,1.999240e-03,-50.0000,-38.1737,-136.8565,11.8263,-0.6586,11.1677,-0.6582,3.904690e-03,3.899840e-03,4.492030e-08,4.590510e-08,1.242715e-10,51.26,4.027850e-03,4.801860e-03,65536,3.814700e+06
iip3_bcs_27c_vdd1.98v_a1mv,bcs,27,1.98,1.000000e-03,9.996210e-04,-56.0206,-44.1542,-155.7594,11.8664,-0.2180,11.6484,-0.2161,1.961390e-03,1.958920e-03,5.056890e-09,5.248410e-09,6.019780e-11,38.65,4.140030e-03,4.929970e-03,65536,3.814700e+06
iip3_bcs_27c_vdd1.98v_a2mv,bcs,27,1.98,2.000000e-03,1.999240e-03,-50.0000,-38.1338,-137.7162,11.8662,-0.2088,11.6575,-0.2083,3.922710e-03,3.917750e-03,4.037460e-08,4.189120e-08,1.341720e-10,49.73,4.140030e-03,4.929970e-03,65536,3.814700e+06
iip3_fs_-40c_vdd1.62v_a1mv,fs,-40,1.62,1.000000e-03,9.996210e-04,-56.0206,-44.1303,-152.0146,11.8903,-2.0785,9.8118,-2.0771,1.966800e-03,1.964290e-03,7.950950e-09,7.908880e-09,5.802400e-11,42.71,3.871020e-03,4.617270e-03,65536,3.814700e+06
iip3_fs_-40c_vdd1.62v_a2mv,fs,-40,1.62,2.000000e-03,1.999240e-03,-50.0000,-38.1100,-133.9519,11.8900,-2.0791,9.8110,-2.0787,3.933490e-03,3.928470e-03,6.356990e-08,6.332280e-08,1.121270e-10,55.05,3.871020e-03,4.617270e-03,65536,3.814700e+06
iip3_fs_-40c_vdd1.80v_a1mv,fs,-40,1.80,1.000000e-03,9.996210e-04,-56.0206,-44.1000,-152.6196,11.9206,-1.7608,10.1597,-1.7593,1.973690e-03,1.971140e-03,7.409690e-09,7.383150e-09,5.998765e-11,41.82,3.972920e-03,4.735020e-03,65536,3.814700e+06
iip3_fs_-40c_vdd1.80v_a2mv,fs,-40,1.80,2.000000e-03,1.999240e-03,-50.0000,-38.0797,-134.5944,11.9203,-1.7426,10.1777,-1.7422,3.947280e-03,3.942180e-03,5.895810e-08,5.888600e-08,1.247124e-10,53.49,3.972920e-03,4.735020e-03,65536,3.814700e+06
