point_id,corner_label,temp_c,vdd_v,freq_hz,s11_db,s21_db,s12_db,s22_db,s11_mag,s21_mag,s12_mag,s22_mag,k,mu,mag_delta,nf_sp_db,nfmin_sp_db
sp_bcs_-40c_vdd1.62v,bcs,-40,1.62,2.400000e+09,-2.9695,12.2799,-99.3270,-0.0036,0.710435,4.111461,1.080566e-05,0.999591,4.404008,1.000306,0.710134,2.2051,2.0823
sp_bcs_-40c_vdd1.62v,bcs,-40,1.62,2.408350e+09,-2.9700,12.2666,-99.2662,-0.0036,0.710393,4.105170,1.088158e-05,0.999587,4.419745,1.000309,0.710090,2.2050,2.0823
sp_bcs_-40c_vdd1.62v,bcs,-40,1.62,2.416700e+09,-2.9705,12.2533,-99.2056,-0.0036,0.710352,4.098872,1.095777e-05,0.999583,4.435454,1.000312,0.710046,2.2050,2.0822
sp_bcs_-40c_vdd1.62v,bcs,-40,1.62,2.425050e+09,-2.9710,12.2399,-99.1452,-0.0037,0.710311,4.092567,1.103424e-05,0.999580,4.451135,1.000315,0.710002,2.2049,2.0821
sp_bcs_-40c_vdd1.62v,bcs,-40,1.62,2.433400e+09,-2.9715,12.2265,-99.0850,-0.0037,0.710270,4.086255,1.111097e-05,0.999576,4.466788,1.000318,0.709959,2.2048,2.0821
sp_bcs_-40c_vdd1.62v,bcs,-40,1.62,2.441750e+09,-2.9720,12.2131,-99.0250,-0.0037,0.710229,4.079937,1.118797e-05,0.999573,4.482414,1.000321,0.709916,2.2048,2.0820
sp_bcs_-40c_vdd1.62v,bcs,-40,1.62,2.450100e+09,-2.9725,12.1996,-98.9652,-0.0037,0.710189,4.073614,1.126524e-05,0.999569,4.498011,1.000324,0.709873,2.2047,2.0820
sp_bcs_-40c_vdd1.62v,bcs,-40,1.62,2.458450e+09,-2.9730,12.1861,-98.9056,-0.0038,0.710149,4.067285,1.134279e-05,0.999565,4.513581,1.000327,0.709830,2.2046,2.0819
sp_bcs_-40c_vdd1.62v,bcs,-40,1.62,2.466800e+09,-2.9735,12.1726,-98.8462,-0.0038,0.710109,4.060952,1.142060e-05,0.999562,4.529124,1.000330,0.709788,2.2045,2.0819
sp_bcs_-40c_vdd1.62v,bcs,-40,1.62,2.475150e+09,-2.9740,12.1590,-98.7870,-0.0038,0.710070,4.054614,1.149868e-05,0.999558,4.544638,1.000334,0.709746,2.2045,2.0818
sp_bcs_-40c_vdd1.62v,bcs,-40,1.62,2.483500e+09,-2.9745,12.1454,-98.7281,-0.0039,0.710031,4.048271,1.157704e-05,0.999554,4.560125,1.000337,0.709704,2.2044,2.0818
sp_bcs_-40c_vdd1.80v,bcs,-40,1.80,2.400000e+09,-2.9650,12.3170,-99.5754,-0.0034,0.710806,4.129035,1.050101e-05,0.999603,4.368636,1.000295,0.710515,2.2001,2.0787
sp_bcs_-40c_vdd1.80v,bcs,-40,1.80,2.408350e+09,-2.9655,12.3035,-99.5147,-0.0035,0.710766,4.122632,1.057461e-05,0.999600,4.384350,1.000298,0.710472,2.2000,2.0786
sp_bcs_-40c_vdd1.80v,bcs,-40,1.80,2.416700e+09,-2.9659,12.2900,-99.4542,-0.0035,0.710727,4.116223,1.064848e-05,0.999596,4.400036,1.000301,0.710430,2.1999,2.0786
sp_bcs_-40c_vdd1.80v,bcs,-40,1.80,2.425050e+09,-2.9664,12.2764,-99.3940,-0.0035,0.710687,4.109807,1.072261e-05,0.999593,4.415696,1.000304,0.710389,2.1999,2.0785
sp_bcs_-40c_vdd1.80v,bcs,-40,1.80,2.433400e+09,-2.9669,12.2628,-99.3339,-0.0036,0.710648,4.103385,1.079700e-05,0.999590,4.431327,1.000307,0.710347,2.1998,2.0785
sp_bcs_-40c_vdd1.80v,bcs,-40,1.80,2.441750e+09,-2.9674,12.2492,-99.2741,-0.0036,0.710610,4.096958,1.087166e-05,0.999586,4.446932,1.000310,0.710306,2.1997,2.0784
sp_bcs_-40c_vdd1.80v,bcs,-40,1.80,2.450100e+09,-2.9678,12.2356,-99.2144,-0.0036,0.710571,4.090527,1.094657e-05,0.999583,4.462509,1.000313,0.710265,2.1996,2.0784
sp_bcs_-40c_vdd1.80v,bcs,-40,1.80,2.458450e+09,-2.9683,12.2219,-99.1550,-0.0037,0.710533,4.084090,1.102175e-05,0.999579,4.478058,1.000316,0.710224,2.1996,2.0783
sp_bcs_-40c_vdd1.80v,bcs,-40,1.80,2.466800e+09,-2.9688,12.2082,-99.0957,-0.0037,0.710495,4.077650,1.109719e-05,0.999575,4.493580,1.000319,0.710184,2.1995,2.0782
sp_bcs_-40c_vdd1.80v,bcs,-40,1.80,2.475150e+09,-2.9692,12.1945,-99.0367,-0.0037,0.710457,4.071206,1.117289e-05,0.999572,4.509075,1.000322,0.710144,2.1994,2.0782
sp_bcs_-40c_vdd1.80v,bcs,-40,1.80,2.483500e+09,-2.9697,12.1807,-98.9778,-0.0037,0.710420,4.064759,1.124885e-05,0.999568,4.524543,1.000326,0.710104,2.1993,2.0781
