point_id,corner_label,temp_c,vdd_v,ic1_a,ic2_a,vce1_v,vce2_v,vbe1_v,idd_a,pdc_w,s11_db_worst,s21_db_min,s21_db_max,s22_db_worst,k_inband_min,mu_inband_min,mag_delta_inband_max,nf_sp_db_at_band_lo,nfmin_sp_db_at_band_lo,nf290_db_worst,nf290_db_at_band_lo,nf290_db_at_band_mid,nf290_db_at_band_hi,nf30015_db_at_band_lo,gain_ac_db_at_band_lo,gain_ac_minus_s21_db,k_broadband_min,f_at_k_broadband_min_hz,n_broadband_pts_k_lt_1,n_broadband_pts,mu_broadband_min,f_at_mu_broadband_min_hz,n_broadband_pts_mu_lt_1,mag_delta_broadband_max,f_at_mag_delta_broadband_max_hz,s11_mag_broadband_max,f_at_s11_mag_broadband_max_hz,s22_mag_broadband_max,f_at_s22_mag_broadband_max_hz,iip3_dbm_a1mv,iip3_dbm_a2mv,im3_slope_2pt,iip3_spread_2pt_db
sp_fs_-40c_vdd1.80v,fs,-40,1.80,2.910780e-03,2.908720e-03,0.7617,1.0383,0.8877,3.432710e-03,6.178880e-03,-3.0148,11.3807,11.4810,-0.0043,4.352696,1.000360,0.706366,2.6235,2.3972,2.2192,2.2192,2.2188,2.2184,2.1601,11.4810,0.0000,-2.173404,5.308844e+07,57,140,0.999998,4.731513e+08,56,0.816672,1.000000e+07,0.816672,1.000000e+07,1.000000,1.000000e+08,-4.1011,-4.0926,2.997,0.008
sp_fs_-40c_vdd1.98v,fs,-40,1.98,3.539420e-03,3.536850e-03,0.9202,1.0598,0.8932,4.147450e-03,8.211960e-03,-3.0125,11.7092,11.8240,-0.0042,4.163491,1.000347,0.706567,2.5740,2.3633,2.1756,2.1756,2.1753,2.1749,2.1174,11.8240,0.0000,-2.420897,5.308844e+07,58,140,0.999998,5.308844e+08,58,0.813878,1.000000e+07,0.813878,1.000000e+07,1.000000,1.188502e+08,-2.5235,-2.5190,2.998,0.004
sp_fs_125c_vdd1.62v,fs,125,1.62,2.725740e-03,2.719630e-03,0.7399,0.8801,0.7402,3.218520e-03,5.214000e-03,-3.0824,9.6703,9.7126,-0.0048,3.996229,1.000377,0.700835,2.8404,2.5631,3.5556,3.5556,3.5550,3.5544,3.4727,9.7126,-0.0000,-2.351263,5.308844e+07,54,140,0.999999,4.216965e+08,53,0.823182,1.000000e+07,0.823182,1.000000e+07,1.000000,1.000000e+08,-2.7518,-2.7286,2.992,0.023
sp_fs_125c_vdd1.80v,fs,125,1.80,3.288260e-03,3.280710e-03,0.8951,0.9049,0.7481,3.865950e-03,6.958710e-03,-3.1021,10.2813,10.3428,-0.0046,3.720272,1.000355,0.699267,2.7649,2.5129,3.4676,3.4676,3.4671,3.4665,3.3861,10.3428,0.0000,-2.641219,5.308844e+07,56,140,0.999998,4.731513e+08,56,0.819036,1.000000e+07,0.819036,1.000000e+07,1.000000,1.258925e+08,-1.6386,-1.6148,2.992,0.024
sp_fs_125c_vdd1.98v,fs,125,1.98,3.875630e-03,3.866510e-03,1.0510,0.9291,0.7551,4.538610e-03,8.986460e-03,-3.1155,10.7312,10.8087,-0.0045,3.506584,1.000336,0.698201,2.7080,2.4759,3.4010,3.4010,3.4005,3.4000,3.3205,10.8087,-0.0000,-2.962362,5.308844e+07,58,140,0.999998,5.623413e+08,57,0.815505,1.000000e+07,0.815505,1.000000e+07,1.000000,1.412538e+08,-0.5718,-0.5427,2.990,0.029
sp_fs_27c_vdd1.62v,fs,27,1.62,2.478210e-03,2.474970e-03,0.6567,0.9633,0.8265,2.936370e-03,4.756920e-03,-3.0464,10.3751,10.4384,-0.0046,4.325067,1.000374,0.703777,2.7356,2.4813,2.8060,2.8060,2.8055,2.8050,2.7356,10.4384,0.0000,-2.108734,5.308844e+07,55,140,0.999999,4.216965e+08,54,0.821701,1.000000e+07,0.821701,1.000000e+07,1.000000,8.413951e+07,-4.3959,-4.3804,2.995,0.016
sp_fs_27c_vdd1.80v,fs,27,1.80,3.055680e-03,3.051590e-03,0.8136,0.9864,0.8335,3.599270e-03,6.478680e-03,-3.0558,10.9289,11.0123,-0.0044,4.055449,1.000356,0.703032,2.6645,2.4329,2.7337,2.7337,2.7332,2.7327,2.6645,11.0123,0.0000,-2.355189,5.308844e+07,57,140,0.999998,4.731513e+08,56,0.817717,1.000000e+07,0.817717,1.000000e+07,1.000000,1.188502e+08,-3.0750,-3.0584,2.994,0.017
sp_fs_27c_vdd1.98v,fs,27,1.98,3.664310e-03,3.659270e-03,0.9710,1.0090,0.8397,4.293660e-03,8.501440e-03,-3.0598,11.3184,11.4174,-0.0043,3.853020,1.000341,0.702719,2.6114,2.3974,2.6796,2.6796,2.6791,2.6787,2.6114,11.4174,-0.0000,-2.619717,5.308844e+07,58,140,0.999998,5.623413e+08,58,0.814511,1.000000e+07,0.814511,1.000000e+07,1.000000,1.258925e+08,-1.7681,-1.7478,2.993,0.020
sp_sf_-40c_vdd1.62v,sf,-40,1.62,2.319910e-03,2.318300e-03,0.6036,1.0164,0.8814,2.756030e-03,4.464770e-03,-3.0137,10.8974,10.9783,-0.0044,4.607189,1.000375,0.706445,2.6892,2.4428,2.2772,2.2772,2.2768,2.2764,2.2169,10.9783,-0.0000,-1.939710,5.011872e+07,55,140,0.999999,4.216965e+08,54,0.820318,1.000000e+07,0.820318,1.000000e+07,1.000000,9.440609e+07,-5.7005,-5.6912,2.997,0.009
sp_sf_-40c_vdd1.80v,sf,-40,1.80,2.910780e-03,2.908720e-03,0.7617,1.0383,0.8877,3.432710e-03,6.178880e-03,-3.0148,11.3807,11.4810,-0.0043,4.352696,1.000360,0.706366,2.6235,2.3972,2.2192,2.2192,2.2188,2.2184,2.1601,11.4810,0.0000,-2.173404,5.308844e+07,57,140,0.999998,4.731513e+08,56,0.816672,1.000000e+07,0.816672,1.000000e+07,1.000000,1.000000e+08,-4.1011,-4.0926,2.997,0.008
sp_sf_-40c_vdd1.98v,sf,-40,1.98,3.539420e-03,3.536850e-03,0.9202,1.0598,0.8932,4.147450e-03,8.211960e-03,-3.0125,11.7092,11.8240,-0.0042,4.163491,1.000347,0.706567,2.5740,2.3633,2.1756,2.1756,2.1753,2.1749,2.1174,11.8240,0.0000,-2.420897,5.308844e+07,58,140,0.999998,5.308844e+08,58,0.813878,1.000000e+07,0.813878,1.000000e+07,1.000000,1.188502e+08,-2.5235,-2.5190,2.998,0.004
sp_sf_125c_vdd1.62v,sf,125,1.62,2.725740e-03,2.719630e-03,0.7399,0.8801,0.7402,3.218520e-03,5.214000e-03,-3.0824,9.6703,9.7126,-0.0048,3.996229,1.000377,0.700835,2.8404,2.5631,3.5556,3.5556,3.5550,3.5544,3.4727,9.7126,-0.0000,-2.351263,5.308844e+07,54,140,0.999999,4.216965e+08,53,0.823182,1.000000e+07,0.823182,1.000000e+07,1.000000,1.000000e+08,-2.7518,-2.7286,2.992,0.023
sp_sf_125c_vdd1.80v,sf,125,1.80,3.288260e-03,3.280710e-03,0.8951,0.9049,0.7481,3.865950e-03,6.958710e-03,-3.1021,10.2813,10.3428,-0.0046,3.720272,1.000355,0.699267,2.7649,2.5129,3.4676,3.4676,3.4671,3.4665,3.3861,10.3428,0.0000,-2.641219,5.308844e+07,56,140,0.999998,4.731513e+08,56,0.819036,1.000000e+07,0.819036,1.000000e+07,1.000000,1.258925e+08,-1.6386,-1.6148,2.992,0.024
sp_sf_125c_vdd1.98v,sf,125,1.98,3.875630e-03,3.866510e-03,1.0510,0.9291,0.7551,4.538610e-03,8.986460e-03,-3.1155,10.7312,10.8087,-0.0045,3.506584,1.000336,0.698201,2.7080,2.4759,3.4010,3.4010,3.4005,3.4000,3.3205,10.8087,-0.0000,-2.962362,5.308844e+07,58,140,0.999998,5.623413e+08,57,0.815505,1.000000e+07,0.815505,1.000000e+07,1.000000,1.412538e+08,-0.5718,-0.5427,2.990,0.029
sp_sf_27c_vdd1.62v,sf,27,1.62,2.478210e-03,2.474970e-03,0.6567,0.9633,0.8265,2.936370e-03,4.756920e-03,-3.0464,10.3751,10.4384,-0.0046,4.325067,1.000374,0.703777,2.7356,2.4813,2.8060,2.8060,2.8055,2.8050,2.7356,10.4384,0.0000,-2.108734,5.308844e+07,55,140,0.999999,4.216965e+08,54,0.821701,1.000000e+07,0.821701,1.000000e+07,1.000000,8.413951e+07,-4.3959,-4.3804,2.995,0.016
sp_sf_27c_vdd1.80v,sf,27,1.80,3.055680e-03,3.051590e-03,0.8136,0.9864,0.8335,3.599270e-03,6.478680e-03,-3.0558,10.9289,11.0123,-0.0044,4.055449,1.000356,0.703032,2.6645,2.4329,2.7337,2.7337,2.7332,2.7327,2.6645,11.0123,0.0000,-2.355189,5.308844e+07,57,140,0.999998,4.731513e+08,56,0.817717,1.000000e+07,0.817717,1.000000e+07,1.000000,1.188502e+08,-3.0750,-3.0584,2.994,0.017
sp_sf_27c_vdd1.98v,sf,27,1.98,3.664310e-03,3.659270e-03,0.9710,1.0090,0.8397,4.293660e-03,8.501440e-03,-3.0598,11.3184,11.4174,-0.0043,3.853020,1.000341,0.702719,2.6114,2.3974,2.6796,2.6796,2.6791,2.6787,2.6114,11.4174,-0.0000,-2.619717,5.308844e+07,58,140,0.999998,5.623413e+08,58,0.814511,1.000000e+07,0.814511,1.000000e+07,1.000000,1.258925e+08,-1.7681,-1.7478,2.993,0.020
sp_typ_-40c_vdd1.62v,typ,-40,1.62,2.319910e-03,2.318300e-03,0.6036,1.0164,0.8814,2.756030e-03,4.464770e-03,-3.0137,10.8974,10.9783,-0.0044,4.607189,1.000375,0.706445,2.6892,2.4428,2.2772,2.2772,2.2768,2.2764,2.2169,10.9783,-0.0000,-1.939710,5.011872e+07,55,140,0.999999,4.216965e+08,54,0.820318,1.000000e+07,0.820318,1.000000e+07,1.000000,9.440609e+07,-5.7005,-5.6912,2.997,0.009
sp_typ_-40c_vdd1.80v,typ,-40,1.80,2.910780e-03,2.908720e-03,0.7617,1.0383,0.8877,3.432710e-03,6.178880e-03,-3.0148,11.3807,11.4810,-0.0043,4.352696,1.000360,0.706366,2.6235,2.3972,2.2192,2.2192,2.2188,2.2184,2.1601,11.4810,0.0000,-2.173404,5.308844e+07,57,140,0.999998,4.731513e+08,56,0.816672,1.000000e+07,0.816672,1.000000e+07,1.000000,1.000000e+08,-4.1011,-4.0926,2.997,0.008
sp_typ_-40c_vdd1.98v,typ,-40,1.98,3.539420e-03,3.536850e-03,0.9202,1.0598,0.8932,4.147450e-03,8.211960e-03,-3.0125,11.7092,11.8240,-0.0042,4.163491,1.000347,0.706567,2.5740,2.3633,2.1756,2.1756,2.1753,2.1749,2.1174,11.8240,0.0000,-2.420897,5.308844e+07,58,140,0.999998,5.308844e+08,58,0.813878,1.000000e+07,0.813878,1.000000e+07,1.000000,1.188502e+08,-2.5235,-2.5190,2.998,0.004
sp_typ_125c_vdd1.62v,typ,125,1.62,2.725740e-03,2.719630e-03,0.7399,0.8801,0.7402,3.218520e-03,5.214000e-03,-3.0824,9.6703,9.7126,-0.0048,3.996229,1.000377,0.700835,2.8404,2.5631,3.5556,3.5556,3.5550,3.5544,3.4727,9.7126,-0.0000,-2.351263,5.308844e+07,54,140,0.999999,4.216965e+08,53,0.823182,1.000000e+07,0.823182,1.000000e+07,1.000000,1.000000e+08,-2.7518,-2.7286,2.992,0.023
sp_typ_125c_vdd1.80v,typ,125,1.80,3.288260e-03,3.280710e-03,0.8951,0.9049,0.7481,3.865950e-03,6.958710e-03,-3.1021,10.2813,10.3428,-0.0046,3.720272,1.000355,0.699267,2.7649,2.5129,3.4676,3.4676,3.4671,3.4665,3.3861,10.3428,0.0000,-2.641219,5.308844e+07,56,140,0.999998,4.731513e+08,56,0.819036,1.000000e+07,0.819036,1.000000e+07,1.000000,1.258925e+08,-1.6386,-1.6148,2.992,0.024
sp_typ_125c_vdd1.98v,typ,125,1.98,3.875630e-03,3.866510e-03,1.0510,0.9291,0.7551,4.538610e-03,8.986460e-03,-3.1155,10.7312,10.8087,-0.0045,3.506584,1.000336,0.698201,2.7080,2.4759,3.4010,3.4010,3.4005,3.4000,3.3205,10.8087,-0.0000,-2.962362,5.308844e+07,58,140,0.999998,5.623413e+08,57,0.815505,1.000000e+07,0.815505,1.000000e+07,1.000000,1.412538e+08,-0.5718,-0.5427,2.990,0.029
sp_typ_27c_vdd1.62v,typ,27,1.62,2.478210e-03,2.474970e-03,0.6567,0.9633,0.8265,2.936370e-03,4.756920e-03,-3.0464,10.3751,10.4384,-0.0046,4.325067,1.000374,0.703777,2.7356,2.4813,2.8060,2.8060,2.8055,2.8050,2.7356,10.4384,0.0000,-2.108734,5.308844e+07,55,140,0.999999,4.216965e+08,54,0.821701,1.000000e+07,0.821701,1.000000e+07,1.000000,8.413951e+07,-4.3959,-4.3804,2.995,0.016
sp_typ_27c_vdd1.80v,typ,27,1.80,3.055680e-03,3.051590e-03,0.8136,0.9864,0.8335,3.599270e-03,6.478680e-03,-3.0558,10.9289,11.0123,-0.0044,4.055449,1.000356,0.703032,2.6645,2.4329,2.7337,2.7337,2.7332,2.7327,2.6645,11.0123,0.0000,-2.355189,5.308844e+07,57,140,0.999998,4.731513e+08,56,0.817717,1.000000e+07,0.817717,1.000000e+07,1.000000,1.188502e+08,-3.0750,-3.0584,2.994,0.017
sp_typ_27c_vdd1.98v,typ,27,1.98,3.664310e-03,3.659270e-03,0.9710,1.0090,0.8397,4.293660e-03,8.501440e-03,-3.0598,11.3184,11.4174,-0.0043,3.853020,1.000341,0.702719,2.6114,2.3974,2.6796,2.6796,2.6791,2.6787,2.6114,11.4174,-0.0000,-2.619717,5.308844e+07,58,140,0.999998,5.623413e+08,58,0.814511,1.000000e+07,0.814511,1.000000e+07,1.000000,1.258925e+08,-1.7681,-1.7478,2.993,0.020
sp_wcs_-40c_vdd1.62v,wcs,-40,1.62,2.259680e-03,2.256910e-03,0.5947,1.0253,0.8893,2.692340e-03,4.361580e-03,-3.0610,10.5075,10.5757,-0.0055,4.376184,1.000448,0.702513,3.0562,2.7105,2.6032,2.6032,2.6027,2.6022,2.5364,10.5757,0.0000,-1.659041,5.308844e+07,52,140,0.999999,3.758374e+08,51,0.821072,1.000000e+07,0.821072,1.000000e+07,1.000000,7.498942e+07,-6.0516,-6.0432,2.997,0.008
sp_wcs_-40c_vdd1.80v,wcs,-40,1.80,2.826870e-03,2.823330e-03,0.7520,1.0480,0.8961,3.345050e-03,6.021100e-03,-3.0648,11.0037,11.0902,-0.0053,4.143292,1.000430,0.702222,2.9954,2.6715,2.5490,2.5490,2.5486,2.5481,2.4833,11.0902,0.0000,-1.850301,5.308844e+07,55,140,0.999999,4.466836e+08,54,0.817456,1.000000e+07,0.817456,1.000000e+07,1.000000,7.943282e+07,-4.5257,-4.5196,2.998,0.006
sp_wcs_-40c_vdd1.98v,wcs,-40,1.98,3.421900e-03,3.417510e-03,0.9097,1.0703,0.9021,4.025910e-03,7.971310e-03,-3.0648,11.3433,11.4435,-0.0052,3.970728,1.000414,0.702241,2.9502,2.6437,2.5088,2.5088,2.5084,2.5080,2.4439,11.4435,-0.0000,-2.048447,5.308844e+07,57,140,0.999998,5.011872e+08,56,0.814668,1.000000e+07,0.814668,1.000000e+07,1.000000,1.258925e+08,-3.0331,-3.0290,2.999,0.004
sp_wcs_125c_vdd1.62v,wcs,125,1.62,2.573250e-03,2.563030e-03,0.7258,0.8942,0.7508,3.060810e-03,4.958510e-03,-3.1630,9.1584,9.1887,-0.0059,3.876101,1.000455,0.694256,3.1595,2.8045,3.9250,3.9250,3.9244,3.9237,3.8368,9.1887,-0.0000,-1.703360,5.623413e+07,49,140,0.999999,3.548134e+08,48,0.821149,1.000000e+07,0.821149,1.000000e+07,1.000000,7.943282e+07,-3.1747,-3.1537,2.993,0.021
sp_wcs_125c_vdd1.80v,wcs,125,1.80,3.088930e-03,3.076400e-03,0.8800,0.9200,0.7589,3.661130e-03,6.590030e-03,-3.1887,9.7782,9.8261,-0.0057,3.626629,1.000428,0.692227,3.0904,2.7628,3.8454,3.8454,3.8448,3.8442,3.7582,9.8261,-0.0000,-1.924376,5.623413e+07,51,140,0.999999,4.216965e+08,51,0.816725,1.000000e+07,0.816725,1.000000e+07,1.000000,1.188502e+08,-2.2856,-2.2664,2.994,0.019
sp_wcs_125c_vdd1.98v,wcs,125,1.98,3.618620e-03,3.603610e-03,1.0349,0.9451,0.7660,4.275840e-03,8.466160e-03,-3.2075,10.2364,10.2990,-0.0055,3.430413,1.000405,0.690750,3.0397,2.7342,3.7868,3.7868,3.7864,3.7858,3.7005,10.2990,0.0000,-2.161816,5.623413e+07,54,140,0.999998,4.731513e+08,53,0.812953,1.000000e+07,0.812953,1.000000e+07,1.000000,1.333521e+08,-1.4138,-1.3886,2.992,0.025
sp_wcs_27c_vdd1.62v,wcs,27,1.62,2.380690e-03,2.375190e-03,0.6457,0.9743,0.8355,2.834690e-03,4.592200e-03,-3.1079,9.9421,9.9932,-0.0056,4.140705,1.000448,0.698710,3.0740,2.7325,3.1504,3.1504,3.1498,3.1493,3.0740,9.9932,-0.0000,-1.679369,5.623413e+07,51,140,0.999999,3.548134e+08,50,0.821143,1.000000e+07,0.821143,1.000000e+07,1.000000,7.943282e+07,-4.8190,-4.8082,2.996,0.011
sp_wcs_27c_vdd1.80v,wcs,27,1.80,2.924110e-03,2.917200e-03,0.8017,0.9983,0.8429,3.463260e-03,6.233870e-03,-3.1213,10.5078,10.5775,-0.0054,3.894323,1.000426,0.697652,3.0088,2.6919,3.0841,3.0841,3.0836,3.0831,3.0088,10.5775,-0.0000,-1.871715,5.623413e+07,54,140,0.999999,4.216965e+08,53,0.817045,1.000000e+07,0.817045,1.000000e+07,1.000000,1.188502e+08,-3.6445,-3.6286,2.995,0.016
sp_wcs_27c_vdd1.98v,wcs,27,1.98,3.488350e-03,3.479910e-03,0.9583,1.0217,0.8494,4.112990e-03,8.143730e-03,-3.1288,10.9077,10.9922,-0.0053,3.708859,1.000408,0.697066,2.9611,2.6639,3.0356,3.0356,3.0352,3.0347,2.9611,10.9922,-0.0000,-2.073275,5.623413e+07,55,140,0.999998,5.011872e+08,54,0.813727,1.000000e+07,0.813727,1.000000e+07,1.000000,1.333521e+08,-2.4593,-2.4422,2.994,0.017
