point_id,corner_label,temp_c,vdd_v,freq_hz,s11_db,s21_db,s12_db,s22_db,s11_mag,s21_mag,s12_mag,s22_mag,k,mu,mag_delta,nf_sp_db,nfmin_sp_db
sp_bcs_-40c_vdd1.62v,bcs,-40,1.62,2.400000e+09,-2.9692,11.3526,-99.5354,-0.0035,0.710458,3.695112,1.054947e-05,0.999594,4.900878,1.000307,0.710156,2.3513,2.1909
sp_bcs_-40c_vdd1.62v,bcs,-40,1.62,2.408350e+09,-2.9701,11.3434,-99.4729,-0.0036,0.710390,3.691227,1.062567e-05,0.999591,4.915519,1.000310,0.710086,2.3512,2.1909
sp_bcs_-40c_vdd1.62v,bcs,-40,1.62,2.416700e+09,-2.9709,11.3342,-99.4106,-0.0036,0.710323,3.687320,1.070214e-05,0.999587,4.930136,1.000313,0.710016,2.3511,2.1908
sp_bcs_-40c_vdd1.62v,bcs,-40,1.62,2.425050e+09,-2.9717,11.3250,-99.3485,-0.0036,0.710256,3.683392,1.077888e-05,0.999584,4.944729,1.000316,0.709946,2.3510,2.1907
sp_bcs_-40c_vdd1.62v,bcs,-40,1.62,2.433400e+09,-2.9725,11.3156,-99.2867,-0.0036,0.710189,3.679443,1.085590e-05,0.999580,4.959299,1.000319,0.709877,2.3510,2.1907
sp_bcs_-40c_vdd1.62v,bcs,-40,1.62,2.441750e+09,-2.9733,11.3063,-99.2251,-0.0037,0.710123,3.675474,1.093320e-05,0.999576,4.973844,1.000322,0.709808,2.3509,2.1906
sp_bcs_-40c_vdd1.62v,bcs,-40,1.62,2.450100e+09,-2.9741,11.2968,-99.1636,-0.0037,0.710057,3.671485,1.101077e-05,0.999573,4.988366,1.000325,0.709740,2.3508,2.1905
sp_bcs_-40c_vdd1.62v,bcs,-40,1.62,2.458450e+09,-2.9749,11.2873,-99.1025,-0.0037,0.709991,3.667477,1.108861e-05,0.999569,5.002864,1.000328,0.709671,2.3507,2.1905
sp_bcs_-40c_vdd1.62v,bcs,-40,1.62,2.466800e+09,-2.9757,11.2778,-99.0415,-0.0038,0.709926,3.663450,1.116673e-05,0.999566,5.017338,1.000332,0.709603,2.3506,2.1904
sp_bcs_-40c_vdd1.62v,bcs,-40,1.62,2.475150e+09,-2.9765,11.2682,-98.9807,-0.0038,0.709861,3.659404,1.124512e-05,0.999562,5.031788,1.000335,0.709536,2.3505,2.1904
sp_bcs_-40c_vdd1.62v,bcs,-40,1.62,2.483500e+09,-2.9773,11.2586,-98.9202,-0.0038,0.709796,3.655340,1.132379e-05,0.999558,5.046214,1.000338,0.709468,2.3504,2.1903
sp_bcs_-40c_vdd1.80v,bcs,-40,1.80,2.400000e+09,-2.9681,11.8423,-99.7055,-0.0034,0.710553,3.909433,1.034482e-05,0.999606,4.619116,1.000296,0.710261,2.2813,2.1391
sp_bcs_-40c_vdd1.80v,bcs,-40,1.80,2.408350e+09,-2.9687,11.8310,-99.6437,-0.0035,0.710499,3.904382,1.041872e-05,0.999602,4.634193,1.000299,0.710204,2.2812,2.1390
sp_bcs_-40c_vdd1.80v,bcs,-40,1.80,2.416700e+09,-2.9694,11.8198,-99.5821,-0.0035,0.710445,3.899316,1.049287e-05,0.999599,4.649245,1.000302,0.710148,2.2811,2.1390
sp_bcs_-40c_vdd1.80v,bcs,-40,1.80,2.425050e+09,-2.9700,11.8084,-99.5207,-0.0035,0.710391,3.894234,1.056730e-05,0.999595,4.664271,1.000305,0.710092,2.2810,2.1389
sp_bcs_-40c_vdd1.80v,bcs,-40,1.80,2.433400e+09,-2.9707,11.7971,-99.4595,-0.0035,0.710338,3.889138,1.064199e-05,0.999592,4.679272,1.000308,0.710036,2.2809,2.1388
sp_bcs_-40c_vdd1.80v,bcs,-40,1.80,2.441750e+09,-2.9713,11.7856,-99.3986,-0.0036,0.710285,3.884028,1.071694e-05,0.999588,4.694248,1.000311,0.709981,2.2809,2.1388
sp_bcs_-40c_vdd1.80v,bcs,-40,1.80,2.450100e+09,-2.9720,11.7742,-99.3378,-0.0036,0.710232,3.878903,1.079216e-05,0.999585,4.709198,1.000314,0.709925,2.2808,2.1387
sp_bcs_-40c_vdd1.80v,bcs,-40,1.80,2.458450e+09,-2.9726,11.7627,-99.2773,-0.0036,0.710180,3.873766,1.086765e-05,0.999581,4.724124,1.000316,0.709870,2.2807,2.1387
sp_bcs_-40c_vdd1.80v,bcs,-40,1.80,2.466800e+09,-2.9733,11.7511,-99.2170,-0.0037,0.710128,3.868615,1.094340e-05,0.999578,4.739024,1.000320,0.709816,2.2806,2.1386
sp_bcs_-40c_vdd1.80v,bcs,-40,1.80,2.475150e+09,-2.9739,11.7395,-99.1568,-0.0037,0.710076,3.863452,1.101942e-05,0.999574,4.753899,1.000323,0.709761,2.2806,2.1386
sp_bcs_-40c_vdd1.80v,bcs,-40,1.80,2.483500e+09,-2.9745,11.7279,-99.0969,-0.0037,0.710024,3.858277,1.109570e-05,0.999571,4.768748,1.000326,0.709707,2.2805,2.1385
sp_bcs_-40c_vdd1.98v,bcs,-40,1.98,2.400000e+09,-2.9639,12.1734,-99.8163,-0.0033,0.710897,4.061331,1.021375e-05,0.999616,4.408490,1.000286,0.710614,2.2282,2.0997
sp_bcs_-40c_vdd1.98v,bcs,-40,1.98,2.408350e+09,-2.9644,12.1606,-99.7552,-0.0034,0.710853,4.055363,1.028583e-05,0.999612,4.423827,1.000289,0.710567,2.2281,2.0997
sp_bcs_-40c_vdd1.98v,bcs,-40,1.98,2.416700e+09,-2.9649,12.1478,-99.6943,-0.0034,0.710809,4.049386,1.035816e-05,0.999609,4.439138,1.000292,0.710521,2.2281,2.0996
sp_bcs_-40c_vdd1.98v,bcs,-40,1.98,2.425050e+09,-2.9655,12.1349,-99.6337,-0.0034,0.710766,4.043399,1.043075e-05,0.999606,4.454423,1.000295,0.710476,2.2280,2.0996
sp_bcs_-40c_vdd1.98v,bcs,-40,1.98,2.433400e+09,-2.9660,12.1220,-99.5732,-0.0035,0.710723,4.037403,1.050360e-05,0.999602,4.469681,1.000297,0.710430,2.2279,2.0995
sp_bcs_-40c_vdd1.98v,bcs,-40,1.98,2.441750e+09,-2.9665,12.1091,-99.5130,-0.0035,0.710680,4.031399,1.057670e-05,0.999599,4.484914,1.000300,0.710385,2.2279,2.0995
sp_bcs_-40c_vdd1.98v,bcs,-40,1.98,2.450100e+09,-2.9670,12.0962,-99.4530,-0.0035,0.710638,4.025387,1.065007e-05,0.999596,4.500120,1.000303,0.710340,2.2278,2.0994
