point_id,corner_label,temp_c,vdd_v,amp_v_peak_per_tone,src_tone_v_peak_measured,pin_avail_dbm_per_tone,pout_dbm_per_tone,pim3_dbm,gain_db,iip3_dbm,oip3_dbm,iip3_dbm_dft_crosscheck,v_tone1_out_v,v_tone2_out_v,v_im3l_out_v,v_im3h_out_v,v_im5_out_v,im3_over_im5_db,ic1_a,idd_a,fft_npts,fft_df_hz
iip3_bcs_-40c_vdd1.62v_a1mv,bcs,-40,1.62,1.000000e-03,9.996210e-04,-56.0206,-44.7297,-146.4746,11.2909,-5.1482,6.1427,-5.1478,1.835390e-03,1.833570e-03,1.468340e-08,1.532890e-08,5.829435e-11,48.21,2.364980e-03,2.804010e-03,65536,3.814700e+06
iip3_bcs_-40c_vdd1.62v_a2mv,bcs,-40,1.62,2.000000e-03,1.999240e-03,-50.0000,-38.7097,-128.4285,11.2903,-5.1406,6.1496,-5.1406,3.670530e-03,3.666890e-03,1.172730e-07,1.223930e-07,1.058380e-10,61.08,2.364980e-03,2.804010e-03,65536,3.814700e+06
iip3_bcs_-40c_vdd1.80v_a1mv,bcs,-40,1.80,1.000000e-03,9.996210e-04,-56.0206,-44.2541,-149.4784,11.7665,-3.4085,8.3580,-3.4076,1.938910e-03,1.936570e-03,1.042090e-08,1.081700e-08,5.801600e-11,45.25,2.977070e-03,3.502170e-03,65536,3.814700e+06
iip3_bcs_-40c_vdd1.80v_a2mv,bcs,-40,1.80,2.000000e-03,1.999240e-03,-50.0000,-38.2339,-131.4330,11.7661,-3.4005,8.3657,-3.4002,3.877650e-03,3.872970e-03,8.314400e-08,8.643870e-08,1.146975e-10,57.38,2.977070e-03,3.502170e-03,65536,3.814700e+06
iip3_bcs_-40c_vdd1.98v_a1mv,bcs,-40,1.98,1.000000e-03,9.996210e-04,-56.0206,-43.9341,-152.5870,12.0865,-1.6941,10.3923,-1.6925,2.011820e-03,2.009080e-03,7.293030e-09,7.555310e-09,5.914195e-11,41.98,3.638740e-03,4.250210e-03,65536,3.814700e+06
iip3_bcs_-40c_vdd1.98v_a2mv,bcs,-40,1.98,2.000000e-03,1.999240e-03,-50.0000,-37.9138,-134.5261,12.0862,-1.6938,10.3924,-1.6934,4.023530e-03,4.018060e-03,5.833020e-08,6.044490e-08,1.077113e-10,54.83,3.638740e-03,4.250210e-03,65536,3.814700e+06
iip3_bcs_125c_vdd1.62v_a1mv,bcs,125,1.62,1.000000e-03,9.996210e-04,-56.0206,-45.9061,-153.1732,10.1145,-2.3870,7.7275,-2.3876,1.602580e-03,1.601670e-03,6.860040e-09,7.019340e-09,5.523640e-11,41.98,2.840950e-03,3.337960e-03,65536,3.814700e+06
iip3_bcs_125c_vdd1.62v_a2mv,bcs,125,1.62,2.000000e-03,1.999240e-03,-50.0000,-39.8858,-135.1603,10.1142,-2.3628,7.7514,-2.3629,3.205030e-03,3.203210e-03,5.464070e-08,5.577070e-08,1.092427e-10,54.07,2.840950e-03,3.337960e-03,65536,3.814700e+06
iip3_bcs_125c_vdd1.80v_a1mv,bcs,125,1.80,1.000000e-03,9.996210e-04,-56.0206,-45.2952,-155.4209,10.7254,-0.9578,9.7676,-0.9578,1.719530e-03,1.718180e-03,5.280740e-09,5.434070e-09,6.133735e-11,38.82,3.443070e-03,4.025250e-03,65536,3.814700e+06
iip3_bcs_125c_vdd1.80v_a2mv,bcs,125,1.80,2.000000e-03,1.999240e-03,-50.0000,-39.2749,-137.4246,10.7251,-0.9252,9.8000,-0.9252,3.438960e-03,3.436260e-03,4.188710e-08,4.318800e-08,1.142406e-10,51.42,3.443070e-03,4.025250e-03,65536,3.814700e+06
iip3_bcs_125c_vdd1.98v_a1mv,bcs,125,1.98,1.000000e-03,9.996210e-04,-56.0206,-44.8472,-157.6748,11.1734,0.3932,11.5667,0.3938,1.810720e-03,1.808970e-03,4.068680e-09,4.197200e-09,6.072865e-11,36.66,4.082410e-03,4.750130e-03,65536,3.814700e+06
iip3_bcs_125c_vdd1.98v_a2mv,bcs,125,1.98,2.000000e-03,1.999240e-03,-50.0000,-38.8268,-139.6860,11.1732,0.4296,11.6029,0.4298,3.621350e-03,3.617860e-03,3.216300e-08,3.341040e-08,1.126510e-10,49.28,4.082410e-03,4.750130e-03,65536,3.814700e+06
iip3_bcs_27c_vdd1.62v_a1mv,bcs,27,1.62,1.000000e-03,9.996210e-04,-56.0206,-45.2368,-149.5204,10.7838,-3.8788,6.9050,-3.8787,1.731140e-03,1.729770e-03,1.033610e-08,1.079930e-08,5.848025e-11,45.14,2.551290e-03,3.012880e-03,65536,3.814700e+06
iip3_bcs_27c_vdd1.62v_a2mv,bcs,27,1.62,2.000000e-03,1.999240e-03,-50.0000,-39.2167,-131.4934,10.7833,-3.8617,6.9216,-3.8617,3.462090e-03,3.459330e-03,8.228990e-08,8.611780e-08,1.138324e-10,57.38,2.551290e-03,3.012880e-03,65536,3.814700e+06
iip3_bcs_27c_vdd1.80v_a1mv,bcs,27,1.80,1.000000e-03,9.996210e-04,-56.0206,-44.6873,-152.0731,11.3333,-2.3277,9.0056,-2.3271,1.844400e-03,1.842520e-03,7.689010e-09,8.064430e-09,5.767375e-11,42.71,3.157790e-03,3.705060e-03,65536,3.814700e+06
iip3_bcs_27c_vdd1.80v_a2mv,bcs,27,1.80,2.000000e-03,1.999240e-03,-50.0000,-38.6671,-134.0452,11.3329,-2.3109,9.0220,-2.3108,3.688660e-03,3.684900e-03,6.127400e-08,6.426230e-08,1.263555e-10,53.92,3.157790e-03,3.705060e-03,65536,3.814700e+06
iip3_bcs_27c_vdd1.98v_a1mv,bcs,27,1.98,1.000000e-03,9.996210e-04,-56.0206,-44.3038,-154.6799,11.7168,-0.8325,10.8843,-0.8311,1.927840e-03,1.925540e-03,5.701230e-09,5.967770e-09,6.261830e-11,39.39,3.807410e-03,4.440700e-03,65536,3.814700e+06
iip3_bcs_27c_vdd1.98v_a2mv,bcs,27,1.98,2.000000e-03,1.999240e-03,-50.0000,-38.2834,-136.6776,11.7166,-0.8029,10.9138,-0.8025,3.855590e-03,3.850990e-03,4.521310e-08,4.750190e-08,1.171140e-10,51.95,3.807410e-03,4.440700e-03,65536,3.814700e+06
iip3_fs_-40c_vdd1.62v_a1mv,fs,-40,1.62,1.000000e-03,9.996210e-04,-56.0206,-45.0959,-145.7360,10.9247,-5.7005,5.2242,-5.7002,1.759510e-03,1.758010e-03,1.625930e-08,1.641690e-08,5.827365e-11,48.95,2.319910e-03,2.756030e-03,65536,3.814700e+06
iip3_fs_-40c_vdd1.62v_a2mv,fs,-40,1.62,2.000000e-03,1.999240e-03,-50.0000,-39.0759,-127.6935,10.9241,-5.6912,5.2329,-5.6911,3.518750e-03,3.515740e-03,1.296730e-07,1.311540e-07,1.067301e-10,61.74,2.319910e-03,2.756030e-03,65536,3.814700e+06
iip3_fs_-40c_vdd1.80v_a1mv,fs,-40,1.80,1.000000e-03,9.996210e-04,-56.0206,-44.6064,-148.4454,11.4142,-4.1011,7.3131,-4.1003,1.861700e-03,1.859730e-03,1.190680e-08,1.201300e-08,5.793645e-11,46.30,2.910780e-03,3.432710e-03,65536,3.814700e+06
iip3_fs_-40c_vdd1.80v_a2mv,fs,-40,1.80,2.000000e-03,1.999240e-03,-50.0000,-38.5862,-130.4011,11.4138,-4.0926,7.3212,-4.0924,3.723210e-03,3.719270e-03,9.505160e-08,9.592330e-08,1.091283e-10,58.84,2.910780e-03,3.432710e-03,65536,3.814700e+06
iip3_fs_-40c_vdd1.98v_a1mv,fs,-40,1.98,1.000000e-03,9.996210e-04,-56.0206,-44.2741,-151.2683,11.7465,-2.5235,9.2230,-2.5223,1.934460e-03,1.932120e-03,8.623910e-09,8.659000e-09,5.587120e-11,43.79,3.539420e-03,4.147450e-03,65536,3.814700e+06
iip3_fs_-40c_vdd1.98v_a2mv,fs,-40,1.98,2.000000e-03,1.999240e-03,-50.0000,-38.2537,-133.2158,11.7463,-2.5190,9.2273,-2.5187,3.868800e-03,3.864130e-03,6.879490e-08,6.932000e-08,1.137420e-10,55.67,3.539420e-03,4.147450e-03,65536,3.814700e+06
iip3_fs_125c_vdd1.62v_a1mv,fs,125,1.62,1.000000e-03,9.996210e-04,-56.0206,-46.3399,-152.8776,9.6807,-2.7518,6.9290,-2.7520,1.524420e-03,1.523730e-03,7.389560e-09,6.970340e-09,5.265285e-11,42.69,2.725740e-03,3.218520e-03,65536,3.814700e+06
iip3_fs_125c_vdd1.62v_a2mv,fs,125,1.62,2.000000e-03,1.999240e-03,-50.0000,-40.3197,-134.8624,9.6803,-2.7286,6.9517,-2.7287,3.048700e-03,3.047330e-03,5.878780e-08,5.547660e-08,1.111575e-10,54.22,2.725740e-03,3.218520e-03,65536,3.814700e+06
iip3_fs_125c_vdd1.80v_a1mv,fs,125,1.80,1.000000e-03,9.996210e-04,-56.0206,-45.7227,-154.4867,10.2979,-1.6386,8.6593,-1.6384,1.636840e-03,1.635770e-03,6.109950e-09,5.821570e-09,5.504090e-11,40.70,3.288260e-03,3.865950e-03,65536,3.814700e+06
