point_id,corner_label,temp_c,vdd_v,ic1_a,ic2_a,vce1_v,vce2_v,vbe1_v,idd_a,pdc_w,s11_db_worst,s21_db_min,s21_db_max,s22_db_worst,k_inband_min,mu_inband_min,mag_delta_inband_max,nf_sp_db_at_band_lo,nfmin_sp_db_at_band_lo,nf290_db_worst,nf290_db_at_band_lo,nf290_db_at_band_mid,nf290_db_at_band_hi,nf30015_db_at_band_lo,gain_ac_db_at_band_lo,gain_ac_minus_s21_db,k_broadband_min,f_at_k_broadband_min_hz,n_broadband_pts_k_lt_1,n_broadband_pts,mu_broadband_min,f_at_mu_broadband_min_hz,n_broadband_pts_mu_lt_1,mag_delta_broadband_max,f_at_mag_delta_broadband_max_hz,s11_mag_broadband_max,f_at_s11_mag_broadband_max_hz,s22_mag_broadband_max,f_at_s22_mag_broadband_max_hz,iip3_dbm_a1mv,iip3_dbm_a2mv,im3_slope_2pt,iip3_spread_2pt_db
sp_bcs_-40c_vdd1.62v,bcs,-40,1.62,4.262570e-05,4.260840e-05,0.6987,0.9213,0.7863,2.562730e-04,4.151630e-04,-0.2444,-15.4889,-15.4201,-0.0036,11.447138,1.000357,0.971848,8.2228,2.1224,7.4461,7.4318,7.4389,7.4461,7.3097,-15.4889,-0.0000,0.307589,3.162278e+07,39,140,1.000000,7.498942e+07,5,0.980711,1.000000e+07,0.980711,1.000000e+07,1.000000,1.000000e+07,-20.5482,-20.5442,3.002,0.004
sp_bcs_-40c_vdd1.80v,bcs,-40,1.80,2.024660e-03,2.023910e-03,0.7801,1.0198,0.8700,2.262340e-03,4.072210e-03,-0.4722,11.9782,12.0568,-0.0034,0.490853,0.999770,0.946700,1.6548,0.5995,1.3763,1.3763,1.3760,1.3756,1.3362,12.0568,0.0000,-1.029775,7.943282e+07,102,140,0.999745,1.995262e+09,95,0.978389,1.000000e+07,0.978389,1.000000e+07,1.000000,7.498942e+07,-6.9486,-6.9387,2.997,0.010
sp_bcs_-40c_vdd1.98v,bcs,-40,1.98,1.161360e-02,1.160720e-02,0.8834,1.0966,0.9291,1.187720e-02,2.351690e-02,-0.4485,14.0444,14.2214,-0.0034,0.490467,0.999647,0.949305,1.2762,0.6433,1.0538,1.0538,1.0537,1.0536,1.0221,14.2214,-0.0000,-1.685618,5.011872e+07,95,140,0.999604,1.778279e+09,95,0.971409,1.000000e+07,0.971409,1.000000e+07,1.000003,3.548134e+08,7.9650,7.9188,3.015,0.046
sp_bcs_125c_vdd1.62v,bcs,125,1.62,4.730680e-03,4.724510e-03,0.7259,0.8941,0.7548,4.946790e-03,8.013800e-03,-0.5665,12.6026,12.7091,-0.0038,0.397087,0.999627,0.936423,1.6037,0.6757,2.0770,2.0770,2.0765,2.0761,2.0208,12.7091,-0.0000,-1.232750,5.308844e+07,97,140,0.999617,2.113489e+09,96,0.969276,1.000000e+07,0.969276,1.000000e+07,1.000000,2.238721e+08,-0.1157,-0.0778,2.987,0.038
sp_bcs_125c_vdd1.80v,bcs,125,1.80,9.858650e-03,9.842840e-03,0.8442,0.9558,0.7930,1.010230e-02,1.818420e-02,-0.5706,13.5956,13.7511,-0.0037,0.428086,0.999587,0.936000,1.4375,0.7573,1.8715,1.8715,1.8713,1.8711,1.8198,13.7511,0.0000,-2.073362,5.011872e+07,100,140,0.999578,2.113489e+09,99,0.958109,1.000000e+07,0.958109,1.000000e+07,1.000002,3.349654e+08,5.8999,5.9411,2.986,0.041
sp_bcs_125c_vdd1.98v,bcs,125,1.98,1.469670e-02,1.466850e-02,0.9737,1.0063,0.8163,1.496910e-02,2.963890e-02,-0.5675,13.8533,14.0237,-0.0036,0.412347,0.999542,0.936351,1.3972,0.8678,1.8216,1.8215,1.8216,1.8216,1.7709,14.0237,0.0000,-3.169318,6.683439e+07,110,140,0.999019,2.985383e+10,109,0.947769,1.000000e+07,0.947769,1.000000e+07,1.000004,3.981072e+08,9.6813,9.6395,3.014,0.042
sp_bcs_27c_vdd1.62v,bcs,27,1.62,8.100430e-04,8.094980e-04,0.7013,0.9187,0.7836,1.023900e-03,1.658720e-03,-0.3656,6.4144,6.4543,-0.0036,0.482908,0.999818,0.958358,2.3351,0.7343,2.3979,2.3979,2.3973,2.3967,2.3351,6.4144,0.0000,-1.011646,5.623413e+07,101,140,0.999807,2.113489e+09,90,0.979071,1.000000e+07,0.979071,1.000000e+07,1.000000,1.000000e+07,-13.1253,-13.1197,2.998,0.006
sp_bcs_27c_vdd1.80v,bcs,27,1.80,5.925650e-03,5.920860e-03,0.7980,1.0020,0.8494,6.164930e-03,1.109690e-02,-0.5116,13.4375,13.5823,-0.0035,0.487681,0.999689,0.942407,1.4388,0.6326,1.4815,1.4815,1.4812,1.4809,1.4388,13.5823,-0.0000,-1.259149,5.308844e+07,95,140,0.999668,1.995262e+09,95,0.971338,1.000000e+07,0.971338,1.000000e+07,1.000001,2.511886e+08,1.3230,1.3291,2.998,0.006
sp_bcs_27c_vdd1.98v,bcs,27,1.98,1.337070e-02,1.335610e-02,0.9168,1.0632,0.8875,1.363750e-02,2.700230e-02,-0.4958,13.9873,14.1628,-0.0035,0.456553,0.999603,0.944130,1.3111,0.7474,1.3505,1.3505,1.3505,1.3504,1.3111,14.1628,-0.0000,-2.366189,5.308844e+07,102,140,0.999526,2.985383e+10,101,0.961656,1.000000e+07,0.961656,1.000000e+07,1.000003,3.758374e+08,9.1083,9.0519,3.019,0.056
sp_fs_-40c_vdd1.62v,fs,-40,1.62,3.373350e-05,3.370800e-05,0.6988,0.9212,0.7863,2.473850e-04,4.007630e-04,-0.2719,-17.8077,-17.7561,-0.0046,15.807274,1.000476,0.968672,9.3594,2.5446,8.5630,8.5328,8.5478,8.5630,8.4046,-17.8077,-0.0000,0.462198,2.818383e+07,35,140,1.000000,1.000000e+07,0,0.980676,1.000000e+07,0.980676,1.000000e+07,1.000000,1.000000e+07,-20.9942,-20.9882,3.001,0.006
sp_fs_-40c_vdd1.80v,fs,-40,1.80,1.489540e-03,1.488530e-03,0.7810,1.0190,0.8686,1.727320e-03,3.109180e-03,-0.4920,10.6663,10.7035,-0.0043,0.426488,0.999704,0.944438,2.0676,0.7005,1.7325,1.7325,1.7321,1.7317,1.6839,10.7035,-0.0000,-1.007804,7.498942e+07,102,140,0.999685,2.113489e+09,94,0.977492,1.000000e+07,0.977492,1.000000e+07,1.000000,1.000000e+07,-8.8777,-8.8692,2.997,0.009
sp_fs_-40c_vdd1.98v,fs,-40,1.98,7.963710e-03,7.956660e-03,0.8851,1.0949,0.9257,8.227580e-03,1.629060e-02,-0.5108,13.6317,13.7867,-0.0042,0.475177,0.999610,0.942409,1.6589,0.7698,1.3798,1.3798,1.3796,1.3795,1.3397,13.7867,-0.0000,-1.376660,5.011872e+07,95,140,0.999586,1.995262e+09,95,0.969677,1.000000e+07,0.969677,1.000000e+07,1.000001,2.818383e+08,3.6701,3.6760,2.998,0.006
sp_fs_125c_vdd1.62v,fs,125,1.62,3.238950e-03,3.231530e-03,0.7309,0.8891,0.7483,3.455570e-03,5.598030e-03,-0.6151,11.3535,11.4144,-0.0048,0.345933,0.999559,0.931072,1.9887,0.7977,2.5464,2.5464,2.5459,2.5453,2.4807,11.4144,-0.0000,-1.134214,5.956621e+07,98,140,0.999555,2.238721e+09,95,0.966471,1.000000e+07,0.966471,1.000000e+07,1.000000,1.496236e+08,-2.8888,-2.8619,2.991,0.027
sp_fs_125c_vdd1.80v,fs,125,1.80,6.592020e-03,6.574660e-03,0.8506,0.9494,0.7846,6.836370e-03,1.230550e-02,-0.6579,12.8789,13.0007,-0.0047,0.403356,0.999546,0.926520,1.7997,0.8930,2.3172,2.3172,2.3169,2.3166,2.2560,13.0007,-0.0000,-1.579401,5.011872e+07,97,140,0.999543,2.238721e+09,96,0.954385,1.000000e+07,0.954385,1.000000e+07,1.000001,2.371374e+08,1.8081,1.8361,2.991,0.028
sp_fs_125c_vdd1.98v,fs,125,1.98,9.865290e-03,9.835650e-03,0.9801,0.9999,0.8082,1.013840e-02,2.007400e-02,-0.6631,13.3280,13.4723,-0.0046,0.417529,0.999533,0.925987,1.7475,1.0148,2.2535,2.2535,2.2535,2.2534,2.1937,13.4723,-0.0000,-2.332934,5.956621e+07,104,140,0.999531,2.238721e+09,101,0.943536,1.000000e+07,0.943536,1.000000e+07,1.000001,3.162278e+08,5.1736,5.2309,2.981,0.057
sp_fs_27c_vdd1.62v,fs,27,1.62,6.137070e-04,6.129390e-04,0.7021,0.9179,0.7825,8.276570e-04,1.340800e-03,-0.3585,4.3308,4.3879,-0.0046,0.560478,0.999826,0.959041,2.8290,0.8474,2.9012,2.9012,2.9005,2.8998,2.8290,4.3308,-0.0000,-0.976111,5.011872e+07,101,140,0.999811,2.113489e+09,88,0.978354,1.000000e+07,0.978354,1.000000e+07,1.000000,1.000000e+07,-13.9919,-13.9856,2.998,0.006
sp_fs_27c_vdd1.80v,fs,27,1.80,4.067680e-03,4.062000e-03,0.8012,0.9988,0.8448,4.307320e-03,7.753170e-03,-0.5750,12.6328,12.7409,-0.0044,0.430649,0.999621,0.935437,1.8153,0.7507,1.8669,1.8669,1.8666,1.8662,1.8153,12.7409,0.0000,-1.142671,5.956621e+07,98,140,0.999608,2.113489e+09,96,0.969016,1.000000e+07,0.969016,1.000000e+07,1.000000,1.678804e+08,-2.2401,-2.2226,2.994,0.018
sp_fs_27c_vdd1.98v,fs,27,1.98,9.046150e-03,9.030590e-03,0.9205,1.0595,0.8821,9.313430e-03,1.844060e-02,-0.5718,13.5414,13.6938,-0.0044,0.452221,0.999579,0.935795,1.6741,0.8850,1.7225,1.7225,1.7224,1.7223,1.6742,13.6938,0.0000,-1.789595,5.011872e+07,99,140,0.999566,2.113489e+09,98,0.958738,1.000000e+07,0.958738,1.000000e+07,1.000001,2.985383e+08,4.6423,4.6741,2.989,0.032
sp_sf_-40c_vdd1.62v,sf,-40,1.62,3.373350e-05,3.370800e-05,0.6988,0.9212,0.7863,2.473850e-04,4.007630e-04,-0.2719,-17.8077,-17.7561,-0.0046,15.807274,1.000476,0.968672,9.3594,2.5446,8.5630,8.5328,8.5478,8.5630,8.4046,-17.8077,-0.0000,0.462198,2.818383e+07,35,140,1.000000,1.000000e+07,0,0.980676,1.000000e+07,0.980676,1.000000e+07,1.000000,1.000000e+07,-20.9942,-20.9882,3.001,0.006
sp_sf_-40c_vdd1.80v,sf,-40,1.80,1.489540e-03,1.488530e-03,0.7810,1.0190,0.8686,1.727320e-03,3.109180e-03,-0.4920,10.6663,10.7035,-0.0043,0.426488,0.999704,0.944438,2.0676,0.7005,1.7325,1.7325,1.7321,1.7317,1.6839,10.7035,-0.0000,-1.007804,7.498942e+07,102,140,0.999685,2.113489e+09,94,0.977492,1.000000e+07,0.977492,1.000000e+07,1.000000,1.000000e+07,-8.8777,-8.8692,2.997,0.009
sp_sf_-40c_vdd1.98v,sf,-40,1.98,7.963710e-03,7.956660e-03,0.8851,1.0949,0.9257,8.227580e-03,1.629060e-02,-0.5108,13.6317,13.7867,-0.0042,0.475177,0.999610,0.942409,1.6589,0.7698,1.3798,1.3798,1.3796,1.3795,1.3397,13.7867,-0.0000,-1.376660,5.011872e+07,95,140,0.999586,1.995262e+09,95,0.969677,1.000000e+07,0.969677,1.000000e+07,1.000001,2.818383e+08,3.6701,3.6760,2.998,0.006
sp_sf_125c_vdd1.62v,sf,125,1.62,3.238950e-03,3.231530e-03,0.7309,0.8891,0.7483,3.455570e-03,5.598030e-03,-0.6151,11.3535,11.4144,-0.0048,0.345933,0.999559,0.931072,1.9887,0.7977,2.5464,2.5464,2.5459,2.5453,2.4807,11.4144,-0.0000,-1.134214,5.956621e+07,98,140,0.999555,2.238721e+09,95,0.966471,1.000000e+07,0.966471,1.000000e+07,1.000000,1.496236e+08,-2.8888,-2.8619,2.991,0.027
sp_sf_125c_vdd1.80v,sf,125,1.80,6.592020e-03,6.574660e-03,0.8506,0.9494,0.7846,6.836370e-03,1.230550e-02,-0.6579,12.8789,13.0007,-0.0047,0.403356,0.999546,0.926520,1.7997,0.8930,2.3172,2.3172,2.3169,2.3166,2.2560,13.0007,-0.0000,-1.579401,5.011872e+07,97,140,0.999543,2.238721e+09,96,0.954385,1.000000e+07,0.954385,1.000000e+07,1.000001,2.371374e+08,1.8081,1.8361,2.991,0.028
sp_sf_125c_vdd1.98v,sf,125,1.98,9.865290e-03,9.835650e-03,0.9801,0.9999,0.8082,1.013840e-02,2.007400e-02,-0.6631,13.3280,13.4723,-0.0046,0.417529,0.999533,0.925987,1.7475,1.0148,2.2535,2.2535,2.2535,2.2534,2.1937,13.4723,-0.0000,-2.332934,5.956621e+07,104,140,0.999531,2.238721e+09,101,0.943536,1.000000e+07,0.943536,1.000000e+07,1.000001,3.162278e+08,5.1736,5.2309,2.981,0.057
sp_sf_27c_vdd1.62v,sf,27,1.62,6.137070e-04,6.129390e-04,0.7021,0.9179,0.7825,8.276570e-04,1.340800e-03,-0.3585,4.3308,4.3879,-0.0046,0.560478,0.999826,0.959041,2.8290,0.8474,2.9012,2.9012,2.9005,2.8998,2.8290,4.3308,-0.0000,-0.976111,5.011872e+07,101,140,0.999811,2.113489e+09,88,0.978354,1.000000e+07,0.978354,1.000000e+07,1.000000,1.000000e+07,-13.9919,-13.9856,2.998,0.006
sp_sf_27c_vdd1.80v,sf,27,1.80,4.067680e-03,4.062000e-03,0.8012,0.9988,0.8448,4.307320e-03,7.753170e-03,-0.5750,12.6328,12.7409,-0.0044,0.430649,0.999621,0.935437,1.8153,0.7507,1.8669,1.8669,1.8666,1.8662,1.8153,12.7409,0.0000,-1.142671,5.956621e+07,98,140,0.999608,2.113489e+09,96,0.969016,1.000000e+07,0.969016,1.000000e+07,1.000000,1.678804e+08,-2.2401,-2.2226,2.994,0.018
sp_sf_27c_vdd1.98v,sf,27,1.98,9.046150e-03,9.030590e-03,0.9205,1.0595,0.8821,9.313430e-03,1.844060e-02,-0.5718,13.5414,13.6938,-0.0044,0.452221,0.999579,0.935795,1.6741,0.8850,1.7225,1.7225,1.7224,1.7223,1.6742,13.6938,0.0000,-1.789595,5.011872e+07,99,140,0.999566,2.113489e+09,98,0.958738,1.000000e+07,0.958738,1.000000e+07,1.000001,2.985383e+08,4.6423,4.6741,2.989,0.032
