point_id,corner_label,temp_c,vdd_v,amp_v_peak_per_tone,src_tone_v_peak_measured,pin_avail_dbm_per_tone,pout_dbm_per_tone,pim3_dbm,gain_db,iip3_dbm,oip3_dbm,iip3_dbm_dft_crosscheck,v_tone1_out_v,v_tone2_out_v,v_im3l_out_v,v_im3h_out_v,v_im5_out_v,im3_over_im5_db,ic1_a,idd_a,fft_npts,fft_df_hz
iip3_bcs_-40c_vdd1.62v_a1mv,bcs,-40,1.62,1.000000e-03,9.996210e-04,-56.0206,-71.4668,-142.4115,-15.4462,-20.5482,-35.9944,-20.5482,8.443190e-05,8.449250e-05,2.392890e-08,2.398410e-08,6.559600e-12,71.25,4.262570e-05,2.562730e-04,65536,3.814700e+06
iip3_bcs_-40c_vdd1.62v_a2mv,bcs,-40,1.62,2.000000e-03,1.999240e-03,-50.0000,-65.4253,-124.3369,-15.4253,-20.5442,-35.9696,-20.5442,1.692690e-04,1.693900e-04,1.917080e-07,1.921620e-07,9.113355e-11,66.47,4.262570e-05,2.562730e-04,65536,3.814700e+06
iip3_bcs_-40c_vdd1.80v_a1mv,bcs,-40,1.80,1.000000e-03,9.996210e-04,-56.0206,-44.0184,-142.1624,12.0022,-6.9486,5.0535,-6.9486,1.991860e-03,1.990200e-03,2.369500e-08,2.561220e-08,7.043535e-11,50.88,2.024660e-03,2.262340e-03,65536,3.814700e+06
iip3_bcs_-40c_vdd1.80v_a2mv,bcs,-40,1.80,2.000000e-03,1.999240e-03,-50.0000,-37.9990,-124.1216,12.0010,-6.9387,5.0622,-6.9387,3.983170e-03,3.979850e-03,1.891380e-07,2.043680e-07,1.953544e-10,60.06,2.024660e-03,2.262340e-03,65536,3.814700e+06
iip3_bcs_-40c_vdd1.98v_a1mv,bcs,-40,1.98,1.000000e-03,9.996210e-04,-56.0206,-41.9139,-169.8850,14.1067,7.9650,22.0717,7.9812,2.539280e-03,2.534560e-03,1.023920e-09,1.002740e-09,5.664585e-11,25.05,1.161360e-02,1.187720e-02,65536,3.814700e+06
iip3_bcs_-40c_vdd1.98v_a2mv,bcs,-40,1.98,2.000000e-03,1.999240e-03,-50.0000,-35.8933,-151.7310,14.1067,7.9188,22.0256,7.9229,5.078540e-03,5.069120e-03,8.233530e-09,8.152820e-09,8.405170e-11,39.78,1.161360e-02,1.187720e-02,65536,3.814700e+06
iip3_bcs_125c_vdd1.62v_a1mv,bcs,125,1.62,1.000000e-03,9.996210e-04,-56.0206,-43.3820,-155.1917,12.6386,-0.1157,12.5229,-0.1147,2.143600e-03,2.141190e-03,5.701920e-09,5.299370e-09,6.428015e-11,38.65,4.730680e-03,4.946800e-03,65536,3.814700e+06
iip3_bcs_125c_vdd1.62v_a2mv,bcs,125,1.62,2.000000e-03,1.999240e-03,-50.0000,-37.3617,-137.2061,12.6383,-0.0778,12.5604,-0.0776,4.287030e-03,4.282220e-03,4.512420e-08,4.211760e-08,1.406368e-10,49.83,4.730680e-03,4.946800e-03,65536,3.814700e+06
iip3_bcs_125c_vdd1.80v_a1mv,bcs,125,1.80,1.000000e-03,9.996210e-04,-56.0206,-42.3709,-166.2119,13.6497,5.8999,19.5497,5.9049,2.408860e-03,2.404930e-03,1.652660e-09,1.440730e-09,5.818775e-11,28.49,9.858650e-03,1.010230e-02,65536,3.814700e+06
iip3_bcs_125c_vdd1.80v_a2mv,bcs,125,1.80,2.000000e-03,1.999240e-03,-50.0000,-36.3503,-148.2325,13.6497,5.9411,19.5908,5.9423,4.817690e-03,4.809830e-03,1.277750e-08,1.173600e-08,1.225465e-10,40.00,9.858650e-03,1.010230e-02,65536,3.814700e+06
