point_id,corner_label,temp_c,vdd_v,freq_hz,s11_db,s21_db,s12_db,s22_db,s11_mag,s21_mag,s12_mag,s22_mag,k,mu,mag_delta,nf_sp_db,nfmin_sp_db
sp_bcs_-40c_vdd1.62v,bcs,-40,1.62,2.400000e+09,-0.2444,-15.4889,-99.0738,-0.0036,0.972250,0.168096,1.112530e-05,0.999588,11.447138,1.000357,0.971848,8.2228,2.1224
sp_bcs_-40c_vdd1.62v,bcs,-40,1.62,2.408350e+09,-0.2449,-15.4816,-99.0098,-0.0036,0.972196,0.168236,1.120758e-05,0.999584,11.476011,1.000360,0.971790,8.2243,2.1236
sp_bcs_-40c_vdd1.62v,bcs,-40,1.62,2.416700e+09,-0.2454,-15.4745,-98.9460,-0.0036,0.972141,0.168374,1.129013e-05,0.999580,11.504922,1.000364,0.971731,8.2258,2.1249
sp_bcs_-40c_vdd1.62v,bcs,-40,1.62,2.425050e+09,-0.2459,-15.4674,-98.8825,-0.0037,0.972085,0.168511,1.137296e-05,0.999577,11.533870,1.000367,0.971673,8.2273,2.1261
sp_bcs_-40c_vdd1.62v,bcs,-40,1.62,2.433400e+09,-0.2464,-15.4604,-98.8193,-0.0037,0.972030,0.168647,1.145605e-05,0.999573,11.562856,1.000370,0.971614,8.2287,2.1274
sp_bcs_-40c_vdd1.62v,bcs,-40,1.62,2.441750e+09,-0.2469,-15.4535,-98.7563,-0.0037,0.971975,0.168781,1.153943e-05,0.999570,11.591879,1.000374,0.971555,8.2302,2.1287
sp_bcs_-40c_vdd1.62v,bcs,-40,1.62,2.450100e+09,-0.2474,-15.4467,-98.6936,-0.0038,0.971919,0.168914,1.162307e-05,0.999566,11.620941,1.000377,0.971496,8.2317,2.1299
sp_bcs_-40c_vdd1.62v,bcs,-40,1.62,2.458450e+09,-0.2479,-15.4399,-98.6311,-0.0038,0.971864,0.169045,1.170698e-05,0.999562,11.650040,1.000380,0.971437,8.2332,2.1312
sp_bcs_-40c_vdd1.62v,bcs,-40,1.62,2.466800e+09,-0.2484,-15.4332,-98.5689,-0.0038,0.971808,0.169176,1.179117e-05,0.999559,11.679176,1.000383,0.971378,8.2347,2.1325
sp_bcs_-40c_vdd1.62v,bcs,-40,1.62,2.475150e+09,-0.2489,-15.4266,-98.5069,-0.0039,0.971752,0.169304,1.187562e-05,0.999555,11.708351,1.000387,0.971318,8.2362,2.1338
sp_bcs_-40c_vdd1.62v,bcs,-40,1.62,2.483500e+09,-0.2494,-15.4201,-98.4451,-0.0039,0.971696,0.169432,1.196035e-05,0.999551,11.737563,1.000390,0.971259,8.2377,2.1351
sp_bcs_-40c_vdd1.80v,bcs,-40,1.80,2.400000e+09,-0.4722,12.0568,-98.6948,-0.0034,0.947088,4.007186,1.162147e-05,0.999609,0.490853,0.999770,0.946700,1.6548,0.5995
sp_bcs_-40c_vdd1.80v,bcs,-40,1.80,2.408350e+09,-0.4731,12.0492,-98.6320,-0.0034,0.946991,4.003698,1.170584e-05,0.999606,0.495257,0.999771,0.946599,1.6547,0.5995
sp_bcs_-40c_vdd1.80v,bcs,-40,1.80,2.416700e+09,-0.4740,12.0416,-98.5693,-0.0035,0.946893,4.000181,1.179051e-05,0.999603,0.499657,0.999772,0.946498,1.6546,0.5995
sp_bcs_-40c_vdd1.80v,bcs,-40,1.80,2.425050e+09,-0.4749,12.0339,-98.5070,-0.0035,0.946796,3.996637,1.187550e-05,0.999599,0.504052,0.999773,0.946398,1.6545,0.5995
sp_bcs_-40c_vdd1.80v,bcs,-40,1.80,2.433400e+09,-0.4758,12.0261,-98.4448,-0.0035,0.946700,3.993066,1.196078e-05,0.999596,0.508443,0.999774,0.946298,1.6545,0.5995
sp_bcs_-40c_vdd1.80v,bcs,-40,1.80,2.441750e+09,-0.4766,12.0183,-98.3829,-0.0035,0.946604,3.989468,1.204637e-05,0.999592,0.512828,0.999775,0.946199,1.6544,0.5995
sp_bcs_-40c_vdd1.80v,bcs,-40,1.80,2.450100e+09,-0.4775,12.0104,-98.3212,-0.0036,0.946508,3.985844,1.213227e-05,0.999589,0.517209,0.999776,0.946100,1.6543,0.5995
sp_bcs_-40c_vdd1.80v,bcs,-40,1.80,2.458450e+09,-0.4784,12.0024,-98.2597,-0.0036,0.946413,3.982194,1.221847e-05,0.999585,0.521586,0.999777,0.946001,1.6542,0.5995
sp_bcs_-40c_vdd1.80v,bcs,-40,1.80,2.466800e+09,-0.4793,11.9944,-98.1984,-0.0036,0.946318,3.978519,1.230497e-05,0.999582,0.525957,0.999778,0.945903,1.6541,0.5995
sp_bcs_-40c_vdd1.80v,bcs,-40,1.80,2.475150e+09,-0.4801,11.9863,-98.1373,-0.0037,0.946223,3.974819,1.239178e-05,0.999578,0.530324,0.999779,0.945805,1.6541,0.5995
