point_id,corner_label,mos_section,temp_c,vdd_v,iq3_a,iref_a,iqc_a,vbg_v,vl_v,gsvo_v,vbref_v,cb3_v,idd_a
servo_typ_-40c_vdd1.62v,typ,mos_tt,-40,1.62,0.000510967,-3.99175E-05,1.24513E-05,1.0378,1.03785,0.689239,0.899206,0.808526,0.000609716
servo_typ_-40c_vdd1.80v,typ,mos_tt,-40,1.80,0.000511386,-3.99699E-05,1.25187E-05,1.03915,1.03922,0.869447,0.899235,0.808638,0.000610588
servo_typ_-40c_vdd1.98v,typ,mos_tt,-40,1.98,0.000511822,-4.00145E-05,1.2576E-05,1.0403,1.04038,1.04961,0.899265,0.808732,0.000611419
servo_typ_27c_vdd1.62v,typ,mos_tt,27,1.62,0.000511096,-3.99164E-05,1.61772E-05,1.03756,1.03783,0.729637,0.845688,0.739505,0.000623556
servo_typ_27c_vdd1.80v,typ,mos_tt,27,1.80,0.000511593,-3.99843E-05,1.6266E-05,1.03934,1.03959,0.909829,0.845728,0.739652,0.000624577
servo_typ_27c_vdd1.98v,typ,mos_tt,27,1.98,0.000512096,-4.00384E-05,1.63365E-05,1.04076,1.041,1.08997,0.845769,0.739769,0.000625522
servo_typ_125c_vdd1.62v,typ,mos_tt,125,1.62,0.00050958,-3.9783E-05,2.17416E-05,1.0336,1.03436,0.809296,0.760236,0.632703,0.000642649
servo_typ_125c_vdd1.80v,typ,mos_tt,125,1.80,0.000510379,-3.98915E-05,2.1887E-05,1.03652,1.03718,0.989385,0.760316,0.632946,0.000644155
servo_typ_125c_vdd1.98v,typ,mos_tt,125,1.98,0.000511046,-3.99658E-05,2.19855E-05,1.0385,1.03911,1.16946,0.760382,0.633109,0.000645359
servo_bcs_-40c_vdd1.62v,bcs,mos_ff,-40,1.62,0.000508625,-3.97411E-05,1.24534E-05,1.03296,1.03327,0.747593,0.889945,0.803722,0.000610117
servo_bcs_-40c_vdd1.80v,bcs,mos_ff,-40,1.80,0.000509024,-3.97917E-05,1.25203E-05,1.0343,1.03458,0.927799,0.889969,0.803833,0.000610969
servo_bcs_-40c_vdd1.98v,bcs,mos_ff,-40,1.98,0.000509449,-3.98354E-05,1.25776E-05,1.03545,1.03572,1.10796,0.889995,0.803927,0.000611794
servo_bcs_27c_vdd1.62v,bcs,mos_ff,27,1.62,0.000508362,-3.96959E-05,1.61981E-05,1.03155,1.03209,0.787768,0.835368,0.733295,0.000623262
servo_bcs_27c_vdd1.80v,bcs,mos_ff,27,1.80,0.000508837,-3.97609E-05,1.62854E-05,1.03331,1.03378,0.967957,0.835403,0.733439,0.000624259
servo_bcs_27c_vdd1.98v,bcs,mos_ff,27,1.98,0.00050933,-3.98141E-05,1.63558E-05,1.03472,1.03517,1.1481,0.835439,0.733555,0.000625199
servo_bcs_125c_vdd1.62v,bcs,mos_ff,125,1.62,0.000506373,-3.95068E-05,2.18069E-05,1.02612,1.02718,0.867052,0.748117,0.624411,0.000641491
servo_bcs_125c_vdd1.80v,bcs,mos_ff,125,1.80,0.000507128,-3.96092E-05,2.19467E-05,1.02893,1.02984,1.04715,0.748187,0.624643,0.000642938
servo_bcs_125c_vdd1.98v,bcs,mos_ff,125,1.98,0.000507786,-3.96819E-05,2.20443E-05,1.03089,1.03173,1.22723,0.748248,0.624804,0.000644135
servo_wcs_-40c_vdd1.62v,wcs,mos_ss,-40,1.62,0.000513827,-4.01438E-05,1.24409E-05,1.04395,1.04374,0.630363,0.910018,0.81474,0.00061032
servo_wcs_-40c_vdd1.80v,wcs,mos_ss,-40,1.80,0.00051427,-4.01984E-05,1.2509E-05,1.04531,1.04516,0.810574,0.910052,0.814853,0.000611214
servo_wcs_-40c_vdd1.98v,wcs,mos_ss,-40,1.98,0.000514718,-4.0244E-05,1.25664E-05,1.04647,1.04634,0.990735,0.910087,0.814949,0.000612054
servo_wcs_27c_vdd1.62v,wcs,mos_ss,27,1.62,0.000514378,-4.01972E-05,1.61361E-05,1.04513,1.04513,0.670928,0.858014,0.747535,0.00062498
servo_wcs_27c_vdd1.80v,wcs,mos_ss,27,1.80,0.000514898,-4.02683E-05,1.62268E-05,1.04695,1.04698,0.851122,0.85806,0.747687,0.000626029
servo_wcs_27c_vdd1.98v,wcs,mos_ss,27,1.98,0.000515413,-4.03238E-05,1.62978E-05,1.04838,1.04842,1.03126,0.858106,0.747805,0.000626984
servo_wcs_125c_vdd1.62v,wcs,mos_ss,125,1.62,0.000513325,-4.0131E-05,2.16314E-05,1.04294,1.04341,0.750862,0.775042,0.64342,0.000645062
servo_wcs_125c_vdd1.80v,wcs,mos_ss,125,1.80,0.000514174,-4.02471E-05,2.1784E-05,1.04602,1.04642,0.930943,0.775133,0.643677,0.00064664
servo_wcs_125c_vdd1.98v,wcs,mos_ss,125,1.98,0.000514856,-4.03238E-05,2.18841E-05,1.04803,1.04842,1.11102,0.775205,0.643844,0.000647862
