point_id,corner_label,mos_section,temp_c,vdd_v,iq3_a,iqa_a,vbref_v,vna_v,vsdb_v
core_typ_-40c_vdd1.62v,typ,mos_tt,-40,1.62,0.000259312,1.25702E-05,0.877768,0.808723
core_typ_-40c_vdd1.80v,typ,mos_tt,-40,1.80,0.000260548,1.2646E-05,0.877902,0.808847
core_typ_-40c_vdd1.98v,typ,mos_tt,-40,1.98,0.000261649,1.27162E-05,0.878021,0.808962
core_typ_27c_vdd1.62v,typ,mos_tt,27,1.62,0.000337478,1.63247E-05,0.829554,0.739749
core_typ_27c_vdd1.80v,typ,mos_tt,27,1.80,0.000338958,1.64105E-05,0.829714,0.739891
core_typ_27c_vdd1.98v,typ,mos_tt,27,1.98,0.000340252,1.6489E-05,0.829853,0.740019
core_typ_125c_vdd1.62v,typ,mos_tt,125,1.62,0.000455096,2.19694E-05,0.754569,0.633083
core_typ_125c_vdd1.80v,typ,mos_tt,125,1.80,0.000456984,2.20705E-05,0.754774,0.63325
core_typ_125c_vdd1.98v,typ,mos_tt,125,1.98,0.000458585,2.21617E-05,0.754947,0.6334
core_bcs_-40c_vdd1.62v,bcs,mos_ff,-40,1.62,0.000258833,1.2577E-05,0.870766,0.803926
core_bcs_-40c_vdd1.80v,bcs,mos_ff,-40,1.80,0.000260061,1.26527E-05,0.870889,0.804049
core_bcs_-40c_vdd1.98v,bcs,mos_ff,-40,1.98,0.000261161,1.27231E-05,0.870999,0.804164
core_bcs_27c_vdd1.62v,bcs,mos_ff,27,1.62,0.000337372,1.63554E-05,0.820776,0.733554
core_bcs_27c_vdd1.80v,bcs,mos_ff,27,1.80,0.000338837,1.64408E-05,0.820923,0.733694
core_bcs_27c_vdd1.98v,bcs,mos_ff,27,1.98,0.00034013,1.65197E-05,0.821052,0.733822
core_bcs_125c_vdd1.62v,bcs,mos_ff,125,1.62,0.000455868,2.20513E-05,0.743207,0.624815
core_bcs_125c_vdd1.80v,bcs,mos_ff,125,1.80,0.000457723,2.21516E-05,0.743395,0.624979
core_bcs_125c_vdd1.98v,bcs,mos_ff,125,1.98,0.000459328,2.22439E-05,0.743557,0.62513
core_wcs_-40c_vdd1.62v,wcs,mos_ss,-40,1.62,0.000259617,1.2552E-05,0.886203,0.814925
core_wcs_-40c_vdd1.80v,wcs,mos_ss,-40,1.80,0.000260862,1.2628E-05,0.88635,0.815051
core_wcs_-40c_vdd1.98v,wcs,mos_ss,-40,1.98,0.000261966,1.26981E-05,0.886479,0.815166
core_wcs_27c_vdd1.62v,wcs,mos_ss,27,1.62,0.000337162,1.62669E-05,0.840177,0.747754
core_wcs_27c_vdd1.80v,wcs,mos_ss,27,1.80,0.000338661,1.63531E-05,0.840351,0.747897
core_wcs_27c_vdd1.98v,wcs,mos_ss,27,1.98,0.00033996,1.64316E-05,0.840502,0.748027
core_wcs_125c_vdd1.62v,wcs,mos_ss,125,1.62,0.000453379,2.18288E-05,0.768386,0.643752
core_wcs_125c_vdd1.80v,wcs,mos_ss,125,1.80,0.00045531,2.19309E-05,0.76861,0.643922
core_wcs_125c_vdd1.98v,wcs,mos_ss,125,1.98,0.00045692,2.20219E-05,0.768796,0.644074
