point_id,corner_label,temp_c,feed_i,v_eb_v
mpa_typ_-40c_i0.52m,typ,-40,0.52m,1.08296
mpa_typ_-40c_i100u,typ,-40,100u,0.958254
mpa_typ_-40c_i20u,typ,-40,20u,0.909129
mpa_typ_27c_i0.52m,typ,27,0.52m,1.00245
mpa_typ_27c_i100u,typ,27,100u,0.876102
mpa_typ_27c_i20u,typ,27,20u,0.81955
mpa_typ_125c_i0.52m,typ,125,0.52m,0.880843
mpa_typ_125c_i100u,typ,125,100u,0.750441
mpa_typ_125c_i20u,typ,125,20u,0.682186
mpa_bcs_-40c_i0.52m,bcs,-40,0.52m,1.0745
mpa_bcs_-40c_i100u,bcs,-40,100u,0.956612
mpa_bcs_-40c_i20u,bcs,-40,20u,0.908911
mpa_bcs_27c_i0.52m,bcs,27,0.52m,0.992692
mpa_bcs_27c_i100u,bcs,27,100u,0.873646
mpa_bcs_27c_i20u,bcs,27,20u,0.818525
mpa_bcs_125c_i0.52m,bcs,125,0.52m,0.870066
mpa_bcs_125c_i100u,bcs,125,100u,0.74685
mpa_bcs_125c_i20u,bcs,125,20u,0.679821
mpa_wcs_-40c_i0.52m,wcs,-40,0.52m,1.09224
mpa_wcs_-40c_i100u,wcs,-40,100u,0.959549
mpa_wcs_-40c_i20u,wcs,-40,20u,0.908709
mpa_wcs_27c_i0.52m,wcs,27,0.52m,1.01366
mpa_wcs_27c_i100u,wcs,27,100u,0.878369
mpa_wcs_27c_i20u,wcs,27,20u,0.81998
mpa_wcs_125c_i0.52m,wcs,125,0.52m,0.893781
mpa_wcs_125c_i100u,wcs,125,100u,0.754091
mpa_wcs_125c_i20u,wcs,125,20u,0.684149
