point_id,variant,family,topology,nx1,m1,nx2,m2,emitter_units_stage1,emitter_area_um2_stage1,xmis_w_um,corner_label,temp_c,vdd_v,ic1_a,ic2_a,ib1_a,jc1_ma_um2,vce1_v,vce2_v,vbe1_v,idd_a,pdc_w,pdc_violates_10mw,ic1_violates_4p5ma,s11_db_worst,s21_db_min,s21_db_max,s12_db_max,s22_db_worst,gain_in_match_basis_db_min,ga_max_ideal_db_min,ga_max_q10_db_min,nf_sp_db_at_band_lo,nfmin_sp_db_at_band_lo,nfmin290_db_at_band_lo,nfmin290_db_worst,nfmin_reref_delta_db,nf290_db_at_band_lo,nf290_db_worst,nf30015_db_at_band_lo,gain_ac_db_at_band_lo,k_inband_min,mu_inband_min,n_inband_pts_mu_lt_1,n_inband_pts,mag_delta_inband_max,k_broadband_min,mu_broadband_min,f_at_mu_broadband_min_hz,n_broadband_pts_mu_lt_1,n_broadband_pts,s11_mag_broadband_max,s22_mag_broadband_max,model_card_flags
s_fixj_a2_typ_-40c_vdd1.62v,s_fixj_a2,A1-fixJc,1stage,2,1,-,-,2,0.2304,512,typ,-40,1.62,9.785270e-04,9.778110e-04,7.005940e-07,4.2471,0.5877,1.0323,0.8989,1.723180e-03,2.791560e-03,0,0,-2.7307,4.5671,4.6139,-108.7533,-0.0002,7.8762,49.9858,15.228,5.6156,4.447,3.8639,3.8639,-0.583,4.9493,4.9493,4.8483,4.5671,1.68137945,1.00000838,0,11,0.730215,-6.88079507,0.99999971,7.498942e+08,64,140,0.814735,1.0,in_box
s_fixj_a2_typ_-40c_vdd1.80v,s_fixj_a2,A1-fixJc,1stage,2,1,-,-,2,0.2304,512,typ,-40,1.80,1.001800e-03,1.001060e-03,7.260880e-07,4.3481,0.7519,1.0481,0.8989,1.762340e-03,3.172220e-03,0,0,-2.7307,4.6467,4.6928,-109.0414,-0.0002,7.9558,50.1677,15.3078,5.607,4.4413,3.8587,3.8587,-0.5826,4.9412,4.9412,4.8403,4.6467,1.6835734,1.00000821,0,11,0.730214,-6.8848241,0.99999975,7.498942e+08,62,140,0.814735,1.0,in_box
s_fixj_a2_typ_-40c_vdd1.98v,s_fixj_a2,A1-fixJc,1stage,2,1,-,-,2,0.2304,512,typ,-40,1.98,1.026390e-03,1.025630e-03,7.534770e-07,4.4548,0.9161,1.0639,0.899,1.802750e-03,3.569440e-03,0,0,-2.7311,4.7276,4.773,-109.2507,-0.0002,8.0364,50.3411,15.3885,5.598,4.4354,3.8533,3.8533,-0.5821,4.9328,4.9328,4.832,4.7276,1.67000773,1.00000793,0,11,0.730185,-6.80028131,0.99999979,7.079458e+08,62,140,0.814734,1.0,in_box
s_fixj_a2_typ_27c_vdd1.62v,s_fixj_a2,A1-fixJc,1stage,2,1,-,-,2,0.2304,512,typ,27,1.62,9.899760e-04,9.886100e-04,1.349560e-06,4.2968,0.6404,0.9796,0.8451,1.748420e-03,2.832440e-03,0,0,-2.7387,3.5719,3.6264,-107.4095,-0.0003,6.8719,48.8885,14.2234,5.6673,4.4869,4.5838,4.5838,0.0968,5.7767,5.7767,5.6673,3.5719,1.63777002,1.00000814,0,11,0.72954,-7.19741023,0.99999969,7.498942e+08,63,140,0.817378,1.0,in_box
s_fixj_a2_typ_27c_vdd1.80v,s_fixj_a2,A1-fixJc,1stage,2,1,-,-,2,0.2304,512,typ,27,1.80,1.011020e-03,1.009620e-03,1.391710e-06,4.3881,0.8046,0.9954,0.8452,1.785480e-03,3.213870e-03,0,0,-2.7389,3.6547,3.7087,-107.7304,-0.0002,6.9545,49.0933,14.3062,5.6592,4.4817,4.5785,4.5785,0.0968,5.7686,5.7686,5.6592,3.6547,1.63675286,1.00000791,0,11,0.729521,-7.31192478,0.99999971,7.498942e+08,63,140,0.817377,1.0,in_box
s_fixj_a2_typ_27c_vdd1.98v,s_fixj_a2,A1-fixJc,1stage,2,1,-,-,2,0.2304,512,typ,27,1.98,1.033150e-03,1.031710e-03,1.436570e-06,4.4842,0.9688,1.0112,0.8452,1.823550e-03,3.610630e-03,0,0,-2.7396,3.7389,3.7923,-107.9584,-0.0002,7.038,49.2932,14.3898,5.6509,4.4763,4.573,4.573,0.0967,5.7602,5.7602,5.6509,3.7389,1.61481155,1.00000751,0,11,0.72947,-7.32549989,0.99999973,7.498942e+08,63,140,0.817374,1.0,in_box
s_fixj_a2_typ_125c_vdd1.62v,s_fixj_a2,A1-fixJc,1stage,2,1,-,-,2,0.2304,512,typ,125,1.62,1.000610e-03,9.982550e-04,2.351850e-06,4.3429,0.7247,0.8953,0.7592,1.778070e-03,2.880470e-03,0,0,-2.7458,2.1246,2.1878,-105.5569,-0.0003,5.4165,47.2088,12.7674,5.8474,4.6164,5.565,5.565,0.9486,6.9056,6.9056,6.7871,2.1246,1.64701801,1.00000864,0,11,0.728941,-7.62888032,0.99999972,7.498942e+08,62,140,0.821511,1.0,in_box
s_fixj_a2_typ_125c_vdd1.80v,s_fixj_a2,A1-fixJc,1stage,2,1,-,-,2,0.2304,512,typ,125,1.80,1.019730e-03,1.017320e-03,2.415040e-06,4.4259,0.8888,0.9112,0.7593,1.813680e-03,3.264630e-03,0,0,-2.7463,2.2111,2.2739,-105.9322,-0.0003,5.5025,47.4432,12.8536,5.8391,4.6111,5.5591,5.5591,0.948,6.8966,6.8966,6.7782,2.2111,1.64513711,1.00000833,0,11,0.728904,-7.92148505,0.99999972,7.498942e+08,62,140,0.821497,1.0,in_box
s_fixj_a2_typ_125c_vdd1.98v,s_fixj_a2,A1-fixJc,1stage,2,1,-,-,2,0.2304,512,typ,125,1.98,1.039440e-03,1.036980e-03,2.480310e-06,4.5115,1.0528,0.9272,0.7593,1.850240e-03,3.663470e-03,0,0,-2.7471,2.2975,2.3598,-106.1915,-0.0002,5.5879,47.6764,12.9392,5.8307,4.6057,5.5532,5.5532,0.9475,6.8876,6.8876,6.7692,2.2975,1.61366455,1.00000777,0,11,0.728832,-8.11784192,0.99999971,7.498942e+08,62,140,0.821484,1.0,in_box
s_fixj_a2_bcs_-40c_vdd1.62v,s_fixj_a2,A1-fixJc,1stage,2,1,-,-,2,0.2304,512,bcs,-40,1.62,9.746580e-04,9.742740e-04,3.758790e-07,4.2303,0.597,1.023,0.8898,1.719740e-03,2.785980e-03,0,0,-2.7241,5.4004,5.4394,-111.7176,-0.0002,8.717,51.9687,16.0707,4.9415,3.9826,3.4389,3.4389,-0.5437,4.3207,4.3207,4.2271,5.4004,1.65402363,1.00000632,0,11,0.730771,-7.93214045,0.99999965,8.413951e+08,66,140,0.812358,1.0,in_box
