point_id,corner_label,temp_c,vdd_v,nfmin_sp_db_committed,nfmin290_db_derived,nfmin_reref_delta_db,nf290_db_committed,s21_db_committed_min,s11_db_committed_worst,s22_db_committed_worst,gain_in_match_only_db,ga_max_ideal_db,ga_max_q3_db,ga_max_q5_db,ga_max_q8_db,ga_max_q10_db,ga_max_q15_db,ga_max_q20_db,ga_max_q30_db,ga_max_q50_db
sp_fs_125c_vdd1.62v,fs,125,1.62,2.4739,3.1258,+0.6519,3.3988,10.7077,-3.1252,-0.0048,13.5968,42.7714,15.7238,17.9366,19.9693,20.9327,22.6794,23.9147,25.6474,27.8101
sp_fs_125c_vdd1.80v,fs,125,1.80,2.4721,3.1237,+0.6516,3.3948,10.7527,-3.1203,-0.0046,13.6467,42.9971,15.7745,17.9875,20.0205,20.9842,22.7315,23.9673,25.7011,27.8660
sp_fs_125c_vdd1.98v,fs,125,1.98,2.4703,3.1215,+0.6512,3.3908,10.7963,-3.1179,-0.0045,13.6930,43.2062,15.8214,18.0346,20.0679,21.0318,22.7796,24.0159,25.7507,27.9175
sp_fs_27c_vdd1.62v,fs,27,1.62,2.3836,2.4473,+0.0637,2.6594,11.4236,-3.0709,-0.0046,14.3666,43.7510,16.4960,18.7090,20.7421,21.7058,23.4532,24.6891,26.4231,28.5884
sp_fs_27c_vdd1.80v,fs,27,1.80,2.3816,2.4453,+0.0637,2.6559,11.4608,-3.0657,-0.0044,14.4092,43.9466,16.5391,18.7524,20.7857,21.7496,23.4974,24.7338,26.4688,28.6358
sp_fs_27c_vdd1.98v,fs,27,1.98,2.3796,2.4433,+0.0637,2.6522,11.4975,-3.0624,-0.0043,14.4493,44.1281,16.5798,18.7932,20.8268,21.7909,23.5391,24.7759,26.5117,28.6803
sp_sf_-40c_vdd1.62v,sf,-40,1.62,2.3454,1.9748,-0.3706,2.1530,11.8452,-3.0208,-0.0045,14.8388,44.3409,16.9693,19.1825,21.2158,22.1796,23.9273,25.1636,26.8983,29.0650
sp_sf_-40c_vdd1.80v,sf,-40,1.80,2.3428,1.9725,-0.3703,2.1494,11.8772,-3.0154,-0.0043,14.8763,44.5179,17.0074,19.2208,21.2543,22.2183,23.9664,25.2031,26.9386,29.1069
sp_sf_-40c_vdd1.98v,sf,-40,1.98,2.3402,1.9702,-0.3700,2.1456,11.9088,-3.0117,-0.0042,14.9119,44.6817,17.0434,19.2569,21.2907,22.2548,24.0033,25.2403,26.9766,29.1463
sp_sf_125c_vdd1.62v,sf,125,1.62,2.4740,3.1259,+0.6519,3.3989,10.7070,-3.1251,-0.0048,13.5960,42.7707,15.7231,17.9359,19.9686,20.9320,22.6787,23.9139,25.6467,27.8094
