source_record,corner_label,temp_c,nx,vce_v,scope,n_points,noise_optimum_jc_ma_um2,noise_optimum_nf_db_committed_ambient_source,noise_optimum_nf_db_corrected_fixed_t0,noise_optimum_nf_delta_db,noise_optimum_gain_db,noise_optimum_ft_hz,noise_optimum_validity_flags
20260910-200059-7da7038,bcs,-40,1,0.8,all,26,43.574045,4.539350,4.867502,0.328152,10.515000,4.54116E+11,ic_high;vbe_high
20260910-200059-7da7038,bcs,-40,1,0.8,in_box,16,17.090191,5.181940,5.466403,0.284463,8.313550,5.81921E+11,
20260910-200059-7da7038,bcs,-40,1,1.0,all,26,55.637500,4.445540,4.780588,0.335048,11.004700,3.77504E+11,ic_high;vbe_high
20260910-200059-7da7038,bcs,-40,1,1.0,in_box,16,18.075521,5.146910,5.433602,0.286692,8.441550,5.90335E+11,
20260910-200059-7da7038,bcs,-40,1,1.2,all,26,60.929688,4.444730,4.779838,0.335108,11.206200,3.57543E+11,ic_high;vbe_high
20260910-200059-7da7038,bcs,-40,1,1.2,in_box,16,19.205122,5.110080,5.399135,0.289055,8.578620,5.96037E+11,
20260910-200059-7da7038,bcs,-40,1,1.4,all,26,56.409462,4.498390,4.829536,0.331146,11.052800,4.03682E+11,ic_high;vbe_high
20260910-200059-7da7038,bcs,-40,1,1.4,in_box,16,20.518056,5.071360,5.362918,0.291558,8.725970,6.00167E+11,
20260910-200059-7da7038,bcs,125,1,0.8,all,26,40.460156,6.455640,6.122475,-0.333165,9.675590,2.94798E+11,ic_high
20260910-200059-7da7038,bcs,125,1,0.8,in_box,11,22.475694,6.992060,6.698944,-0.293116,7.889640,3.95946E+11,
20260910-200059-7da7038,bcs,125,1,1.0,all,26,50.742535,6.357010,6.015883,-0.341127,10.323500,2.66196E+11,ic_high
20260910-200059-7da7038,bcs,125,1,1.0,in_box,11,23.672396,6.960020,6.664658,-0.295362,8.028570,4.14704E+11,
20260910-200059-7da7038,bcs,125,1,1.2,all,26,63.490885,6.364740,6.024244,-0.340496,10.783300,2.05162E+11,ic_high
20260910-200059-7da7038,bcs,125,1,1.2,in_box,11,25.029687,6.928000,6.630376,-0.297624,8.174410,4.20584E+11,
20260910-200059-7da7038,bcs,125,1,1.4,all,26,59.220833,6.426260,6.090744,-0.335516,10.625900,2.53756E+11,ic_high
20260910-200059-7da7038,bcs,125,1,1.4,in_box,10,20.462587,7.180860,6.900625,-0.280235,7.387110,4.24389E+11,
20260910-200059-7da7038,fs,-40,1,0.8,all,26,36.405816,5.604910,5.863745,0.258835,8.123560,4.12581E+11,ic_high;vbe_high
20260910-200059-7da7038,fs,-40,1,0.8,in_box,16,12.624566,6.368490,6.586622,0.218132,5.821400,4.64257E+11,
20260910-200059-7da7038,fs,-40,1,1.0,all,26,38.487760,5.575710,5.836240,0.260530,8.243960,4.21224E+11,ic_high;vbe_high
20260910-200059-7da7038,fs,-40,1,1.0,in_box,16,13.145660,6.337460,6.557117,0.219657,5.912300,4.72328E+11,
20260910-200059-7da7038,fs,-40,1,1.2,all,26,40.872830,5.551360,5.813312,0.261952,8.365160,4.21047E+11,ic_high;vbe_high
20260910-200059-7da7038,fs,-40,1,1.2,in_box,16,13.720052,6.305120,6.526378,0.221258,6.007630,4.79411E+11,
20260910-200059-7da7038,fs,-40,1,1.4,all,26,43.642448,5.532920,5.795953,0.263033,8.494280,4.12937E+11,ic_high;vbe_high
20260910-200059-7da7038,fs,-40,1,1.4,in_box,16,14.357118,6.271550,6.494482,0.222932,6.107120,4.84995E+11,
20260910-200059-7da7038,fs,125,1,0.8,all,26,35.010243,7.533660,7.275952,-0.257708,7.600910,2.56067E+11,ic_high
20260910-200059-7da7038,fs,125,1,0.8,in_box,13,25.435590,7.766030,7.522133,-0.243897,6.854730,3.0835E+11,
20260910-200059-7da7038,fs,125,1,1.0,all,26,47.981163,7.443110,7.179805,-0.263305,8.169240,2.04906E+11,ic_high;vbe_high
20260910-200059-7da7038,fs,125,1,1.0,in_box,12,21.976736,7.930020,7.695409,-0.234611,6.373770,3.43086E+11,
20260910-200059-7da7038,fs,125,1,1.2,all,26,50.731597,7.450260,7.187401,-0.262859,8.454300,2.30318E+11,ic_high;vbe_high
20260910-200059-7da7038,fs,125,1,1.2,in_box,12,22.956771,7.907990,7.672153,-0.235837,6.470330,3.51010E+11,
20260910-200059-7da7038,fs,125,1,1.4,all,26,47.160590,7.503240,7.243665,-0.259575,8.273510,2.7619E+11,ic_high
20260910-200059-7da7038,fs,125,1,1.4,in_box,12,24.044358,7.886820,7.649799,-0.237021,6.570560,3.55007E+11,
20260910-200059-7da7038,sf,-40,1,0.8,all,26,36.405816,5.604910,5.863745,0.258835,8.123560,4.12581E+11,ic_high;vbe_high
20260910-200059-7da7038,sf,-40,1,0.8,in_box,16,12.624566,6.368490,6.586622,0.218132,5.821400,4.64257E+11,
20260910-200059-7da7038,sf,-40,1,1.0,all,26,38.487760,5.575710,5.836240,0.260530,8.243960,4.21224E+11,ic_high;vbe_high
20260910-200059-7da7038,sf,-40,1,1.0,in_box,16,13.145660,6.337460,6.557117,0.219657,5.912300,4.72328E+11,
20260910-200059-7da7038,sf,-40,1,1.2,all,26,40.872830,5.551360,5.813312,0.261952,8.365160,4.21047E+11,ic_high;vbe_high
20260910-200059-7da7038,sf,-40,1,1.2,in_box,16,13.720052,6.305120,6.526378,0.221258,6.007630,4.79411E+11,
20260910-200059-7da7038,sf,-40,1,1.4,all,26,43.642448,5.532920,5.795953,0.263033,8.494280,4.12937E+11,ic_high;vbe_high
20260910-200059-7da7038,sf,-40,1,1.4,in_box,16,14.357118,6.271550,6.494482,0.222932,6.107120,4.84995E+11,
20260910-200059-7da7038,sf,125,1,0.8,all,26,35.010243,7.533660,7.275952,-0.257708,7.600910,2.56067E+11,ic_high
20260910-200059-7da7038,sf,125,1,0.8,in_box,13,25.435590,7.766030,7.522133,-0.243897,6.854730,3.0835E+11,
20260910-200059-7da7038,sf,125,1,1.0,all,26,47.981163,7.443110,7.179805,-0.263305,8.169240,2.04906E+11,ic_high;vbe_high
20260910-200059-7da7038,sf,125,1,1.0,in_box,12,21.976736,7.930020,7.695409,-0.234611,6.373770,3.43086E+11,
20260910-200059-7da7038,sf,125,1,1.2,all,26,50.731597,7.450260,7.187401,-0.262859,8.454300,2.30318E+11,ic_high;vbe_high
20260910-200059-7da7038,sf,125,1,1.2,in_box,12,22.956771,7.907990,7.672153,-0.235837,6.470330,3.51010E+11,
20260910-200059-7da7038,sf,125,1,1.4,all,26,47.160590,7.503240,7.243665,-0.259575,8.273510,2.7619E+11,ic_high
20260910-200059-7da7038,sf,125,1,1.4,in_box,12,24.044358,7.886820,7.649799,-0.237021,6.570560,3.55007E+11,
20260910-200059-7da7038,typ,-40,1,0.8,all,26,36.405816,5.604910,5.863745,0.258835,8.123560,4.12581E+11,ic_high;vbe_high
20260910-200059-7da7038,typ,-40,1,0.8,in_box,16,12.624566,6.368490,6.586622,0.218132,5.821400,4.64257E+11,
20260910-200059-7da7038,typ,-40,1,1.0,all,26,38.487760,5.575710,5.836240,0.260530,8.243960,4.21224E+11,ic_high;vbe_high
20260910-200059-7da7038,typ,-40,1,1.0,in_box,16,13.145660,6.337460,6.557117,0.219657,5.912300,4.72328E+11,
20260910-200059-7da7038,typ,-40,1,1.2,all,26,40.872830,5.551360,5.813312,0.261952,8.365160,4.21047E+11,ic_high;vbe_high
20260910-200059-7da7038,typ,-40,1,1.2,in_box,16,13.720052,6.305120,6.526378,0.221258,6.007630,4.79411E+11,
20260910-200059-7da7038,typ,-40,1,1.4,all,26,43.642448,5.532920,5.795953,0.263033,8.494280,4.12937E+11,ic_high;vbe_high
20260910-200059-7da7038,typ,-40,1,1.4,in_box,16,14.357118,6.271550,6.494482,0.222932,6.107120,4.84995E+11,
20260910-200059-7da7038,typ,125,1,0.8,all,26,35.010243,7.533660,7.275952,-0.257708,7.600910,2.56067E+11,ic_high
20260910-200059-7da7038,typ,125,1,0.8,in_box,13,25.435590,7.766030,7.522133,-0.243897,6.854730,3.0835E+11,
20260910-200059-7da7038,typ,125,1,1.0,all,26,47.981163,7.443110,7.179805,-0.263305,8.169240,2.04906E+11,ic_high;vbe_high
20260910-200059-7da7038,typ,125,1,1.0,in_box,12,21.976736,7.930020,7.695409,-0.234611,6.373770,3.43086E+11,
20260910-200059-7da7038,typ,125,1,1.2,all,26,50.731597,7.450260,7.187401,-0.262859,8.454300,2.30318E+11,ic_high;vbe_high
