corner_label,temp_c,nx,vce_v,n_points,noise_optimum_jc_ma_um2,noise_optimum_nf_db,noise_optimum_gain_db,noise_optimum_ft_hz,ft_peak_jc_ma_um2,ft_peak_hz
bcs,-40,1,0.8,26,43.5740,4.5393,10.5150,4.54116E+11,17.0902,5.8192e+11
bcs,-40,1,1.0,26,55.6375,4.4455,11.0047,3.77504E+11,18.0755,5.9034e+11
bcs,-40,1,1.2,26,60.9297,4.4447,11.2062,3.57543E+11,19.2051,5.9604e+11
bcs,-40,1,1.4,26,56.4095,4.4984,11.0528,4.03682E+11,20.5181,6.0017e+11
bcs,27,1,0.8,26,44.8598,5.3197,10.3146,3.40764E+11,18.9985,4.9600e+11
bcs,27,1,1.0,26,56.5629,5.2435,10.8743,2.97091E+11,20.0402,5.0562e+11
bcs,27,1,1.2,26,61.4582,5.2609,11.1184,2.97522E+11,21.2264,5.1108e+11
bcs,27,1,1.4,26,67.4591,5.3150,11.2701,2.70558E+11,22.5949,5.1420e+11
bcs,125,1,0.8,26,40.4602,6.4556,9.6756,2.94798E+11,17.5879,3.9999e+11
bcs,125,1,1.0,26,50.7425,6.3570,10.3235,2.66196E+11,23.6724,4.1470e+11
bcs,125,1,1.2,26,63.4909,6.3647,10.7833,2.05162E+11,25.0297,4.2058e+11
bcs,125,1,1.4,26,59.2208,6.4263,10.6259,2.53756E+11,20.4626,4.2439e+11
fs,-40,1,0.8,26,36.4058,5.6049,8.1236,4.12581E+11,16.7617,4.7384e+11
fs,-40,1,1.0,26,38.4878,5.5757,8.2440,4.21224E+11,17.5168,4.8324e+11
fs,-40,1,1.2,26,40.8728,5.5514,8.3652,4.21047E+11,18.3562,4.8935e+11
fs,-40,1,1.4,26,43.6424,5.5329,8.4943,4.12937E+11,19.2974,4.9358e+11
fs,27,1,0.8,26,37.8499,6.3934,8.1109,3.25212E+11,18.3179,4.0583e+11
fs,27,1,1.0,26,45.7835,6.3175,8.5356,3.15846E+11,19.1096,4.1537e+11
fs,27,1,1.2,26,55.1439,6.3111,8.8593,2.76742E+11,19.9861,4.2092e+11
fs,27,1,1.4,26,51.6898,6.3529,8.7391,3.12483E+11,20.9613,4.2515e+11
fs,125,1,0.8,26,35.0102,7.5337,7.6009,2.56067E+11,17.0879,3.2628e+11
fs,125,1,1.0,26,47.9812,7.4431,8.1692,2.04906E+11,21.9767,3.4309e+11
fs,125,1,1.2,26,50.7316,7.4503,8.4543,2.30318E+11,22.9568,3.5101e+11
fs,125,1,1.4,26,47.1606,7.5032,8.2735,2.7619E+11,24.0444,3.5501e+11
sf,-40,1,0.8,26,36.4058,5.6049,8.1236,4.12581E+11,16.7617,4.7384e+11
sf,-40,1,1.0,26,38.4878,5.5757,8.2440,4.21224E+11,17.5168,4.8324e+11
sf,-40,1,1.2,26,40.8728,5.5514,8.3652,4.21047E+11,18.3562,4.8935e+11
sf,-40,1,1.4,26,43.6424,5.5329,8.4943,4.12937E+11,19.2974,4.9358e+11
sf,27,1,0.8,26,37.8499,6.3934,8.1109,3.25212E+11,18.3179,4.0583e+11
sf,27,1,1.0,26,45.7835,6.3175,8.5356,3.15846E+11,19.1096,4.1537e+11
sf,27,1,1.2,26,55.1439,6.3111,8.8593,2.76742E+11,19.9861,4.2092e+11
sf,27,1,1.4,26,51.6898,6.3529,8.7391,3.12483E+11,20.9613,4.2515e+11
sf,125,1,0.8,26,35.0102,7.5337,7.6009,2.56067E+11,17.0879,3.2628e+11
sf,125,1,1.0,26,47.9812,7.4431,8.1692,2.04906E+11,21.9767,3.4309e+11
sf,125,1,1.2,26,50.7316,7.4503,8.4543,2.30318E+11,22.9568,3.5101e+11
sf,125,1,1.4,26,47.1606,7.5032,8.2735,2.7619E+11,24.0444,3.5501e+11
typ,-40,1,0.8,26,36.4058,5.6049,8.1236,4.12581E+11,16.7617,4.7384e+11
typ,-40,1,1.0,26,38.4878,5.5757,8.2440,4.21224E+11,17.5168,4.8324e+11
typ,-40,1,1.2,26,40.8728,5.5514,8.3652,4.21047E+11,18.3562,4.8935e+11
typ,-40,1,1.4,26,43.6424,5.5329,8.4943,4.12937E+11,19.2974,4.9358e+11
typ,27,1,0.8,26,37.8499,6.3934,8.1109,3.25212E+11,18.3179,4.0583e+11
typ,27,1,1.0,26,45.7835,6.3175,8.5356,3.15846E+11,19.1096,4.1537e+11
