corner_label,temp_c,nx,vce_v,n_points,noise_optimum_jc_ma_um2,noise_optimum_nf_db,noise_optimum_gain_db,noise_optimum_ft_hz,ft_peak_jc_ma_um2,ft_peak_hz,noise_optimum_validity_flags,n_points_in_box,in_box_noise_optimum_jc_ma_um2,in_box_noise_optimum_nf_db,in_box_noise_optimum_gain_db,in_box_noise_optimum_ft_hz,in_box_ft_peak_jc_ma_um2,in_box_ft_peak_hz
bcs,-40,1,0.6,26,33.9080,4.6956,9.8183,4.363E+11,16.2214,5.6693e+11,ic_high;vbe_high,16,16.2214,5.2153,8.1931,5.66927E+11,16.2214,5.6693e+11
bcs,-40,1,0.8,26,43.5740,4.5393,10.5150,4.54116E+11,17.0902,5.8192e+11,ic_high;vbe_high,16,17.0902,5.1819,8.3135,5.81921E+11,17.0902,5.8192e+11
bcs,-40,1,1.0,26,55.6375,4.4455,11.0047,3.77504E+11,18.0755,5.9034e+11,ic_high;vbe_high,16,18.0755,5.1469,8.4415,5.90335E+11,18.0755,5.9034e+11
bcs,-40,1,1.2,26,60.9297,4.4447,11.2062,3.57543E+11,19.2051,5.9604e+11,ic_high;vbe_high,16,19.2051,5.1101,8.5786,5.96037E+11,19.2051,5.9604e+11
bcs,-40,1,1.4,26,56.4095,4.4984,11.0528,4.03682E+11,20.5181,6.0017e+11,ic_high;vbe_high,16,20.5181,5.0714,8.7260,6.00167E+11,20.5181,6.0017e+11
bcs,27,1,0.6,26,35.2035,5.5595,8.9233,2.54558E+11,18.0744,4.7433e+11,ic_high;vbe_high,15,23.3637,5.7588,8.8178,4.66989E+11,18.0744,4.7433e+11
bcs,27,1,0.8,26,44.8598,5.3197,10.3146,3.40764E+11,18.9985,4.9600e+11,ic_high;vbe_high,15,24.6658,5.7297,8.9423,4.90531E+11,18.9985,4.9600e+11
bcs,27,1,1.0,26,56.5629,5.2435,10.8743,2.97091E+11,20.0402,5.0562e+11,ic_high;vbe_high,14,20.0402,5.9387,8.2630,5.05616E+11,20.0402,5.0562e+11
bcs,27,1,1.2,26,61.4582,5.2609,11.1184,2.97522E+11,21.2264,5.1108e+11,ic_high;vbe_high,14,21.2264,5.9038,8.4033,5.1108E+11,21.2264,5.1108e+11
bcs,27,1,1.4,26,67.4591,5.3150,11.2701,2.70558E+11,22.5949,5.1420e+11,ic_high;vbe_high,14,22.5949,5.8681,8.5520,5.14197E+11,22.5949,5.1420e+11
bcs,125,1,0.6,26,31.9073,6.7119,8.3562,2.53396E+11,16.8254,3.6641e+11,ic_high,11,21.4064,7.0264,7.7417,3.60543E+11,16.8254,3.6641e+11
bcs,125,1,0.8,26,40.4602,6.4556,9.6756,2.94798E+11,17.5879,3.9999e+11,ic_high,11,22.4757,6.9921,7.8896,3.95946E+11,17.5879,3.9999e+11
bcs,125,1,1.0,26,50.7425,6.3570,10.3235,2.66196E+11,23.6724,4.1470e+11,ic_high,11,23.6724,6.9600,8.0286,4.14704E+11,23.6724,4.1470e+11
bcs,125,1,1.2,26,63.4909,6.3647,10.7833,2.05162E+11,25.0297,4.2058e+11,ic_high,11,25.0297,6.9280,8.1744,4.20584E+11,25.0297,4.2058e+11
bcs,125,1,1.4,26,59.2208,6.4263,10.6259,2.53756E+11,20.4626,4.2439e+11,ic_high,10,20.4626,7.1809,7.3871,4.24389E+11,20.4626,4.2439e+11
