point_id,corner_label,hbt_section,temp_c,nx,vce_v,vbe_v,ic_a,jc_ma_um2,ft_hz,gain_db,nf_db,validity_flags
nx1_typ_-40c_vce0.6v,typ,hbt_typ,-40,1,0.6,1.05,3.916920e-03,34.001042,8.93576E+10,5.008440,6.236880,ic_high;vbe_high
nx1_typ_-40c_vce0.8v,typ,hbt_typ,-40,1,0.8,0.55,3.826030e-11,0.000000,,-51.404800,56.328200,vbe_low
nx1_typ_-40c_vce0.8v,typ,hbt_typ,-40,1,0.8,0.57,1.019030e-10,0.000001,,-51.389900,56.313400,vbe_low
nx1_typ_-40c_vce0.8v,typ,hbt_typ,-40,1,0.8,0.59,2.721740e-10,0.000002,,-51.374700,56.298100,vbe_low
nx1_typ_-40c_vce0.8v,typ,hbt_typ,-40,1,0.8,0.61,7.276520e-10,0.000006,,-51.359100,56.282600,vbe_low
nx1_typ_-40c_vce0.8v,typ,hbt_typ,-40,1,0.8,0.63,1.946000e-09,0.000017,3.73717E+06,-51.343000,56.266500,vbe_low
nx1_typ_-40c_vce0.8v,typ,hbt_typ,-40,1,0.8,0.65,5.204820e-09,0.000045,9.93206E+06,-51.326100,56.249600,
nx1_typ_-40c_vce0.8v,typ,hbt_typ,-40,1,0.8,0.67,1.392120e-08,0.000121,2.64348E+07,-51.306400,56.230000,
nx1_typ_-40c_vce0.8v,typ,hbt_typ,-40,1,0.8,0.69,3.723380e-08,0.000323,7.02402E+07,-51.270800,56.194500,
nx1_typ_-40c_vce0.8v,typ,hbt_typ,-40,1,0.8,0.71,9.957980e-08,0.000864,1.86592E+08,-51.131000,56.055000,
nx1_typ_-40c_vce0.8v,typ,hbt_typ,-40,1,0.8,0.73,2.662780e-07,0.002311,4.95412E+08,-50.346600,55.271600,
nx1_typ_-40c_vce0.8v,typ,hbt_typ,-40,1,0.8,0.75,7.117450e-07,0.006178,1.31092E+09,-47.027200,51.954600,
nx1_typ_-40c_vce0.8v,typ,hbt_typ,-40,1,0.8,0.77,1.900410e-06,0.016497,3.46541E+09,-40.245700,45.179800,
nx1_typ_-40c_vce0.8v,typ,hbt_typ,-40,1,0.8,0.79,5.059640e-06,0.043920,9.06312E+09,-32.109900,37.063300,
nx1_typ_-40c_vce0.8v,typ,hbt_typ,-40,1,0.8,0.81,1.336800e-05,0.116042,2.32214E+10,-23.860400,28.873500,
nx1_typ_-40c_vce0.8v,typ,hbt_typ,-40,1,0.8,0.83,3.463150e-05,0.300621,5.67251E+10,-15.948900,21.162100,
nx1_typ_-40c_vce0.8v,typ,hbt_typ,-40,1,0.8,0.85,8.568160e-05,0.743764,1.23914E+11,-8.861440,14.708100,
nx1_typ_-40c_vce0.8v,typ,hbt_typ,-40,1,0.8,0.87,1.938800e-04,1.682986,2.23844E+11,-3.204450,10.442800,
nx1_typ_-40c_vce0.8v,typ,hbt_typ,-40,1,0.8,0.89,3.853270e-04,3.344852,3.24065E+11,0.724375,8.276580,
nx1_typ_-40c_vce0.8v,typ,hbt_typ,-40,1,0.8,0.91,6.671700e-04,5.791406,3.97039E+11,3.215860,7.253430,
nx1_typ_-40c_vce0.8v,typ,hbt_typ,-40,1,0.8,0.93,1.028690e-03,8.929601,4.41028E+11,4.785240,6.708510,
nx1_typ_-40c_vce0.8v,typ,hbt_typ,-40,1,0.8,0.95,1.454350e-03,12.624566,4.64257E+11,5.821400,6.368490,
nx1_typ_-40c_vce0.8v,typ,hbt_typ,-40,1,0.8,0.97,1.930950e-03,16.761719,4.73843E+11,6.548590,6.129960,vbe_high
nx1_typ_-40c_vce0.8v,typ,hbt_typ,-40,1,0.8,0.99,2.449010e-03,21.258767,4.73063E+11,7.088520,5.950130,vbe_high
nx1_typ_-40c_vce0.8v,typ,hbt_typ,-40,1,0.8,1.01,3.001790e-03,26.057205,4.62575E+11,7.508540,5.808890,ic_high;vbe_high
nx1_typ_-40c_vce0.8v,typ,hbt_typ,-40,1,0.8,1.03,3.584590e-03,31.116233,4.42621E+11,7.847570,5.695580,ic_high;vbe_high
nx1_typ_-40c_vce0.8v,typ,hbt_typ,-40,1,0.8,1.05,4.193950e-03,36.405816,4.12581E+11,8.123560,5.604910,ic_high;vbe_high
nx1_typ_-40c_vce1.0v,typ,hbt_typ,-40,1,1.0,0.55,3.849690e-11,0.000000,,-51.537700,56.461200,vbe_low
nx1_typ_-40c_vce1.0v,typ,hbt_typ,-40,1,1.0,0.57,1.022000e-10,0.000001,,-51.525500,56.449000,vbe_low
nx1_typ_-40c_vce1.0v,typ,hbt_typ,-40,1,1.0,0.59,2.726310e-10,0.000002,,-51.513100,56.436600,vbe_low
nx1_typ_-40c_vce1.0v,typ,hbt_typ,-40,1,1.0,0.61,7.285340e-10,0.000006,,-51.500400,56.423900,vbe_low
nx1_typ_-40c_vce1.0v,typ,hbt_typ,-40,1,1.0,0.63,1.948010e-09,0.000017,3.75869E+06,-51.487400,56.410900,vbe_low
nx1_typ_-40c_vce1.0v,typ,hbt_typ,-40,1,1.0,0.65,5.209840e-09,0.000045,9.98631E+06,-51.473700,56.397300,
nx1_typ_-40c_vce1.0v,typ,hbt_typ,-40,1,1.0,0.67,1.393420e-08,0.000121,2.65938E+07,-51.457300,56.380800,
nx1_typ_-40c_vce1.0v,typ,hbt_typ,-40,1,1.0,0.69,3.726840e-08,0.000324,7.06416E+07,-51.424500,56.348200,
nx1_typ_-40c_vce1.0v,typ,hbt_typ,-40,1,1.0,0.71,9.967250e-08,0.000865,1.87772E+08,-51.283700,56.207700,
nx1_typ_-40c_vce1.0v,typ,hbt_typ,-40,1,1.0,0.73,2.665320e-07,0.002314,4.98403E+08,-50.476100,55.401100,
nx1_typ_-40c_vce1.0v,typ,hbt_typ,-40,1,1.0,0.75,7.124690e-07,0.006185,1.31982E+09,-47.084300,52.011700,
nx1_typ_-40c_vce1.0v,typ,hbt_typ,-40,1,1.0,0.77,1.902650e-06,0.016516,3.48843E+09,-40.250000,45.184200,
nx1_typ_-40c_vce1.0v,typ,hbt_typ,-40,1,1.0,0.79,5.067650e-06,0.043990,9.12499E+09,-32.099100,37.052600,
nx1_typ_-40c_vce1.0v,typ,hbt_typ,-40,1,1.0,0.81,1.340210e-05,0.116338,2.34074E+10,-23.840400,28.853800,
nx1_typ_-40c_vce1.0v,typ,hbt_typ,-40,1,1.0,0.83,3.479570e-05,0.302046,5.72907E+10,-15.913500,21.128400,
nx1_typ_-40c_vce1.0v,typ,hbt_typ,-40,1,1.0,0.85,8.646120e-05,0.750531,1.25629E+11,-8.800660,14.657100,
nx1_typ_-40c_vce1.0v,typ,hbt_typ,-40,1,1.0,0.87,1.969790e-04,1.709887,2.27706E+11,-3.116480,10.387300,
nx1_typ_-40c_vce1.0v,typ,hbt_typ,-40,1,1.0,0.89,3.945730e-04,3.425113,3.30041E+11,0.826029,8.230880,
nx1_typ_-40c_vce1.0v,typ,hbt_typ,-40,1,1.0,0.91,6.879500e-04,5.971788,4.04729E+11,3.316430,7.217010,
nx1_typ_-40c_vce1.0v,typ,hbt_typ,-40,1,1.0,0.93,1.066570e-03,9.258420,4.49466E+11,4.880110,6.676380,
nx1_typ_-40c_vce1.0v,typ,hbt_typ,-40,1,1.0,0.95,1.514380e-03,13.145660,4.72328E+11,5.912300,6.337460,
nx1_typ_-40c_vce1.0v,typ,hbt_typ,-40,1,1.0,0.97,2.017940e-03,17.516840,4.83237E+11,6.639230,6.098600,vbe_high
nx1_typ_-40c_vce1.0v,typ,hbt_typ,-40,1,1.0,0.99,2.567460e-03,22.286979,4.82612E+11,7.182040,5.918280,vbe_high
nx1_typ_-40c_vce1.0v,typ,hbt_typ,-40,1,1.0,1.01,3.156150e-03,27.397135,4.7159E+11,7.607450,5.777070,ic_high;vbe_high
nx1_typ_-40c_vce1.0v,typ,hbt_typ,-40,1,1.0,1.03,3.779370e-03,32.807031,4.52633E+11,7.953740,5.664800,ic_high;vbe_high
nx1_typ_-40c_vce1.0v,typ,hbt_typ,-40,1,1.0,1.05,4.433790e-03,38.487760,4.21224E+11,8.243960,5.575710,ic_high;vbe_high
nx1_typ_-40c_vce1.2v,typ,hbt_typ,-40,1,1.2,0.55,3.873940e-11,0.000000,,-51.648400,56.571900,vbe_low
nx1_typ_-40c_vce1.2v,typ,hbt_typ,-40,1,1.2,0.57,1.025110e-10,0.000001,,-51.638100,56.561600,vbe_low
nx1_typ_-40c_vce1.2v,typ,hbt_typ,-40,1,1.2,0.59,2.731200e-10,0.000002,,-51.627700,56.551200,vbe_low
nx1_typ_-40c_vce1.2v,typ,hbt_typ,-40,1,1.2,0.61,7.294920e-10,0.000006,,-51.617000,56.540500,vbe_low
nx1_typ_-40c_vce1.2v,typ,hbt_typ,-40,1,1.2,0.63,1.950200e-09,0.000017,3.77712E+06,-51.606100,56.529600,vbe_low
