source_record,point_id,corner_label,hbt_section,temp_c,nx,vce_v,vbe_v,ic_a,jc_ma_um2,ft_hz,gain_db,nf_db_committed_ambient_source,nf_db_corrected_fixed_t0,nf_delta_db,validity_flags
20260910-200059-7da7038,nx1_typ_-40c_vce0.8v,typ,hbt_typ,-40,1,0.8,0.55,3.826030e-11,0.000000,,-51.404800,56.328200,56.328202,0.000002,vbe_low
20260910-200059-7da7038,nx1_typ_-40c_vce0.8v,typ,hbt_typ,-40,1,0.8,0.57,1.019030e-10,0.000001,,-51.389900,56.313400,56.313402,0.000002,vbe_low
20260910-200059-7da7038,nx1_typ_-40c_vce0.8v,typ,hbt_typ,-40,1,0.8,0.59,2.721740e-10,0.000002,,-51.374700,56.298100,56.298102,0.000002,vbe_low
20260910-200059-7da7038,nx1_typ_-40c_vce0.8v,typ,hbt_typ,-40,1,0.8,0.61,7.276520e-10,0.000006,,-51.359100,56.282600,56.282602,0.000002,vbe_low
20260910-200059-7da7038,nx1_typ_-40c_vce0.8v,typ,hbt_typ,-40,1,0.8,0.63,1.946000e-09,0.000017,3.73717E+06,-51.343000,56.266500,56.266502,0.000002,vbe_low
20260910-200059-7da7038,nx1_typ_-40c_vce0.8v,typ,hbt_typ,-40,1,0.8,0.65,5.204820e-09,0.000045,9.93206E+06,-51.326100,56.249600,56.249602,0.000002,
20260910-200059-7da7038,nx1_typ_-40c_vce0.8v,typ,hbt_typ,-40,1,0.8,0.67,1.392120e-08,0.000121,2.64348E+07,-51.306400,56.230000,56.230002,0.000002,
20260910-200059-7da7038,nx1_typ_-40c_vce0.8v,typ,hbt_typ,-40,1,0.8,0.69,3.723380e-08,0.000323,7.02402E+07,-51.270800,56.194500,56.194502,0.000002,
20260910-200059-7da7038,nx1_typ_-40c_vce0.8v,typ,hbt_typ,-40,1,0.8,0.71,9.957980e-08,0.000864,1.86592E+08,-51.131000,56.055000,56.055002,0.000002,
20260910-200059-7da7038,nx1_typ_-40c_vce0.8v,typ,hbt_typ,-40,1,0.8,0.73,2.662780e-07,0.002311,4.95412E+08,-50.346600,55.271600,55.271603,0.000003,
