point_id,bench,role,corner_label,hbt_section,temp_c,nx,selft,rb_label,rb_ohm,ic_a,ic_per_nx_a,vce_v,vb_v,ie_a
a_nx1_typ_-40c_rbopen_st1,A,extraction,typ,hbt_typ,-40,1,1,open,1e12,1.77828E-06,1.778280e-06,1.58622,0.768539,1.77828E-06
a_nx1_typ_-40c_rbopen_st1,A,extraction,typ,hbt_typ,-40,1,1,open,1e12,2.37137E-06,2.371370e-06,1.58914,0.774401,2.37137E-06
a_nx1_typ_-40c_rbopen_st1,A,extraction,typ,hbt_typ,-40,1,1,open,1e12,3.16228E-06,3.162280e-06,1.59215,0.780267,3.16228E-06
a_nx1_typ_-40c_rbopen_st1,A,extraction,typ,hbt_typ,-40,1,1,open,1e12,4.21697E-06,4.216970e-06,1.59528,0.786138,4.21697E-06
a_nx1_typ_-40c_rbopen_st1,A,extraction,typ,hbt_typ,-40,1,1,open,1e12,5.62341E-06,5.623410e-06,1.59852,0.792016,5.62341E-06
a_nx1_typ_-40c_rbopen_st1,A,extraction,typ,hbt_typ,-40,1,1,open,1e12,7.49894E-06,7.498940e-06,1.6019,0.797904,7.49894E-06
a_nx1_typ_-40c_rbopen_st1,A,extraction,typ,hbt_typ,-40,1,1,open,1e12,1E-05,1.000000e-05,1.60545,0.803805,1E-05
a_nx1_typ_-40c_rbopen_st1,A,extraction,typ,hbt_typ,-40,1,1,open,1e12,1.33352E-05,1.333520e-05,1.6092,0.809723,1.33352E-05
a_nx1_typ_-40c_rbopen_st1,A,extraction,typ,hbt_typ,-40,1,1,open,1e12,1.77828E-05,1.778280e-05,1.61321,0.815665,1.77828E-05
a_nx1_typ_-40c_rbopen_st1,A,extraction,typ,hbt_typ,-40,1,1,open,1e12,2.37137E-05,2.371370e-05,1.61755,0.82164,2.37137E-05
a_nx1_typ_-40c_rbopen_st1,A,extraction,typ,hbt_typ,-40,1,1,open,1e12,3.16228E-05,3.162280e-05,1.62231,0.827659,3.16228E-05
a_nx1_typ_-40c_rbopen_st1,A,extraction,typ,hbt_typ,-40,1,1,open,1e12,4.21697E-05,4.216970e-05,1.62763,0.833737,4.21697E-05
a_nx1_typ_-40c_rbopen_st1,A,extraction,typ,hbt_typ,-40,1,1,open,1e12,5.62341E-05,5.623410e-05,1.63368,0.839894,5.62341E-05
a_nx1_typ_-40c_rbopen_st1,A,extraction,typ,hbt_typ,-40,1,1,open,1e12,7.49894E-05,7.498940e-05,1.64069,0.84616,7.49894E-05
a_nx1_typ_-40c_rbopen_st1,A,extraction,typ,hbt_typ,-40,1,1,open,1e12,0.0001,1.000000e-04,1.64897,0.852571,0.0001
a_nx1_typ_-40c_rbopen_st1,A,extraction,typ,hbt_typ,-40,1,1,open,1e12,0.000133352,1.333520e-04,1.65894,0.859175,0.000133352
a_nx1_typ_-40c_rbopen_st1,A,extraction,typ,hbt_typ,-40,1,1,open,1e12,0.000177828,1.778280e-04,1.67113,0.866036,0.000177828
a_nx1_typ_-40c_rbopen_st1,A,extraction,typ,hbt_typ,-40,1,1,open,1e12,0.000237137,2.371370e-04,1.68626,0.873238,0.000237137
a_nx1_typ_-40c_rbopen_st1,A,extraction,typ,hbt_typ,-40,1,1,open,1e12,0.000316228,3.162280e-04,1.70526,0.880886,0.000316228
a_nx1_typ_-40c_rbopen_st1,A,extraction,typ,hbt_typ,-40,1,1,open,1e12,0.000421697,4.216970e-04,1.72935,0.889114,0.000421697
a_nx1_typ_-40c_rbopen_st1,A,extraction,typ,hbt_typ,-40,1,1,open,1e12,0.000562341,5.623410e-04,1.7601,0.898081,0.000562341
a_nx1_typ_-40c_rbopen_st1,A,extraction,typ,hbt_typ,-40,1,1,open,1e12,0.000749894,7.498940e-04,1.79953,0.907973,0.000749894
a_nx1_typ_-40c_rbopen_st1,A,extraction,typ,hbt_typ,-40,1,1,open,1e12,0.001,1.000000e-03,1.85018,0.91899,0.001
a_nx1_typ_-40c_rbopen_st1,A,extraction,typ,hbt_typ,-40,1,1,open,1e12,0.00133352,1.333520e-03,1.9152,0.931312,0.00133352
a_nx1_typ_-40c_rbopen_st1,A,extraction,typ,hbt_typ,-40,1,1,open,1e12,0.00177828,1.778280e-03,1.99837,0.945038,0.00177828
a_nx1_typ_-40c_rbopen_st1,A,extraction,typ,hbt_typ,-40,1,1,open,1e12,0.00237137,2.371370e-03,2.10394,0.96007,0.00237137
a_nx1_typ_-40c_rbopen_st1,A,extraction,typ,hbt_typ,-40,1,1,open,1e12,0.00316228,3.162280e-03,2.23606,0.975917,0.00316228
a_nx1_typ_-40c_rbopen_st0,A,extraction,typ,hbt_typ,-40,1,0,open,1e12,1E-10,1.000000e-10,1.50521,0.568871,9.84948E-11
a_nx1_typ_-40c_rbopen_st0,A,extraction,typ,hbt_typ,-40,1,0,open,1e12,1.33352E-10,1.333520e-10,1.52448,0.574888,1.31828E-10
a_nx1_typ_-40c_rbopen_st0,A,extraction,typ,hbt_typ,-40,1,0,open,1e12,1.77828E-10,1.778280e-10,1.54111,0.580864,1.76287E-10
a_nx1_typ_-40c_rbopen_st0,A,extraction,typ,hbt_typ,-40,1,0,open,1e12,2.37137E-10,2.371370e-10,1.55469,0.586817,2.35582E-10
a_nx1_typ_-40c_rbopen_st0,A,extraction,typ,hbt_typ,-40,1,0,open,1e12,3.16228E-10,3.162280e-10,1.56495,0.592735,3.14663E-10
a_nx1_typ_-40c_rbopen_st0,A,extraction,typ,hbt_typ,-40,1,0,open,1e12,4.21697E-10,4.216970e-10,1.57209,0.598641,4.20125E-10
a_nx1_typ_-40c_rbopen_st0,A,extraction,typ,hbt_typ,-40,1,0,open,1e12,5.62341E-10,5.623410e-10,1.57643,0.604534,5.60765E-10
a_nx1_typ_-40c_rbopen_st0,A,extraction,typ,hbt_typ,-40,1,0,open,1e12,7.49894E-10,7.498940e-10,1.57843,0.61042,7.48316E-10
a_nx1_typ_-40c_rbopen_st0,A,extraction,typ,hbt_typ,-40,1,0,open,1e12,1E-09,1.000000e-09,1.57864,0.616293,9.98421E-10
a_nx1_typ_-40c_rbopen_st0,A,extraction,typ,hbt_typ,-40,1,0,open,1e12,1.33352E-09,1.333520e-09,1.57756,0.622163,1.33194E-09
a_nx1_typ_-40c_rbopen_st0,A,extraction,typ,hbt_typ,-40,1,0,open,1e12,1.77828E-09,1.778280e-09,1.57565,0.628029,1.7767E-09
a_nx1_typ_-40c_rbopen_st0,A,extraction,typ,hbt_typ,-40,1,0,open,1e12,2.37137E-09,2.371370e-09,1.57328,0.633892,2.3698E-09
