point_id,role,corner_label,hbt_section,temp_c,nx,selft,rb_label,rb_ohm,n_points,n_converged,vce_at_1ua_per_nx_v,vce_at_10ua_per_nx_v,vce_at_100ua_per_nx_v,vce_at_500ua_per_nx_v,locus_min_vce_v,locus_min_at_ic_per_nx_a,locus_has_foldback
a_nx1_sf_27c_rbopen_st1,extraction,sf,hbt_typ,27,1,1,open,1e12,61,61,1.5602,1.6030,1.6645,1.7761,1.2657,1.0000e-10,no
a_nx1_sf_125c_rbopen_st0,extraction,sf,hbt_typ,125,1,0,open,1e12,61,61,1.4370,1.5085,1.5989,1.7315,0.1507,1.0000e-10,no
a_nx1_sf_125c_rbopen_st1,extraction,sf,hbt_typ,125,1,1,open,1e12,61,61,1.4369,1.5083,1.5984,1.7304,0.1508,1.0000e-10,no
a_nx1_typ_-40c_rbopen_st0,extraction,typ,hbt_typ,-40,1,0,open,1e12,61,61,1.5807,1.6055,1.6490,1.7461,1.5052,1.0000e-10,no
a_nx1_typ_-40c_rbopen_st1,extraction,typ,hbt_typ,-40,1,1,open,1e12,61,61,1.5807,1.6055,1.6490,1.7475,1.5052,1.0000e-10,no
a_nx1_typ_27c_rbopen_st0,extraction,typ,hbt_typ,27,1,0,open,1e12,61,61,1.5602,1.6030,1.6649,1.7766,1.2657,1.0000e-10,no
a_nx1_typ_27c_rbopen_st1,extraction,typ,hbt_typ,27,1,1,open,1e12,61,61,1.5602,1.6030,1.6645,1.7761,1.2657,1.0000e-10,no
a_nx1_typ_125c_rbopen_st0,extraction,typ,hbt_typ,125,1,0,open,1e12,61,61,1.4370,1.5085,1.5989,1.7315,0.1507,1.0000e-10,no
a_nx1_typ_125c_rbopen_st1,extraction,typ,hbt_typ,125,1,1,open,1e12,61,61,1.4369,1.5083,1.5984,1.7304,0.1508,1.0000e-10,no
a_nx1_wcs_-40c_rbopen_st0,extraction,wcs,hbt_wcs,-40,1,0,open,1e12,61,61,1.6954,1.7185,1.7620,1.8679,1.5633,1.0000e-10,no
a_nx1_wcs_-40c_rbopen_st1,extraction,wcs,hbt_wcs,-40,1,1,open,1e12,61,61,1.6954,1.7185,1.7622,1.8702,1.5633,1.0000e-10,no
a_nx1_wcs_27c_rbopen_st0,extraction,wcs,hbt_wcs,27,1,0,open,1e12,61,61,1.6802,1.7216,1.7840,1.9050,1.3591,1.0000e-10,no
a_nx1_wcs_27c_rbopen_st1,extraction,wcs,hbt_wcs,27,1,1,open,1e12,61,61,1.6802,1.7216,1.7836,1.9048,1.3591,1.0000e-10,no
a_nx1_wcs_125c_rbopen_st0,extraction,wcs,hbt_wcs,125,1,0,open,1e12,61,61,1.5531,1.6241,1.7160,1.8584,0.1645,1.0000e-10,no
a_nx1_wcs_125c_rbopen_st1,extraction,wcs,hbt_wcs,125,1,1,open,1e12,61,61,1.5530,1.6240,1.7154,1.8573,0.1644,1.0000e-10,no
