point_id,role,corner_label,hbt_section,temp_c,nx,selft,rb_label,rb_ohm,n_points,v_last_v,ic_per_nx_max_a,ic_monotone_in_vce,vce_at_1ua_per_nx_v,vce_at_10ua_per_nx_v,ic_per_nx_at_1p12v_a,ic_per_nx_at_1p40v_a,ic_per_nx_at_1p60v_a,ic_per_nx_at_2p00v_a
b_nx1_bcs_-40c_rb1g_st1,control-open,bcs,hbt_bcs,-40,1,1,1g,1e9,131,5.40,1.6178e-11,yes,,,3.3555e-12,4.1944e-12,4.7936e-12,5.9920e-12
b_nx1_bcs_27c_rb1g_st1,control-open,bcs,hbt_bcs,27,1,1,1g,1e9,131,5.40,1.7120e-02,no,1.5177,1.6981,3.3628e-12,4.2017e-12,5.3703e-07,2.4769e-03
b_nx1_bcs_125c_rb1g_st1,control-open,bcs,hbt_bcs,125,1,1,1g,1e9,131,5.40,1.0568e-10,yes,,,9.0677e-11,9.1536e-11,9.2155e-11,9.3410e-11
b_nx1_fs_-40c_rb1g_st1,control-open,fs,hbt_typ,-40,1,1,1g,1e9,131,5.40,1.6577e-09,no,,,3.3555e-12,4.1944e-12,4.7936e-12,5.9920e-12
b_nx1_fs_27c_rb1g_st1,control-open,fs,hbt_typ,27,1,1,1g,1e9,131,5.40,9.1626e-03,no,1.6306,1.6363,3.3628e-12,4.2017e-12,4.8009e-12,1.5779e-03
b_nx1_fs_125c_rb1g_st1,control-open,fs,hbt_typ,125,1,1,1g,1e9,131,5.40,1.0512e-10,yes,,,9.0547e-11,9.1402e-11,9.2017e-11,9.3261e-11
b_nx1_sf_-40c_rb1g_st1,control-open,sf,hbt_typ,-40,1,1,1g,1e9,131,5.40,1.6577e-09,no,,,3.3555e-12,4.1944e-12,4.7936e-12,5.9920e-12
b_nx1_sf_27c_rb1g_st1,control-open,sf,hbt_typ,27,1,1,1g,1e9,131,5.40,9.1626e-03,no,1.6306,1.6363,3.3628e-12,4.2017e-12,4.8009e-12,1.5779e-03
b_nx1_sf_125c_rb1g_st1,control-open,sf,hbt_typ,125,1,1,1g,1e9,131,5.40,1.0512e-10,yes,,,9.0547e-11,9.1402e-11,9.2017e-11,9.3261e-11
b_nx1_typ_-40c_rb1g_st1,control-open,typ,hbt_typ,-40,1,1,1g,1e9,131,5.40,1.6577e-09,no,,,3.3555e-12,4.1944e-12,4.7936e-12,5.9920e-12
b_nx1_typ_27c_rb1g_st1,control-open,typ,hbt_typ,27,1,1,1g,1e9,131,5.40,9.1626e-03,no,1.6306,1.6363,3.3628e-12,4.2017e-12,4.8009e-12,1.5779e-03
b_nx1_typ_125c_rb1g_st1,control-open,typ,hbt_typ,125,1,1,1g,1e9,131,5.40,1.0512e-10,yes,,,9.0547e-11,9.1402e-11,9.2017e-11,9.3261e-11
b_nx1_wcs_-40c_rb1g_st1,control-open,wcs,hbt_wcs,-40,1,1,1g,1e9,131,5.40,3.8006e-09,no,,,3.3555e-12,4.1944e-12,4.7936e-12,5.9921e-12
