point_id,bench,role,corner_label,hbt_section,temp_c,nx,selft,rb_label,rb_ohm,vce_v,ic_a,ic_per_nx_a,vbe_v
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,2.000000e-01,5.992109e-13,5.992109e-13,3.984123e-04
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,2.400000e-01,7.190515e-13,7.190515e-13,4.780936e-04
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,2.800000e-01,8.388916e-13,8.388916e-13,5.577749e-04
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,3.200000e-01,9.587336e-13,9.587336e-13,6.374562e-04
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,3.600000e-01,1.078574e-12,1.078574e-12,7.171375e-04
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,4.000000e-01,1.198415e-12,1.198415e-12,7.968187e-04
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,4.400000e-01,1.318254e-12,1.318254e-12,8.765000e-04
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,4.800000e-01,1.438096e-12,1.438096e-12,9.561813e-04
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,5.200000e-01,1.557937e-12,1.557937e-12,1.035863e-03
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,5.600000e-01,1.677777e-12,1.677777e-12,1.115544e-03
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,6.000000e-01,1.797617e-12,1.797617e-12,1.195225e-03
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,6.400000e-01,1.917458e-12,1.917458e-12,1.274906e-03
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,6.800000e-01,2.037301e-12,2.037301e-12,1.354588e-03
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,7.200000e-01,2.157142e-12,2.157142e-12,1.434269e-03
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,7.600000e-01,2.276982e-12,2.276982e-12,1.513950e-03
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,8.000000e-01,2.396822e-12,2.396822e-12,1.593631e-03
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,8.400000e-01,2.516665e-12,2.516665e-12,1.673313e-03
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,8.800000e-01,2.636506e-12,2.636506e-12,1.752994e-03
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,9.200000e-01,2.756348e-12,2.756348e-12,1.832675e-03
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,9.600000e-01,2.876187e-12,2.876187e-12,1.912357e-03
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,1.000000e+00,2.996028e-12,2.996028e-12,1.992038e-03
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,1.040000e+00,3.115870e-12,3.115870e-12,2.071719e-03
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,1.080000e+00,3.235708e-12,3.235708e-12,2.151400e-03
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,1.120000e+00,3.355547e-12,3.355547e-12,2.231082e-03
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,1.160000e+00,3.475389e-12,3.475389e-12,2.310763e-03
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,1.200000e+00,3.595233e-12,3.595233e-12,2.390444e-03
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,1.240000e+00,3.715071e-12,3.715071e-12,2.470125e-03
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,1.280000e+00,3.834913e-12,3.834913e-12,2.549807e-03
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,1.320000e+00,3.954756e-12,3.954756e-12,2.629488e-03
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,1.360000e+00,4.074599e-12,4.074599e-12,2.709169e-03
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,1.400000e+00,4.194437e-12,4.194437e-12,2.788851e-03
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,1.440000e+00,4.314280e-12,4.314280e-12,2.868532e-03
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,1.480000e+00,4.434118e-12,4.434118e-12,2.948213e-03
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,1.520000e+00,4.553961e-12,4.553961e-12,3.027894e-03
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,1.560000e+00,4.673799e-12,4.673799e-12,3.107576e-03
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,1.600000e+00,4.793638e-12,4.793638e-12,3.187257e-03
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,1.640000e+00,4.913483e-12,4.913483e-12,3.266938e-03
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,1.680000e+00,5.033322e-12,5.033322e-12,3.346620e-03
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,1.720000e+00,5.153161e-12,5.153161e-12,3.426301e-03
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,1.760000e+00,5.273005e-12,5.273005e-12,3.505982e-03
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,1.800000e+00,5.392826e-12,5.392826e-12,3.585663e-03
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,1.840000e+00,5.512665e-12,5.512665e-12,3.665345e-03
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,1.880000e+00,5.632505e-12,5.632505e-12,3.745026e-03
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,1.920000e+00,5.752351e-12,5.752351e-12,3.824707e-03
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,1.960000e+00,5.872185e-12,5.872185e-12,3.904388e-03
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,2.000000e+00,5.992024e-12,5.992024e-12,3.984070e-03
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,2.040000e+00,6.111859e-12,6.111859e-12,4.063751e-03
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,2.080000e+00,6.231712e-12,6.231712e-12,4.143432e-03
